Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note
99,الحروف المقطعة,Disconnected Letters,الم,فواتح السور,الم ذَلِكَ الْكِتَابُ,حروف مقطعة في أول السورة
99,الحروف المقطعة,Disconnected Letters,المص,فواتح السور,المص كِتَابٌ أُنْزِلَ,حروف مقطعة - الأعراف
99,الحروف المقطعة,Disconnected Letters,الر,فواتح السور,الر تِلْكَ آيَاتُ,حروف مقطعة - يونس وغيرها
99,الحروف المقطعة,Disconnected Letters,المر,فواتح السور,المر تِلْكَ آيَاتُ,حروف مقطعة - الرعد
99,الحروف المقطعة,Disconnected Letters,كهيعص,فواتح السور,كهيعص ذِكْرُ رَحْمَتِ,حروف مقطعة - مريم
99,الحروف المقطعة,Disconnected Letters,طه,فواتح السور,طه مَا أَنْزَلْنَا,حروف مقطعة - طه
99,الحروف المقطعة,Disconnected Letters,طسم,فواتح السور,طسم تِلْكَ آيَاتُ,حروف مقطعة - الشعراء والقصص
99,الحروف المقطعة,Disconnected Letters,طس,فواتح السور,طس تِلْكَ آيَاتُ,حروف مقطعة - النمل
99,الحروف المقطعة,Disconnected Letters,يس,فواتح السور,يس وَالْقُرْآنِ,حروف مقطعة - يس
99,الحروف المقطعة,Disconnected Letters,ص,فواتح السور,ص وَالْقُرْآنِ,حروف مقطعة - ص
99,الحروف المقطعة,Disconnected Letters,حم,فواتح السور,حم تَنْزِيلُ الْكِتَابِ,حروف مقطعة - الحواميم
99,الحروف المقطعة,Disconnected Letters,عسق,فواتح السور,حم عسق كَذَلِكَ,حروف مقطعة - الشورى
99,الحروف المقطعة,Disconnected Letters,ق,فواتح السور,ق وَالْقُرْآنِ,حروف مقطعة - ق
99,الحروف المقطعة,Disconnected Letters,ن,فواتح السور,ن وَالْقَلَمِ,حروف مقطعة - القلم
