surah,ayah,gold_verbs,pred_events,diff,diff_type
4,121,1,2,1,over
4,122,5,3,-2,under
4,123,3,6,3,over
4,124,3,5,2,over
4,127,11,12,1,over
4,128,7,6,-1,under
4,131,5,6,1,over
4,136,6,5,-1,under
4,137,8,7,-1,under
4,140,6,5,-1,under
4,141,10,9,-1,under
4,143,2,1,-1,under
4,144,4,3,-1,under
4,145,1,0,-1,under
4,146,5,6,1,over
4,151,1,2,1,over
4,152,4,6,2,over
4,153,10,11,1,over
4,154,6,5,-1,under
4,155,2,4,2,over
4,157,6,3,-3,under
4,158,2,1,-1,under
4,159,2,4,2,over
4,161,2,3,1,over
4,163,4,10,6,over
4,164,3,2,-1,under
4,168,5,4,-1,under
4,170,4,3,-1,under
4,171,8,9,1,over
4,172,5,4,-1,under
4,173,8,9,1,over
4,174,2,1,-1,under
4,175,4,3,-1,under
4,176,12,13,1,over
5,1,6,7,1,over
5,4,11,12,1,over
5,5,8,6,-2,under
5,6,18,19,1,over
5,7,6,5,-1,under
5,10,2,3,1,over
5,11,6,7,1,over
5,12,13,11,-2,under
5,14,8,9,1,over
5,17,8,10,2,over
5,18,8,9,1,over
5,19,5,3,-2,under
5,20,6,5,-1,under
5,21,4,5,1,over
5,24,5,6,1,over
5,25,3,4,1,over
5,27,8,9,1,over
5,28,4,2,-2,under
5,30,3,5,2,over
5,31,9,11,2,over
5,32,6,4,-2,under
5,33,6,7,1,over
5,35,5,4,-1,under
5,38,2,1,-1,under
5,39,3,2,-1,under
5,41,17,16,-1,under
5,42,8,5,-3,under
5,43,2,3,1,over
5,44,11,14,3,over
5,45,4,5,1,over
5,46,2,6,4,over
5,47,4,6,2,over
5,48,14,10,-4,under
5,49,10,12,2,over
5,52,8,11,3,over
5,56,2,3,1,over
5,58,3,2,-1,under
5,59,5,8,3,over
5,61,7,6,-1,under
5,65,4,5,1,over
5,66,5,4,-1,under
5,68,6,8,2,over
5,69,5,4,-1,under
5,70,6,5,-1,under
5,71,8,5,-3,under
5,72,6,9,3,over
5,75,7,4,-3,under
5,77,6,8,2,over
5,78,5,4,-1,under
5,79,5,4,-1,under
5,81,4,3,-1,under
5,82,7,10,3,over
5,83,8,7,-1,under
5,84,4,3,-1,under
5,86,2,3,1,over
5,87,5,6,1,over
5,89,9,11,2,over
5,90,3,4,1,over
5,91,3,4,1,over
5,93,11,12,1,over
5,94,6,5,-1,under
5,95,10,11,1,over
5,96,5,7,2,over
5,100,5,6,1,over
5,103,4,5,1,over
5,104,7,9,2,over
5,105,7,8,1,over
5,108,6,7,1,over
5,109,4,6,2,over
5,111,5,6,1,over
5,112,6,8,2,over
5,113,7,6,-1,under
5,114,4,6,2,over
5,116,11,13,2,over
5,117,7,6,-1,under
5,118,2,3,1,over
5,119,5,4,-1,under
6,2,3,2,-1,under
6,5,5,4,-1,under
6,6,9,8,-1,under
6,7,4,2,-2,under
6,8,5,4,-1,under
6,9,4,1,-3,under
6,10,5,4,-1,under
6,12,6,9,3,over
6,14,9,10,1,over
6,15,3,2,-1,under
6,16,2,1,-1,under
6,19,10,9,-1,under
6,20,5,6,1,over
6,21,4,2,-2,under
6,22,5,6,1,over
6,23,3,2,-1,under
6,24,5,4,-1,under
6,26,4,5,1,over
6,28,6,7,1,over
6,30,8,7,-1,under
6,32,2,3,1,over
6,35,8,6,-2,under
6,39,5,4,-1,under
6,40,6,7,1,over
6,41,6,5,-1,under
6,43,6,5,-1,under
6,44,6,7,1,over
6,45,2,1,-1,under
6,50,9,8,-1,under
6,51,4,5,1,over
6,53,3,2,-1,under
6,55,2,1,-1,under
6,57,4,5,1,over
6,58,3,2,-1,under
6,59,4,5,1,over
6,61,4,3,-1,under
6,63,5,3,-2,under
6,66,2,3,1,over
6,73,5,6,1,over
6,74,3,4,1,over
6,75,2,1,-1,under
6,76,6,5,-1,under
6,77,6,5,-1,under
6,78,5,7,2,over
6,79,2,1,-1,under
6,80,9,7,-2,under
6,81,7,8,1,over
6,82,2,3,1,over
6,83,3,2,-1,under
6,84,4,6,2,over
6,86,1,3,2,over
6,87,2,1,-1,under
6,89,2,4,2,over
6,92,5,7,2,over
6,93,15,14,-1,under
6,94,10,8,-2,under
6,95,2,3,1,over
6,96,1,2,1,over
6,100,5,3,-2,under
6,102,1,2,1,over
6,104,3,1,-2,under
6,105,5,4,-1,under
6,106,3,2,-1,under
6,107,3,1,-2,under
6,108,7,6,-1,under
6,110,4,6,2,over
6,112,6,4,-2,under
6,113,4,3,-1,under
6,115,1,0,-1,under
6,116,4,5,1,over
6,118,3,4,1,over
6,122,7,8,1,over
6,123,4,5,1,over
6,125,9,8,-1,under
6,128,8,10,2,over
6,129,3,4,1,over
6,130,8,10,2,over
6,133,5,6,1,over
6,135,5,6,1,over
6,136,9,6,-3,under
6,137,7,6,-1,under
6,139,3,1,-2,under
6,144,9,5,-4,under
6,145,6,9,3,over
6,146,6,4,-2,under
6,148,11,10,-1,under
6,149,3,1,-2,under
6,151,13,15,2,over
6,153,5,4,-1,under
6,154,2,4,2,over
6,155,4,5,1,over
6,157,11,7,-4,under
6,159,5,6,1,over
6,160,4,3,-1,under
6,161,3,2,-1,under
6,163,1,2,1,over
6,164,7,9,2,over
6,165,4,1,-3,under
7,6,3,1,-2,under
7,9,4,6,2,over
7,11,6,4,-2,under
7,12,7,4,-3,under
7,17,2,1,-1,under
7,19,5,6,1,over
7,20,7,5,-2,under
7,21,1,0,-1,under
7,22,8,5,-3,under
7,23,5,4,-1,under
7,25,4,5,1,over
7,26,3,5,2,over
7,27,8,10,2,over
7,28,8,7,-1,under
7,29,6,5,-1,under
7,30,2,4,2,over
7,31,5,7,2,over
7,34,3,2,-1,under
7,35,5,6,1,over
7,36,2,3,1,over
7,37,13,12,-1,under
7,38,11,9,-2,under
7,39,5,7,2,over
7,40,6,5,-1,under
7,42,3,4,1,over
7,43,12,11,-1,under
7,44,7,6,-1,under
7,46,4,6,2,over
7,48,6,4,-2,under
7,51,6,7,1,over
7,52,3,2,-1,under
7,53,14,18,4,over
7,54,5,4,-1,under
7,59,4,5,1,over
7,60,2,1,-1,under
7,61,1,3,2,over
7,62,4,3,-1,under
7,64,5,4,-1,under
7,65,3,6,3,over
7,66,4,3,-1,under
7,67,1,3,2,over
7,68,1,2,1,over
7,69,8,7,-1,under
7,70,9,7,-2,under
7,71,6,4,-2,under
7,72,4,3,-1,under
7,73,7,8,1,over
7,76,3,2,-1,under
7,77,6,8,2,over
7,79,5,4,-1,under
7,80,3,2,-1,under
7,83,2,3,1,over
7,84,3,2,-1,under
7,85,7,9,2,over
7,87,6,7,1,over
7,88,7,8,1,over
7,90,3,4,1,over
7,93,5,3,-2,under
7,95,6,4,-2,under
7,97,2,4,2,over
7,98,3,4,1,over
7,99,2,4,2,over
7,102,2,3,1,over
7,103,4,3,-1,under
7,104,1,2,1,over
7,105,3,2,-1,under
7,106,5,4,-1,under
7,107,1,0,-1,under
7,108,1,0,-1,under
7,109,1,2,1,over
7,111,3,4,1,over
7,113,3,2,-1,under
7,114,1,2,1,over
7,115,3,6,3,over
7,118,4,2,-2,under
7,120,1,0,-1,under
7,123,6,4,-2,under
7,124,2,3,1,over
7,127,7,6,-1,under
7,129,9,7,-2,under
7,132,3,2,-1,under
7,136,4,3,-1,under
7,137,11,9,-2,under
7,140,3,2,-1,under
7,142,7,5,-2,under
7,143,16,14,-2,under
7,145,5,4,-1,under
7,147,5,4,-1,under
7,149,7,6,-1,under
7,152,3,2,-1,under
7,154,3,5,2,over
7,156,10,7,-3,under
7,157,13,11,-2,under
7,159,2,3,1,over
7,161,8,7,-1,under
7,162,6,7,1,over
7,166,4,3,-1,under
7,168,3,1,-2,under
7,170,3,4,1,over
7,171,6,5,-1,under
7,172,6,7,1,over
7,173,5,4,-1,under
7,175,5,4,-1,under
7,178,2,3,1,over
7,179,4,7,3,over
7,180,6,7,1,over
7,181,3,4,1,over
7,182,3,2,-1,under
7,183,1,0,-1,under
7,188,8,4,-4,under
7,189,10,6,-4,under
7,190,5,2,-3,under
7,192,2,3,1,over
7,193,3,2,-1,under
7,196,2,1,-1,under
7,197,3,5,2,over
7,201,3,2,-1,under
7,203,7,8,1,over
8,2,5,3,-2,under
8,3,3,2,-1,under
8,7,6,7,1,over
8,10,2,1,-1,under
8,12,7,6,-1,under
8,13,2,1,-1,under
8,14,1,0,-1,under
8,16,2,1,-1,under
8,17,6,4,-2,under
8,19,7,5,-2,under
8,23,3,4,1,over
8,24,7,6,-1,under
8,26,7,6,-1,under
8,28,1,2,1,over
8,30,7,8,1,over
8,31,5,7,2,over
8,34,4,6,2,over
8,37,4,5,1,over
8,39,5,3,-2,under
8,41,6,5,-1,under
8,42,7,5,-2,under
8,44,6,4,-2,under
8,51,1,2,1,over
8,56,3,2,-1,under
8,58,3,2,-1,under
8,63,4,2,-2,under
8,64,1,0,-1,under
8,65,7,5,-2,under
8,66,6,4,-2,under
8,67,5,6,1,over
9,1,1,0,-1,under
9,2,2,3,1,over
9,3,5,6,1,over
9,4,5,4,-1,under
9,5,10,7,-3,under
9,6,5,6,1,over
9,7,5,4,-1,under
9,9,5,4,-1,under
9,10,1,2,1,over
9,12,4,5,1,over
9,13,7,6,-1,under
9,14,5,3,-2,under
9,15,3,4,1,over
9,16,6,5,-1,under
9,18,6,7,1,over
9,23,4,5,1,over
9,24,8,11,3,over
9,25,6,5,-1,under
9,28,5,4,-1,under
9,30,6,8,2,over
9,34,6,7,1,over
9,35,6,5,-1,under
9,36,5,9,4,over
9,38,5,4,-1,under
9,40,11,12,1,over
9,41,4,3,-1,under
9,42,8,7,-1,under
9,47,4,3,-1,under
9,50,6,8,2,over
9,58,5,4,-1,under
9,59,4,2,-2,under
9,65,8,6,-2,under
9,66,5,4,-1,under
9,68,2,1,-1,under
9,69,7,10,3,over
9,70,6,7,1,over
9,72,2,3,1,over
9,73,2,1,-1,under
9,75,4,1,-3,under
9,76,3,4,1,over
9,77,6,5,-1,under
9,78,2,4,2,over
9,81,8,9,1,over
9,83,7,6,-1,under
9,85,4,5,1,over
9,86,7,5,-2,under
9,87,4,2,-2,under
9,88,2,3,1,over
9,90,6,4,-2,under
9,91,3,4,1,over
9,92,9,7,-2,under
9,93,5,3,-2,under
9,94,11,9,-2,under
9,95,6,5,-1,under
9,97,2,3,1,over
9,100,5,2,-3,under
9,101,5,6,1,over
9,103,4,3,-1,under
9,105,7,6,-1,under
9,106,2,3,1,over
9,107,5,4,-1,under
9,108,6,5,-1,under
9,109,4,3,-1,under
9,110,3,2,-1,under
9,114,4,6,2,over
9,117,5,1,-4,under
9,118,7,3,-4,under
9,120,9,12,3,over
9,121,6,7,1,over
9,122,6,7,1,over
9,124,6,4,-2,under
9,127,6,4,-2,under
9,128,2,0,-2,under
10,3,5,4,-1,under
10,4,9,7,-2,under
10,5,6,7,1,over
10,6,2,3,1,over
10,8,2,3,1,over
10,9,4,5,1,over
10,11,5,4,-1,under
10,12,9,7,-2,under
10,13,6,5,-1,under
10,14,3,2,-1,under
10,15,12,14,2,over
10,16,6,4,-2,under
10,17,4,2,-2,under
10,18,9,8,-1,under
10,19,5,4,-1,under
10,21,5,6,1,over
10,22,11,7,-4,under
10,23,5,6,1,over
10,24,11,10,-1,under
10,25,3,2,-1,under
10,26,2,3,1,over
10,27,3,4,1,over
10,28,7,8,1,over
10,37,2,6,4,over
10,40,2,3,1,over
10,44,2,3,1,over
10,45,6,7,1,over
10,46,4,5,1,over
10,47,3,1,-2,under
10,49,6,4,-2,under
10,51,4,3,-1,under
10,54,6,4,-2,under
10,55,2,3,1,over
10,59,7,6,-1,under
10,60,2,3,1,over
10,61,6,9,3,over
10,68,4,2,-2,under
10,71,9,12,3,over
10,73,7,4,-3,under
10,74,6,5,-1,under
10,76,2,1,-1,under
10,77,4,2,-2,under
10,79,2,1,-1,under
10,80,3,2,-1,under
10,82,2,1,-1,under
10,86,1,0,-1,under
10,87,5,6,1,over
10,91,2,1,-1,under
10,93,7,5,-2,under
10,94,6,4,-2,under
10,97,2,1,-1,under
10,98,6,8,2,over
10,99,4,2,-2,under
10,102,4,5,1,over
10,103,3,2,-1,under
10,108,6,4,-2,under
10,109,4,5,1,over
11,1,2,3,1,over
11,6,1,2,1,over
11,7,6,5,-1,under
11,8,7,6,-1,under
11,10,4,5,1,over
11,11,2,3,1,over
11,14,3,4,1,over
11,15,4,5,1,over
11,16,4,5,1,over
11,17,6,9,3,over
11,18,5,4,-1,under
11,20,7,8,1,over
11,21,4,6,2,over
11,23,3,4,1,over
11,24,2,3,1,over
11,27,7,6,-1,under
11,28,6,5,-1,under
11,29,4,6,2,over
11,31,6,5,-1,under
11,32,6,5,-1,under
11,33,3,2,-1,under
11,34,7,8,1,over
11,35,5,6,1,over
11,36,6,5,-1,under
11,38,7,8,1,over
11,39,4,3,-1,under
11,43,7,5,-2,under
11,44,7,6,-1,under
11,46,4,9,5,over
11,47,6,5,-1,under
11,49,4,5,1,over
11,50,2,5,3,over
11,52,5,6,1,over
11,55,2,1,-1,under
11,57,5,4,-1,under
11,59,3,5,2,over
11,60,2,4,2,over
11,61,6,8,2,over
11,62,6,8,2,over
11,64,4,5,1,over
11,65,4,3,-1,under
11,70,7,6,-1,under
11,71,2,3,1,over
11,72,2,4,2,over
11,73,2,3,1,over
11,76,2,5,3,over
11,77,3,2,-1,under
11,79,4,6,2,over
11,80,2,1,-1,under
11,81,5,7,2,over
11,84,5,7,2,over
11,85,3,5,2,over
11,87,6,7,1,over
11,88,11,12,1,over
11,89,3,9,6,over
11,92,3,6,3,over
11,93,5,6,1,over
11,95,2,1,-1,under
11,97,1,3,2,over
11,99,1,3,2,over
11,103,1,0,-1,under
11,106,1,0,-1,under
11,107,3,2,-1,under
11,109,4,6,2,over
11,111,2,3,1,over
11,114,2,1,-1,under
11,115,2,3,1,over
11,116,7,8,1,over
11,118,3,1,-2,under
11,119,4,1,-3,under
11,120,3,2,-1,under
11,123,4,5,1,over
12,3,3,4,1,over
12,4,3,5,2,over
12,5,3,4,1,over
12,6,4,7,3,over
12,8,1,3,2,over
12,10,5,6,1,over
12,11,2,3,1,over
12,12,3,4,1,over
12,13,5,4,-1,under
12,17,6,7,1,over
12,18,4,2,-2,under
12,20,2,1,-1,under
12,21,8,11,3,over
12,23,5,6,1,over
12,26,5,4,-1,under
12,29,3,2,-1,under
1,5,2,3,1,over
1,6,1,0,-1,under
1,7,1,2,1,over
2,3,4,3,-1,under
2,6,4,3,-1,under
2,9,4,5,1,over
2,14,6,4,-2,under
2,16,3,4,1,over
2,17,5,6,1,over
2,19,1,3,2,over
2,20,8,6,-2,under
2,22,5,6,1,over
2,26,10,9,-1,under
2,27,5,7,2,over
2,29,3,1,-2,under
2,30,10,9,-1,under
2,32,2,3,1,over
2,33,9,8,-1,under
2,35,6,7,1,over
2,36,5,4,-1,under
2,37,2,1,-1,under
2,39,2,3,1,over
2,42,3,4,1,over
2,44,4,6,2,over
2,46,1,3,2,over
2,50,4,5,1,over
2,51,2,1,-1,under
2,54,5,7,2,over
2,55,5,7,2,over
2,59,7,8,1,over
2,60,7,8,1,over
2,61,17,16,-1,under
2,62,5,4,-1,under
2,63,6,3,-3,under
2,64,2,3,1,over
2,67,8,7,-1,under
2,71,9,8,-1,under
2,76,10,8,-2,under
2,78,2,4,2,over
2,79,5,4,-1,under
2,81,2,3,1,over
2,82,2,3,1,over
2,84,5,6,1,over
2,85,10,13,3,over
2,86,3,4,1,over
2,88,3,2,-1,under
2,89,7,6,-1,under
2,90,6,7,1,over
2,92,2,1,-1,under
2,93,12,8,-4,under
2,96,6,7,1,over
2,97,3,5,2,over
2,98,1,2,1,over
2,99,2,1,-1,under
2,100,3,1,-2,under
2,101,4,3,-1,under
2,102,19,20,1,over
2,104,6,4,-2,under
2,105,5,6,1,over
2,106,4,3,-1,under
