surah,ayah,token_index,surface,plain,gold,pred,is_match,source,proof_kind
2,2,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,31,12,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
2,52,6,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,61,45,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,61,55,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,64,5,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,68,20,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,74,6,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,85,3,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
2,85,32,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,111,11,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
2,134,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
2,141,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
2,176,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,178,26,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,178,34,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,187,54,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
2,196,56,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
2,196,59,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,228,26,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,229,35,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
2,231,17,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,232,15,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,233,33,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,248,25,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
2,252,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
2,253,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
2,275,14,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,13,26,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,14,17,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,24,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,28,11,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,44,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,49,40,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,58,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,66,2,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
3,75,22,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,82,4,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,89,6,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,94,8,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,108,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
3,112,20,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,112,30,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,156,26,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,182,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
3,186,21,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,3,25,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
