word,engine_root,audited_root,audited_bab_sarfi,is_audited_and_correct,status,issue_type,fix_hint
قَرِبَ,قرب,قرب,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَثَجَ,كثج,كثج,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَهِبَ,كهب,كهب,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَلَدَ,قلد,قلد,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَدَّ,,فدد,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
غَيِِنَ,غين,غين,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَدَشَ,فدش,فدش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
نَجَشَ,نجش,نجش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَنَأَ,قنأ,قنء,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَاضَ,قاض,قوض,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
نَتَلَ,نتل,نتل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَحَّ,,كحح,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَزَّ,,قزز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
غَلَظَ,غلظ,غلظ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَلَعَ,فلع,فلع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَدَفَ,ندف,ندف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَرَبَ,,كرب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
