wazn,count
فَعْل,2772
فَعِيل,1501
فَعَل,1176
فَاعِل,579
أَفْعَل,456
يَفْعَل,450
فَعِل,438
فِعْل,392
فَعَلُو,360
فَعَال,349
الْفَعْل,331
الفَعْل,319
الْفَعِيل,290
فِعَال,278
فَاعَلُو,275
فُعُول,272
الفَّاعِل,266
تَفْعَل,256
فُعْل,252
الْفِعَال,252
الْفَاعِل,218
أَفْعَال,209
فَعُول,204
فِعل,189
يَفْعُل,186
يَفْعِل,177
وَفَعَل,174
وَفَعِل,163
وَالفَعْل,160
فَعَّل,158
تَفْعُل,152
الْمُفْعِل,150
الأَفْعَال,149
فَعْلَة,148
وَفَعْل,135
الْفُعْل,122
الْفَعَال,121
فَاعَل,118
يُفْعِل,118
مُفْعِل,118
بِفَعْل,116
أَفعُل,115
مَفْعُول,112
الفَّعِيل,112
فُعْلَة,103
أَفعَل,100
الفَّعْل,99
فِعْلَة,95
فَاعِلَة,94
فُعُل,87
بِالْفَعْل,87
كَفَعِل,86
فَعَلْن,83
يُفَعِّل,82
فَعاَل,82
تُفْعَل,81
فَعلُم,77
أَفَعْل,76
يُفِعْل,76
بِفِعْل,73
الفَعِلَة,73
فَعَنَّل,72
يُفْعَل,70
فَعَلَت,70
فَعْلَت,70
تَفْعِل,70
تُفَعِّل,68
تُفْعِل,66
فَعل,66
الْفِعْل,65
الفِعل,64
فُعَال,63
فَفَعَل,63
الفَّيْعَال,63
الفِّعْل,62
الْفَاعَل,61
فَعَلْت,59
وَفَعِلُو,59
الْفَعْلَة,58
افْعُلُو,58
فَعَلَة,57
فَعِلُو,57
فَعَلْتُم,56
وَأَفْعَل,56
فَعُل,56
تَفْعَلُو,54
وَفِعْل,53
الفُّعُل,53
فُعِل,52
تَفْعُلُو,52
الْمُفْعَل,52
وَيَفْعَل,51
الفَّعُول,50
أُفعِل,50
يَسْتَفْعِل,49
فَعَّلُو,48
وَفَعَّل,47
تَفْعِيل,46
يَفُعْل,46
فُعَلَاء,46
وَفَعلُم,45
نَفْعَل,45
فَعِلُم,45
الفَّعْلَن,45
افْتَعَلُو,44
الْفَعَل,44
تَفَعَّل,42
وَفَعِيل,41
لَفَاعِل,41
الفَّعَل,40
الفَعِل,39
يُفَاعِل,39
وَكَفَعِل,38
الْفَعاَئِلَة,38
مُفَعِّل,37
فَعِيلَة,37
الْفُعُول,36
أَفْعَلُو,36
الفُّعُول,36
الفَّعَال,36
يَتَفَعَّل,35
الْفُعْلَى,35
وَأَفْعَال,35
بِفَاعِل,35
فِعْلَت,34
نُفَعِّل,33
مَفَاعِل,33
أَفْعُل,33
وَافْعَلُو,33
يُفعِل,33
فَعَّال,31
أَفْعِل,31
افْتَعَل,30
فَعِلَت,30
مُفْعَل,30
وَيَفْعِل,30
الفُّعْل,30
وَأَفعَل,30
فَفَعَلْن,29
افْعَل,29
فَأَفْعَل,29
يَفْعَلُو,29
الْفِعْلَة,29
بِفُعْل,29
أَفْعَلْن,29
الْفَعِل,29
فُعَل,28
فُعْلَى,28
وَفَعْلَة,28
فَعَّلَت,28
أَفعَال,28
يَفعُل,28
وَفَعِّل,27
وَالْفَعَل,27
لِفَعْل,27
الفِّعَال,27
الْمُفَاعِل,27
أُفْعِل,27
افْعِل,27
وَالفَّعَال,27
وَيُفَعِّل,26
وَفُعْل,26
