priority,plural,singular,gender,note
1,رجال,رجل,M,
2,نساء,امراة,F,
3,كتب,كتاب,M,
4,ايات,اية,F,
5,بيوت,بيت,M,
6,قلوب,قلب,M,
7,اعمال,عمل,M,
8,اقوام,قوم,M,
9,انبياء,نبي,M,
10,شهداء,شهيد,M,
11,علماء,عالم,M,
12,خلفاء,خليفة,M,
13,اصحاب,صاحب,M,
14,ايام,يوم,M,
15,شهور,شهر,M,
16,سنوات,سنة,F,
17,كلمات,كلمة,F,
18,صلوات,صلاة,F,
19,زكوات,زكاة,F,
20,بنون,ابن,M,
21,بنين,ابن,M,
22,بنات,بنت,F,
23,امهات,ام,F,
24,اخوة,اخ,M,
25,اخوات,اخت,F,
26,ازواج,زوج,M,
27,زوجات,زوجة,F,
28,اولاد,ولد,M,
29,دنانير,دينار,M,
30,دراهم,درهم,M,
31,الاف,الف,M,
32,ملايين,مليون,M,
33,اباء,اب,M,
34,ابناء,ابن,M,
35,اخوان,اخ,M,
36,اعداء,عدو,M,
37,اولياء,ولي,M,
38,اصدقاء,صديق,M,
39,اقرباء,قريب,M,
40,فقراء,فقير,M,
41,اغنياء,غني,M,
42,امراء,امير,M,
43,وزراء,وزير,M,
44,سفراء,سفير,M,
45,خبراء,خبير,M,
46,حكماء,حكيم,M,
47,شركاء,شريك,M,
48,زعماء,زعيم,M,
49,عظماء,عظيم,M,
50,كرماء,كريم,M,
51,سعداء,سعيد,M,
52,بلداء,بليد,M,
53,بسطاء,بسيط,M,
54,ضعفاء,ضعيف,M,
55,اقوياء,قوي,M,
56,شعراء,شاعر,M,
57,امم,امة,F,
58,قرى,قرية,F,
59,مدن,مدينة,F,
60,جنات,جنة,F,
61,نيران,نار,F,
62,جنود,جند,M,
63,جيوش,جيش,M,
64,صفوف,صف,M,
65,ابواب,باب,M,
66,جدران,جدار,M,
67,منازل,منزل,M,
68,اشجار,شجرة,F,
69,ثمار,ثمرة,F,
70,انعام,نعم,M,
71,دواب,دابة,F,
72,طيور,طائر,M,
73,وحوش,وحش,M,
74,اسماك,سمكة,F,
75,جلود,جلد,M,
76,وجوه,وجه,M,
77,اعين,عين,F,
78,اذان,اذن,F,
79,انوف,انف,M,
80,ايدي,يد,F,
81,ارجل,رجل,F,
82,اصابع,اصبع,F,
83,شعور,شعر,M,
84,الوان,لون,M,
85,اشكال,شكل,M,
86,صور,صورة,F,
87,انواع,نوع,M,
88,اصناف,صنف,M,
89,ارواح,روح,F,
90,نفوس,نفس,F,
91,عقول,عقل,M,
92,اقوال,قول,M,
93,افعال,فعل,M,
94,احوال,حال,M,
95,اخبار,خبر,M,
96,احكام,حكم,M,
97,حروف,حرف,M,
98,اسماء,اسم,M,
99,صفات,صفة,F,
100,علامات,علامة,F,
101,جبال,جبل,M,
102,انهار,نهر,M,
103,بحار,بحر,M,
104,نجوم,نجم,M,
105,كواكب,كوكب,M,
106,شياطين,شيطان,M,
107,ملائكة,ملاك,M,
108,رسل,رسول,M,
109,اقوام,قوم,M,
110,كفار,كافر,M,
111,مؤمنون,مؤمن,M,
112,مؤمنين,مؤمن,M,
113,مؤمنات,مؤمنة,F,
114,مسلمون,مسلم,M,
115,مسلمين,مسلم,M,
116,مسلمات,مسلمة,F,
117,منافقون,منافق,M,
118,منافقين,منافق,M,
119,منافقات,منافقة,F,
120,مشركون,مشرك,M,
121,مشركين,مشرك,M,
122,مشركات,مشركة,F,
123,صالحون,صالح,M,
124,صالحين,صالح,M,
125,صالحات,صالحة,F,
126,ظالمون,ظالم,M,
127,ظالمين,ظالم,M,
128,ظالمات,ظالمة,F,
129,كافرون,كافر,M,
130,كافرين,كافر,M,
131,كافرات,كافرة,F,
132,متقون,متقي,M,
133,متقين,متقي,M,
134,اعداء,عدو,M,
135,اعمى,اعمى,M,
136,عميان,اعمى,M,
137,صم,اصم,M,
138,بكم,ابكم,M,
139,اطفال,طفل,M,
140,شيوخ,شيخ,M,
141,شباب,شاب,M,
142,شيب,اشيب,M,
143,نسوة,امراة,F,
144,اناث,انثى,F,
145,ذكور,ذكر,M,
146,عبيد,عبد,M,
147,عباد,عبد,M,
148,اسرى,اسير,M,
149,سجناء,سجين,M,
150,مساكين,مسكين,M,
151,يتامى,يتيم,M,
152,ارامل,ارملة,F,
153,ابكار,بكر,F,
154,عجائز,عجوز,F,
155,صحف,صحيفة,F,
156,اوراق,ورقة,F,
157,اقلام,قلم,M,
158,اوقات,وقت,M,
159,ساعات,ساعة,F,
160,دقائق,دقيقة,F,
161,لحظات,لحظة,F,
162,اعوام,عام,M,
163,قرون,قرن,M,
164,عصور,عصر,M,
165,ليالي,ليلة,F,
166,لياليّ,ليلة,F,
167,اضواء,ضوء,M,
168,ظلال,ظل,M,
169,سحب,سحابة,F,
170,امطار,مطر,M,
171,رياح,ريح,F,
172,موائد,مائدة,F,
173,اواني,اناء,M,
