surface,category,note
إِنَّ,EMPHATIC,"إنّ — نَاسِخ"
أَنَّ,EMPHATIC,"أنّ — نَاسِخ"
كَأَنَّ,EMPHATIC,"كأنّ — تشبيه"
لَكِنَّ,EMPHATIC,"لكنّ — استدراك"
لَيْتَ,EMPHATIC,"ليت — تمنّي"
لَعَلَّ,EMPHATIC,"لعلّ — ترجّي"
إِنَّمَا,RESTRICT,"إنّما — حصر"
أَنَّمَا,RESTRICT,"أنّما"
كَأَنَّمَا,RESTRICT,"كأنّما"
إِنَّهُۥ,EMPHATIC_PRON,"إنّ + هـ — Quranic"
إِنَّهُ,EMPHATIC_PRON,"إنّ + هـ"
إِنَّهَا,EMPHATIC_PRON,"إنّ + ها"
إِنَّهُمْ,EMPHATIC_PRON,"إنّ + هم"
أَنَّهُۥ,EMPHATIC_PRON,"أنّ + هـ — Quranic"
أَنَّهُ,EMPHATIC_PRON,"أنّ + هـ"
أَنَّهَا,EMPHATIC_PRON,"أنّ + ها"
كَأَنَّهُ,EMPHATIC_PRON,"كأنّ + هـ"
كَأَنَّهَا,EMPHATIC_PRON,"كأنّ + ها"
لَكِنَّهُ,EMPHATIC_PRON,"لكنّ + هـ"
لَكِنَّهَا,EMPHATIC_PRON,"لكنّ + ها"
لَيتَهُ,EMPHATIC_PRON,"ليت + هـ"
لَعَلَّهُ,EMPHATIC_PRON,"لعلّ + هـ"
لَعَلَّهَا,EMPHATIC_PRON,"لعلّ + ها"
فَإِنَّ,EMPHATIC_PREFIX,"ف + إنّ"
فَإِنَّهُۥ,EMPHATIC_PREFIX,"ف + إنّ + هـ — Quranic"
فَإِنَّهُ,EMPHATIC_PREFIX,"ف + إنّ + هـ"
فَإِنَّهَا,EMPHATIC_PREFIX,"ف + إنّ + ها"
فَإِنَّهُمْ,EMPHATIC_PREFIX,"ف + إنّ + هم"
وَإِنَّ,EMPHATIC_PREFIX,"و + إنّ"
وَإِنَّهُۥ,EMPHATIC_PREFIX,"و + إنّ + هـ — Quranic"
