priority,word,word_plain,gender,number,addressee,description
1,ذَلِكَ,ذلك,M,SG,M_SG,اسم إشارة + كاف خطاب — للمذكر المفرد
2,ذَلِكِ,ذلك,M,SG,F_SG,اسم إشارة + كاف خطاب — للمؤنثة المخاطبة
3,ذَلِكُمَا,ذلكما,M,SG,DU,اسم إشارة + كاف خطاب — للمثنى المخاطب
4,ذَلِكُمْ,ذلكم,M,SG,M_PL,اسم إشارة + كاف خطاب — للذكور المخاطبين
5,ذَلِكُنَّ,ذلكن,M,SG,F_PL,اسم إشارة + كاف خطاب — للإناث المخاطبات
6,ذَٰلِكَ,ذلك,M,SG,M_SG,بالألف الخنجرية — صورة قرآنية
7,ذَٰلِكِ,ذلك,M,SG,F_SG,بالألف الخنجرية
8,ذَٰلِكُمَا,ذلكما,M,SG,DU,بالألف الخنجرية
9,ذَٰلِكُمْ,ذلكم,M,SG,M_PL,بالألف الخنجرية — شاهد 2:282
10,ذَٰلِكُنَّ,ذلكن,M,SG,F_PL,بالألف الخنجرية
11,تِلْكَ,تلك,F,SG,M_SG,اسم إشارة مؤنث + كاف خطاب
12,تِلْكِ,تلك,F,SG,F_SG,
13,تِلْكُمَا,تلكما,F,SG,DU,
14,تِلْكُمْ,تلكم,F,SG,M_PL,
15,تِلْكُنَّ,تلكن,F,SG,F_PL,
16,أُولَئِكَ,اولئك,X,PL,M_SG,اسم إشارة جمع + كاف خطاب
17,أُولَٰئِكَ,اولئك,X,PL,M_SG,بالألف الخنجرية — صورة قرآنية
18,أُولَئِكُمَا,اولئكما,X,PL,DU,
19,أُولَٰئِكُمَا,اولئكما,X,PL,DU,
20,أُولَئِكُمْ,اولئكم,X,PL,M_PL,
21,أُولَٰئِكُمْ,اولئكم,X,PL,M_PL,
22,أُولَئِكُنَّ,اولئكن,X,PL,F_PL,
23,أُولَٰئِكُنَّ,اولئكن,X,PL,F_PL,
