priority,form,plain,referent_form,referent_gender,referent_number,addressee_suffix,addressee_person,addressee_gender,addressee_number,note
1,هذا,هذا,هذا,M,SG,,,,, اسم إِشارَة لِلقَريب M.SG
2,هذه,هذه,هذه,F,SG,,,,, لِلقَريب F.SG
3,هذان,هذان,هذان,M,DU,,,,, لِلقَريب M.DU رَفع
4,هذين,هذين,هذان,M,DU,,,,, لِلقَريب M.DU نَصب/جَرّ
5,هاتان,هاتان,هذه,F,DU,,,,, لِلقَريب F.DU
6,هاتين,هاتين,هذه,F,DU,,,,, F.DU نَصب/جَرّ
7,هؤلاء,هؤلاء,هؤلاء,M,PL,,,,, لِلقَريب PL عاقِل
8,ذلك,ذلك,ذلك,M,SG,,,,, لِلبَعيد M.SG (قَد يَكون مَضمون جُملَة)
9,تلك,تلك,تلك,F,SG,,,,, لِلبَعيد F.SG
10,ذلكم,ذلكم,ذلك,M,SG,كم,2,M_grammatical,PL,«ذلكم» = ذلك (مَرجِع M.SG) + كم (مُخاطَب 2.M.PL grammatical) — لا يَعني المُشار إِليه جَمع
11,تلكم,تلكم,تلك,F,SG,كم,2,M_grammatical,PL,تلك (مَرجِع F.SG) + كم (مُخاطَب)
12,ذلكن,ذلكن,ذلك,M,SG,كن,2,F,PL,ذلك + كن
13,تلكن,تلكن,تلك,F,SG,كن,2,F,PL,تلك + كن
14,ذلكما,ذلكما,ذلك,M,SG,كما,2,X,DU,ذلك + كما (المُخاطَبان)
15,تلكما,تلكما,تلك,F,SG,كما,2,X,DU,
16,أولئك,اولئك,اولئك,M,PL,,,,, لِلبَعيد PL عاقِل
17,أولئكم,اولئكم,اولئك,M,PL,كم,2,M_grammatical,PL,أولئك + كم
