priority,word,word_plain,proximity,gender,number,description
1,هَذا,هذا,near,M,SG,اسم إِشارَة قُربى — مُذَكَّر مُفرَد
2,هَذِهِ,هذه,near,F,SG,اسم إِشارَة قُربى — مُؤَنَّث مُفرَد
3,هَذانِ,هذان,near,M,DU,اسم إِشارَة قُربى — مُذَكَّر مُثَنَّى
4,هَتانِ,هتان,near,F,DU,اسم إِشارَة قُربى — مُؤَنَّث مُثَنَّى
5,هَؤُلاء,هؤلاء,near,X,PL,اسم إِشارَة قُربى — جَمع
6,ذَلِكَ,ذلك,far,M,SG,اسم إِشارَة بُعدى — مُذَكَّر مُفرَد
7,تِلكَ,تلك,far,F,SG,اسم إِشارَة بُعدى — مُؤَنَّث مُفرَد
8,ذانِكَ,ذانك,far,M,DU,اسم إِشارَة بُعدى — مُذَكَّر مُثَنَّى
9,تانِكَ,تانك,far,F,DU,اسم إِشارَة بُعدى — مُؤَنَّث مُثَنَّى
10,أُولَئِكَ,اولئك,far,X,PL,اسم إِشارَة بُعدى — جَمع
11,هُنا,هنا,near,X,X,اسم إِشارَة لِلمَكان — قُربى
12,هُناكَ,هناك,far,X,X,اسم إِشارَة لِلمَكان — بُعدى
13,هُنالِكَ,هنالك,far,X,X,اسم إِشارَة لِلمَكان — أَبعَد
