surface,plain,case,person,number,gender,description
إِيَّايَ,إياي,نصب,1,singular,common,ضمير المتكلم المفرد المنفصل في محل نصب
إِيَّانَا,إيانا,نصب,1,plural,common,ضمير المتكلم الجمع المنفصل في محل نصب
إِيَّاكَ,إياك,نصب,2,singular,masculine,ضمير المخاطب المذكر المفرد المنفصل في محل نصب
إِيَّاكِ,إياك,نصب,2,singular,feminine,ضمير المخاطب المؤنث المفرد المنفصل في محل نصب
إِيَّاكُمَا,إياكما,نصب,2,dual,common,ضمير المخاطب المثنى المنفصل في محل نصب
إِيَّاكُمْ,إياكم,نصب,2,plural,masculine,ضمير المخاطب الذكور الجمع المنفصل في محل نصب
إِيَّاكُنَّ,إياكن,نصب,2,plural,feminine,ضمير المخاطب الإناث الجمع المنفصل في محل نصب
إِيَّاهُ,إياه,نصب,3,singular,masculine,ضمير الغائب المذكر المفرد المنفصل في محل نصب
إِيَّاهَا,إياها,نصب,3,singular,feminine,ضمير الغائبة المؤنث المفرد المنفصل في محل نصب
إِيَّاهُمَا,إياهما,نصب,3,dual,common,ضمير الغائب المثنى المنفصل في محل نصب
إِيَّاهُمْ,إياهم,نصب,3,plural,masculine,ضمير الغائبين الجمع المنفصل في محل نصب
إِيَّاهُنَّ,إياهن,نصب,3,plural,feminine,ضمير الغائبات الجمع المنفصل في محل نصب
أَنَا,أنا,رفع,1,singular,common,ضمير المتكلم المفرد المنفصل في محل رفع
نَحْنُ,نحن,رفع,1,plural,common,ضمير المتكلم الجمع المنفصل في محل رفع
أَنْتَ,أنت,رفع,2,singular,masculine,ضمير المخاطب المذكر المنفصل في محل رفع
أَنْتِ,أنت,رفع,2,singular,feminine,ضمير المخاطبة المؤنث المنفصل في محل رفع
أَنْتُمَا,أنتما,رفع,2,dual,common,ضمير المخاطب المثنى المنفصل في محل رفع
أَنْتُمْ,أنتم,رفع,2,plural,masculine,ضمير المخاطبين الجمع المنفصل في محل رفع
أَنْتُنَّ,أنتن,رفع,2,plural,feminine,ضمير المخاطبات الجمع المنفصل في محل رفع
هُوَ,هو,رفع,3,singular,masculine,ضمير الغائب المذكر المنفصل في محل رفع
هِيَ,هي,رفع,3,singular,feminine,ضمير الغائبة المؤنث المنفصل في محل رفع
هُمَا,هما,رفع,3,dual,common,ضمير الغائب المثنى المنفصل في محل رفع
هُمْ,هم,رفع,3,plural,masculine,ضمير الغائبين الجمع المنفصل في محل رفع
هُنَّ,هن,رفع,3,plural,feminine,ضمير الغائبات الجمع المنفصل في محل رفع
