surface,lemma,aspect,note
قُلْ,قال,CV,imperative — say
قُلِ,قال,CV,imperative + kasra
قُولُوا,قال,CV,imperative pl
قُلْنَا,قال,PV,we said
قَالَ,قال,PV,he said
قَالُوا,قال,PV,they said
قَالَتْ,قال,PV,she said
قِيلَ,قال,PV,passive — was said
خُذْ,أخذ,CV,imperative — take
خُذُوهُ,أخذ,CV,take him
كُلْ,أكل,CV,imperative — eat
كُلُوا,أكل,CV,imperative pl
كُلَا,أكل,CV,dual imperative
أَكَلَ,أكل,PV,he ate
ائْتِ,أتى,CV,imperative — come
ٱئْتِ,أتى,CV,imperative — Quranic
ائْتُونِي,أتى,CV,bring me
ٱئْتِنَا,أتى,CV,come to us
ائْتِنَا,أتى,CV,come to us
أَتَىٰ,أتى,PV,came
أَتَىٰهُ,أتى,PV,came to him
جَآءَ,جاء,PV,came
جَآءَهُمْ,جاء,PV,came to them
جَآءَكَ,جاء,PV,came to you
جَآءَكُمْ,جاء,PV,came to you pl
جَآءَنَا,جاء,PV,came to us
جَآءُوا,جاء,PV,they came
جَآءُوكَ,جاء,PV,they came to you
شَآءَ,شاء,PV,willed
شَآءَ ٱللَّهُ,شاء,PV,God willed (literal)
هَدَىٰ,هدى,PV,guided
هَدَىٰكَ,هدى,PV,he guided you
هَدَىٰهُ,هدى,PV,he guided him
هَدَىٰنَا,هدى,PV,he guided us
هَدَىٰهُمْ,هدى,PV,he guided them
حَقَّ,حق,PV,became true (defective doubled)
ضَلَّ,ضل,PV,went astray
ضَلُّوا,ضل,PV,they went astray
مَدَّ,مد,PV,extended
مَرَّ,مر,PV,passed
رَدَّ,رد,PV,returned
عَدَّ,عد,PV,counted
سَنَّ,سن,PV,prescribed
عَزَّ,عز,PV,became mighty
هَمَّ,هم,PV,intended
دَلَّ,دل,PV,pointed
كَفَّ,كف,PV,withheld
صَدَّ,صد,PV,turned away
رَأَىٰ,رأى,PV,saw
رَأَيْتَ,رأى,PV,you saw
رَأَيْتُمْ,رأى,PV,you pl saw
رَأَيْنَا,رأى,PV,we saw
رَأَوْا,رأى,PV,they saw
رَءَا,رأى,PV,saw (Quranic)
رَءَاهُ,رأى,PV,he saw it
