priority,form,kind,note
1,إذ,ZARF,ظَرف زَمان لِلماضي
2,إذا,ZARF,ظَرف زَمان مُستَقبَل/شَرط
3,إذما,ZARF,ظَرف شَرط
4,حيث,ZARF,ظَرف مَكان
5,حيثما,ZARF,ظَرف مَكان شَرط
6,مع,ZARF,ظَرف مَكان/مُصاحَبَة
7,معا,ZARF,ظَرف مَكان (مَعًا)
8,يومئذ,ZARF,ظَرف زَمان (يوم + إذ)
9,حينئذ,ZARF,ظَرف زَمان (حين + إذ)
10,ساعتئذ,ZARF,ظَرف زَمان
11,آنئذ,ZARF,ظَرف زَمان
12,قبل,ZARF,ظَرف زَمان/مَكان
13,بعد,ZARF,ظَرف زَمان/مَكان
14,أمام,ZARF,ظَرف مَكان
15,خلف,ZARF,ظَرف مَكان
16,فوق,ZARF,ظَرف مَكان
17,تحت,ZARF,ظَرف مَكان
18,يا,HARF_NIDA,حَرف نِداء
19,يأيها,HARF_NIDA,يا + أَيُّ + ها — صيغَة نِداء قُرآنيَّة
20,يأيتها,HARF_NIDA,يا + أَيَّتُ + ها — مُؤَنَّث
21,أيها,HARF_NIDA,أَيُّ + ها (حَرف نِداء مُلتَصِق)
22,أيتها,HARF_NIDA,أَيَّتُ + ها (حَرف نِداء مُلتَصِق مُؤَنَّث)
23,إني,COMPOSITE_INNA,إِنَّ + ي — لَيست فِعلًا
23a,إنى,COMPOSITE_INNA,إِنَّى (بِأَلِف مَقصورَة)
24,إنني,COMPOSITE_INNA,إِنَّ + ني
25,إنك,COMPOSITE_INNA,إِنَّ + ك
26,إنه,COMPOSITE_INNA,إِنَّ + ه
27,إنها,COMPOSITE_INNA,إِنَّ + ها
28,إنا,COMPOSITE_INNA,إِنَّ + ا
29,إنهم,COMPOSITE_INNA,إِنَّ + هم
30,إنهن,COMPOSITE_INNA,إِنَّ + هن
31,إنكم,COMPOSITE_INNA,إِنَّ + كم
32,إنكن,COMPOSITE_INNA,إِنَّ + كن
32a,أنى,COMPOSITE,أَنَّى (اسم استفهام)
32b,أني,COMPOSITE,أَنِّي
32c,أنك,COMPOSITE,أَنَّك
32d,أنه,COMPOSITE,أَنَّه
32e,أنها,COMPOSITE,أَنَّها
32f,أنهم,COMPOSITE,أَنَّهم
32g,أنكم,COMPOSITE,أَنَّكم
32h,لكنه,COMPOSITE,لَكِنَّه
32i,لكنها,COMPOSITE,لَكِنَّها
32j,لكني,COMPOSITE,لَكِنِّي
32k,لعله,COMPOSITE,لَعَلَّه
32l,لعلها,COMPOSITE,لَعَلَّها
32m,ليته,COMPOSITE,لَيتَه
32n,ليتها,COMPOSITE,لَيتَها
32o,كأنه,COMPOSITE,كَأَنَّه
32p,كأنها,COMPOSITE,كَأَنَّها
33,أنا,DAMEER,ضَمير المُتَكَلِّم
34,نحن,DAMEER,ضَمير الجَماعَة
35,أنت,DAMEER,ضَمير المُخاطَب
36,أنتم,DAMEER,ضَمير المُخاطَبين
37,أنتما,DAMEER,ضَمير المُخاطَبَين
38,أنتن,DAMEER,ضَمير المُخاطَبات
39,أنتي,DAMEER,ضَمير المُخاطَبَة (legacy)
40,إياك,DAMEER,ضَمير نَصب مُنفَصِل
41,إياكم,DAMEER,ضَمير نَصب مُنفَصِل
42,إيانا,DAMEER,ضَمير نَصب مُنفَصِل
43,إياه,DAMEER,ضَمير نَصب مُنفَصِل
44,إياها,DAMEER,ضَمير نَصب مُنفَصِل
