iv_prefix,iv_prefix_plain,verb_suffix_pattern,person,number,gender,implicit_pronoun,description
نَ,ن,,1,plural,common,نَحْنُ,نون النحن — جماعة المتكلمين (لا يَلتَبِس)
أَ,أ,,1,singular,common,أَنَا,همزة المتكلم المفرد (لا يَلتَبِس)
يَ,ي,ون,3,plural,masculine,هُمْ,ياء + واو الجماعة — جمع الغائبين
يَ,ي,ان,3,dual,masculine,هُمَا,ياء + ألف الاثنين — مثنى الغائب
يَ,ي,,3,singular,masculine,هُوَ,ياء — الغائب المذكر المفرد (لا يَلتَبِس)
تَ,ت,ون,2,plural,masculine,أَنْتُمْ,تاء + واو الجماعة — جمع المخاطبين
تَ,ت,ين,2,singular,feminine,أَنْتِ,تاء + ياء المؤنث — المخاطبة المفردة
تَ,ت,ان,2,dual,common,أَنْتُمَا,تاء + ألف الاثنين — مثنى المخاطب
تَ,ت,ن,3,plural,feminine,هُنَّ,تاء + نون النسوة — جمع الإناث
,,تموا,2,plural,masculine,أَنْتُمْ,لاحقة الماضي تموا — مخاطبين جمع
,,تما,2,dual,common,أَنْتُمَا,لاحقة الماضي تما — مخاطب مثنى
,,تم,2,plural,masculine,أَنْتُمْ,لاحقة الماضي تُم — مخاطبين جمع
,,تن,2,plural,feminine,أَنْتُنَّ,لاحقة الماضي تُنَّ — مخاطبات جمع
,,نا,1,plural,common,نَحْنُ,لاحقة الماضي نا — متكلم جمع
,,وا,3,plural,masculine,هُمْ,لاحقة الماضي وا — جمع غائبين
