surface,lemma,aspect,note
كَانَ,كان,PV,kana — defective (نَاسِخ)
كَانَتْ,كان,PV,
كَانُوا,كان,PV,
كَانَتَا,كان,PV,
كُنْتُ,كان,PV,
كُنْتُمْ,كان,PV,
كُنْتُمَا,كان,PV,
كُنْتُنَّ,كان,PV,
كُنَّا,كان,PV,
يَكُونُ,كان,IV,
تَكُونُ,كان,IV,
يَكُونَا,كان,IV,
يَكُونُوا,كان,IV,
نَكُونُ,كان,IV,
أَكُونُ,كان,IV,
كُنْ,كان,CV,
كُونُوا,كان,CV,
لَيْسَ,ليس,PV,laysa — defective negation
لَيْسَتْ,ليس,PV,
لَيْسُوا,ليس,PV,
لَيْسَتَا,ليس,PV,
لَسْتُ,ليس,PV,
لَسْتُمْ,ليس,PV,
لَسْنَا,ليس,PV,
لَسْتُمَا,ليس,PV,
لَسْتُنَّ,ليس,PV,
صَارَ,صار,PV,sara
صَارَتْ,صار,PV,
صَارُوا,صار,PV,
يَصِيرُ,صار,IV,
أَصْبَحَ,أصبح,PV,asbaha
أَصْبَحَتْ,أصبح,PV,
أَصْبَحُوا,أصبح,PV,
أَمْسَى,أمسى,PV,amsa
أَضْحَى,أضحى,PV,adha
ظَلَّ,ظل,PV,thalla
ظَلُّوا,ظل,PV,
ظَلَّتْ,ظل,PV,
بَاتَ,بات,PV,bata
بَاتُوا,بات,PV,
عَادَ,عاد,PV,ada (kāna-like)
مَا زَالَ,زال,PV,still
مَا بَرِحَ,برح,PV,
مَا فَتِئَ,فتئ,PV,
مَا انْفَكَّ,انفك,PV,
مَا دَامَ,دام,PV,
