surface,plain,category,note
يَعْقُوبَ,يعقوب,prophet,Jacob
يَعْقُوبُ,يعقوب,prophet,Jacob (nom)
يَعْقُوبَ,يعقوب,prophet,Jacob (acc)
إِسْمَٰعِيلَ,اسماعيل,prophet,Ishmael
إِسْحَٰقَ,اسحاق,prophet,Isaac
إِبْرَٰهِيمَ,ابراهيم,prophet,Abraham
إِبْرَٰهِيمُ,ابراهيم,prophet,Abraham
إِبْرَاهِيمَ,ابراهيم,prophet,Abraham (variant)
إِسْرَٰٓءِيلَ,اسرائيل,prophet,Israel
إِسْرَآءِيلَ,اسرائيل,prophet,Israel (variant)
مُوسَىٰ,موسى,prophet,Moses
مُوسَى,موسى,prophet,Moses
عِيسَىٰ,عيسى,prophet,Jesus
عِيسَى,عيسى,prophet,Jesus
يُوسُفَ,يوسف,prophet,Joseph
يُوسُفُ,يوسف,prophet,Joseph
نُوحٌ,نوح,prophet,Noah
نُوحًا,نوح,prophet,Noah (acc)
نُوحٍ,نوح,prophet,Noah (gen)
نُوحَ,نوح,prophet,Noah
دَاوُۥدَ,داود,prophet,David
دَاوُودَ,داود,prophet,David (variant)
سُلَيْمَٰنَ,سليمان,prophet,Solomon
سُلَيْمَانَ,سليمان,prophet,Solomon
أَيُّوبَ,ايوب,prophet,Job
يُونُسَ,يونس,prophet,Jonah
هَارُونَ,هارون,prophet,Aaron
زَكَرِيَّآ,زكريا,prophet,Zechariah
يَحْيَىٰ,يحيى,prophet,John
مَرْيَمَ,مريم,proper,Mary
مَرْيَمُ,مريم,proper,Mary
ءَادَمَ,ادم,prophet,Adam
ٱلْمَسِيحُ,المسيح,proper,Messiah
ٱلْمَسِيحَ,المسيح,proper,Messiah
جِبْرِيلَ,جبريل,angel,Gabriel
مِيكَىٰلَ,ميكال,angel,Michael
هَٰرُوتَ,هاروت,angel,Harut
مَٰرُوتَ,ماروت,angel,Marut
إِبْلِيسَ,ابليس,proper,Iblis
فِرْعَوْنَ,فرعون,proper,Pharaoh
هَامَٰنَ,هامان,proper,Haman
قَٰرُونَ,قارون,proper,Korah
لُقْمَٰنَ,لقمان,proper,Luqman
ذُو,ذو,proper-particle,possessor (used in compound names)
مَكَّةَ,مكة,proper,Mecca
بَكَّةَ,بكة,proper,Bakkah
بَدْرٍ,بدر,place,Badr
حُنَيْنٍ,حنين,place,Hunayn
مَدْيَنَ,مدين,place,Madyan
ثَمُودَ,ثمود,proper,Thamud
عَادٍ,عاد,proper,Aad
عَادًا,عاد,proper,Aad (acc)
طَالُوتَ,طالوت,proper,Talut/Saul
جَالُوتَ,جالوت,proper,Goliath
