priority,word,word_plain,gender,number,description
1,الَّذي,الذي,M,SG,اسم مَوصول — مُذَكَّر مُفرَد
2,الَّتي,التي,F,SG,اسم مَوصول — مُؤَنَّث مُفرَد
3,اللَّذانِ,اللذان,M,DU,اسم مَوصول — مُذَكَّر مُثَنَّى مَرفوع
4,اللَّذَينِ,اللذين,M,DU,اسم مَوصول — مُذَكَّر مُثَنَّى مَنصوب/مَجرور
5,اللَّتانِ,اللتان,F,DU,اسم مَوصول — مُؤَنَّث مُثَنَّى مَرفوع
6,اللَّتَينِ,اللتين,F,DU,اسم مَوصول — مُؤَنَّث مُثَنَّى مَنصوب/مَجرور
7,الَّذينَ,الذين,M,PL,اسم مَوصول — مُذَكَّر جَمع
8,اللاتي,اللاتي,F,PL,اسم مَوصول — مُؤَنَّث جَمع
9,اللائي,اللائي,F,PL,اسم مَوصول — مُؤَنَّث جَمع
10,اللَّواتي,اللواتي,F,PL,اسم مَوصول — مُؤَنَّث جَمع (نادِر)
11,مَن,من,X,X,اسم مَوصول لِلعاقِل
12,ما,ما,X,X,اسم مَوصول لِغَير العاقِل
13,أَيّ,اي,X,X,اسم مَوصول عامّ
14,ٱلَّذِى,الذي,M,SG,اسم مَوصول — مُذَكَّر مُفرَد (ى variant)
15,ٱلَّتِى,التي,F,SG,اسم مَوصول — مُؤَنَّث مُفرَد (ى variant)
16,ٱلَّذِينَ,الذين,M,PL,اسم مَوصول — جَمع مُذَكَّر (ٱ)
17,ٱلَّذِي,الذي,M,SG,اسم مَوصول — مُذَكَّر مُفرَد (ٱ)
18,ٱلَّتِي,التي,F,SG,اسم مَوصول — مُؤَنَّث مُفرَد (ٱ)
