priority,form,plain,aspect,person,gender,number,note
1,قَالَ,قال,PV,3,M,SG,قال ماضٍ مُذَكَّر مُفرَد
2,قَالَتْ,قالت,PV,3,F,SG,قالت ماضٍ مُؤَنَّث مُفرَد
3,قُلْتُ,قلت,PV,1,X,SG,قلتُ ماضٍ مُتَكَلِّم مُفرَد
4,قُلْنَا,قلنا,PV,1,X,PL,قلنا ماضٍ مُتَكَلِّم جَمع (أَو تَعظيم)
5,قَالَا,قالا,PV,3,M,DU,قالا ماضٍ مُذَكَّر مُثَنّى
6,قَالَتَا,قالتا,PV,3,F,DU,قالتا ماضٍ مُؤَنَّث مُثَنّى
7,قَالُوا,قالوا,PV,3,M,PL,قالوا ماضٍ مُذَكَّر جَمع
8,قُلْنَ,قلن,PV,3,F,PL,قلنَ ماضٍ مُؤَنَّث جَمع
9,قُلْتُمْ,قلتم,PV,2,M,PL,قلتم ماضٍ مُخاطَب جَمع
10,قُلْتُنَّ,قلتن,PV,2,F,PL,قلتنَّ ماضٍ مُخاطَبات جَمع
11,يَقُولُ,يقول,IV,3,M,SG,يَقول مُضارِع مُذَكَّر مُفرَد
12,تَقُولُ,تقول,IV,3,F,SG,تَقول مُضارِع مُؤَنَّث مُفرَد (أَو مُخاطَب)
13,أَقُولُ,أقول,IV,1,X,SG,أَقول مُضارِع مُتَكَلِّم
14,نَقُولُ,نقول,IV,1,X,PL,نَقول مُضارِع مُتَكَلِّم جَمع
15,يَقُولُونَ,يقولون,IV,3,M,PL,يَقولون مُضارِع مُذَكَّر جَمع
16,يَقُولَانِ,يقولان,IV,3,M,DU,يَقولان مُضارِع مُذَكَّر مُثَنّى
17,تَقُولُونَ,تقولون,IV,2,M,PL,تَقولون مُضارِع مُخاطَب جَمع
18,تَقُولِينَ,تقولين,IV,2,F,SG,تَقولين مُضارِع مُخاطَبَة
19,قُلْ,قل,CV,2,M,SG,قُل أَمر مُخاطَب مُفرَد
20,قُولُوا,قولوا,CV,2,M,PL,قولوا أَمر مُخاطَب جَمع
21,قُولِي,قولي,CV,2,F,SG,قولي أَمر مُخاطَبَة
22,قُولَا,قولا,CV,2,M,DU,قولا أَمر مُثَنّى
23,قُلْنَ,قلن,CV,2,F,PL,قُلنَ أَمر مُخاطَبات
24,نَادَى,نادى,PV,3,M,SG,نادى — فِعل نِداء
25,نَادَيْنَا,نادينا,PV,1,X,PL,نادَينا — فِعل نِداء جَمع المُتَكَلِّم
26,يُنَادِى,ينادي,IV,3,M,SG,يُنادي
27,يُنَادُونَ,ينادون,IV,3,M,PL,يُنادون
28,أَوْحَى,أوحى,PV,3,M,SG,أَوحى — فِعل قَول/إِيحاء
29,أَوْحَيْنَا,أوحينا,PV,1,X,PL,أَوحَينا
30,يُوحِى,يوحي,IV,3,M,SG,يُوحي
31,خَاطَبَ,خاطب,PV,3,M,SG,خاطَب
32,سَأَلَ,سأل,PV,3,M,SG,سَأَل (يَتَطَلَّب سياقًا لِيُعَدّ فِعل قَول)
33,سَأَلُوا,سألوا,PV,3,M,PL,سَأَلوا
34,أَجَابَ,أجاب,PV,3,M,SG,أَجاب
35,يَجِيبُ,يجيب,IV,3,M,SG,يُجيب
36,أَمَرَ,أمر,PV,3,M,SG,أَمَر (فِعل أَمر/قَول)
37,أَمَرَنَا,أمرنا,PV,3,M,SG,أَمَرَنا — مَع ضَمير مَفعول
38,قَضَى,قضى,PV,3,M,SG,قَضى رَبُّكَ ... (بِمَعنى أَمَر)
39,بَشَّرَ,بشر,PV,3,M,SG,بَشَّر (إِخبار)
40,أَنبَأَ,أنبأ,PV,3,M,SG,أَنبَأ
41,حَدَّثَ,حدث,PV,3,M,SG,حَدَّث
42,ذَكَرَ,ذكر,PV,3,M,SG,ذَكَر (في سِياق إِخبار)
43,ٱدَّعَى,ادعى,PV,3,M,SG,ادَّعى — فِعل قَول/زَعم
44,زَعَمَ,زعم,PV,3,M,SG,زَعَم
45,نَهَى,نهى,PV,3,M,SG,نَهى (نَوع مِن الأَمر بِالنَّفي)
