priority,verb_lemma,verb_plain,root,transformation_kind,state_before,state_after,description
1,صَارَ,صار,صير,general,—,—,صارَ — تَحَوُّل عامّ
2,أَصْبَحَ,اصبح,صبح,general,—,—,أَصبَحَ — تَحَوُّل في الصَّباح/عامّ
3,أَمْسَى,امسى,مسي,general,—,—,أَمسَى — تَحَوُّل في المَساء/عامّ
4,أَضْحَى,اضحى,ضحي,general,—,—,أَضحَى — تَحَوُّل في الضُّحى/عامّ
5,بَاتَ,بات,بيت,general,—,—,باتَ — تَحَوُّل في اللَّيل/عامّ
6,ظَلَّ,ظل,ظلل,continuation,—,—,ظَلَّ — استِمرار الحالَة (تَحَوُّل لِلِاستِمرار)
7,تَحَوَّلَ,تحول,حول,explicit,—,—,تَحَوَّلَ — تَحَوُّل صَريح
8,اِنْقَلَبَ,انقلب,قلب,explicit,—,—,انقَلَبَ — تَحَوُّل بِالعَكس
9,اِسْتَحَالَ,استحال,حول,radical,—,—,استَحالَ — تَحَوُّل جَوهَريّ
10,عَادَ,عاد,عود,return,—,—,عادَ — رُجوع لِحالَة سابِقَة
11,رَجَعَ,رجع,رجع,return,—,—,رَجَعَ — رُجوع
12,مَاتَ,مات,موت,life_to_death,حَيّ,مَيِّت,ماتَ — حَياة إلى مَوت
13,وُلِدَ,ولد,ولد,birth,عَدَم,وُجود,وُلِدَ — مَجيء لِلوُجود
14,خُلِقَ,خلق,خلق,creation,عَدَم,وُجود,خُلِقَ — إِيجاد
15,نَضَجَ,نضج,نضج,maturity,غَير_ناضِج,ناضِج,نَضَجَ — نُضج
16,فَسَدَ,فسد,فسد,corruption,صالِح,فاسِد,فَسَدَ — تَلَف
17,صَلَحَ,صلح,صلح,improvement,فاسِد,صالِح,صَلَحَ — إِصلاح
18,سَلِمَ,سلم,سلم,recovery,مَريض,سَليم,سَلِمَ — شِفاء
19,مَرِضَ,مرض,مرض,illness,سَليم,مَريض,مَرِضَ — مَرَض
20,شَبَّ,شب,شبب,growth,صَغير,شابّ,شَبَّ — كَبُرَ
21,شَاخَ,شاخ,شيخ,aging,شابّ,شَيخ,شاخَ — تَقَدُّم في السِّنّ
22,اِكْتَمَلَ,اكتمل,كمل,completion,ناقِص,كامِل,اكتَمَلَ — إِتمام
23,نَقَصَ,نقص,نقص,decrease,كامِل,ناقِص,نَقَصَ — نَقص
24,زَادَ,زاد,زيد,increase,قَليل,كَثير,زادَ — زِيادَة
25,اِنْقَطَعَ,انقطع,قطع,cessation,مَوصول,مَقطوع,انقَطَعَ — تَوَقُّف
26,اِنْتَهَى,انتهى,نهي,end,قائِم,مُنتَهٍ,انتَهَى — انتِهاء
27,بَدَأَ,بدا,بدا,beginning,عَدَم,قائِم,بَدَأَ — بِدايَة
28,اِبْتَدَأَ,ابتدا,بدا,beginning,عَدَم,قائِم,ابتَدَأَ — بِدايَة (مَزيد)
29,تَبَدَّلَ,تبدل,بدل,substitution,حالَة_أ,حالَة_ب,تَبَدَّلَ — استِبدال
30,تَغَيَّرَ,تغير,غير,change,قَديم,جَديد,تَغَيَّرَ — تَغَيُّر
