priority,form,plain,kind,note
1,يَا,يا,vocative,حَرف نِداء أَساسيّ
2,يَٰ,يا,vocative,يا بِأَلِف خَنجَريَّة (uthmani)
3,يٰ,يا,vocative,نَسخَة عُثمانيَّة أُخرى
4,أَيَا,أيا,vocative,حَرف نِداء لِلبَعيد
5,هَيَا,هيا,vocative,حَرف نِداء
6,يَأَيُّهَا,يأيها,vocative,يا + أَيُّ + ها (مُذَكَّر)
7,يَٰٓأَيُّهَا,يأيها,vocative,نَسخَة عُثمانيَّة (مَع مَدَّة)
8,يَأَيَّتُهَا,يأيتها,vocative,يا + أَيَّتُ + ها (مُؤَنَّث)
9,يَا أَيُّهَا,ياأيها,vocative,بِمَسافَة
10,أَيُّهَا,أيها,vocative_inner,أَيُّها بِدون يا (مُلتَصِق بِالنَّداء)
11,أَيَّتُهَا,أيتها,vocative_inner,أَيَّتُها (مُؤَنَّث)
