priority,topic_id,operator,vocalized_form,meaning_id,meaning_ar,syntactic_effect,semantic_field,conditions,exceptions,warnings,example_constructed,example_quran,surah_ayah,author_position,disagreement,source_part,source_page,confidence
1,DEMONSTRATIVE,هَذا,هَذَا,DEMO_NEAR_M_SG,اسم إِشارَة لِلقَريب المُذَكَّر المُفرَد,mabni,deixis_near_m_sg,لِلقَريب،,,لا يَدخُل عَليه ال،,هَذا كِتابي,هَذَا الْكِتَابُ لَا رَيْبَ فِيهِ,البقرة:2,preferred,,1,88,0.95
2,DEMONSTRATIVE,هَذِهِ,هَذِهِ,DEMO_NEAR_F_SG,اسم إِشارَة لِلقَريبَة المُؤَنَّثَة المُفرَدَة,mabni,deixis_near_f_sg,لِلقَريبَة،,,,هَذِهِ شَجَرَةٌ,هَذِهِ سَبِيلِي,يوسف:108,preferred,,1,88,0.95
3,DEMONSTRATIVE,هَذانِ,هَذَانِ,DEMO_NEAR_DU_M,اسم إِشارَة لِلمُثَنَّى المُذَكَّر القَريب,mabni_or_marfu3,deixis_near_dual_m,لِلقَريبَين،,,تَتَغَيَّر في الرَّفع وَ النَّصب،,هَذانِ طالِبان,إِنَّ هَذَانِ لَسَاحِرَانِ,طه:63,reported,,1,88,0.92
4,DEMONSTRATIVE,هَؤُلاءِ,هَؤُلَاءِ,DEMO_NEAR_PL,اسم إِشارَة لِلجَمع القَريب،,mabni,deixis_near_pl,لِلجَمع العاقِل،,,,هَؤُلاءِ قَومي,أَتُحَاجُّونِّي فِي اللَّهِ,الأنعام:80,preferred,,1,88,0.92
5,DEMONSTRATIVE,ذَلِكَ,ذَلِكَ,DEMO_FAR_M_SG,اسم إِشارَة لِلبَعيد المُذَكَّر — كاف الخِطاب لا مَحَلّ لها,mabni,deixis_far_m_sg,اللام لِلبُعد،,,الكاف عَلامَة خِطاب لا مَفعول،,ذَلِكَ كِتابُكَ,ذَلِكَ الْكِتَابُ,البقرة:2,preferred,خِلاف هَل اللام بَعد ذا أَصل أَم زائِدَة،,1,95,0.95
6,DEMONSTRATIVE,تِلكَ,تِلْكَ,DEMO_FAR_F_SG,اسم إِشارَة لِلبَعيدَة المُؤَنَّثَة،,mabni,deixis_far_f_sg,,,,تِلكَ المَدينَةُ,تِلْكَ الرُّسُلُ,البقرة:253,preferred,,1,95,0.92
7,DEMONSTRATIVE,ذَلِكُم,ذَلِكُمْ,DEMO_FAR_PL_M_ADDRESSEE,اسم إِشارَة لِلبَعيد المُذَكَّر مَع خِطاب جَمع,mabni,deixis_far_with_addressee_pl_m,الكاف+م لِخِطاب الجَمع،,,الكاف+م حَرف خِطاب لا مَفعول،,ذَلِكُم رَبُّكُم,ذَلِكُمْ خَيْرٌ لَكُمْ,البقرة:54,preferred,التَّفريق بَين كاف+م مَفعول وَ خِطاب،,1,97,0.95
8,DEMONSTRATIVE,تِلكُم,تِلْكُمْ,DEMO_FAR_F_PL_ADDRESSEE,اسم إِشارَة لِلبَعيدَة مَع خِطاب جَمع مُذَكَّر,mabni,deixis_far_f_with_addressee_pl,,,,تِلكُم نِعمَةٌ,تِلْكُمَا الْجَنَّةُ,الأعراف:43,preferred,,1,97,0.92
9,DEMONSTRATIVE,ذَلِكُنَّ,ذَلِكُنَّ,DEMO_FAR_PL_F_ADDRESSEE,اسم إِشارَة لِلبَعيد مَع خِطاب جَمع مُؤَنَّث,mabni,deixis_far_with_addressee_pl_f,,,,ذَلِكُنَّ الَّذي لُمتُنَّني,ذَلِكُنَّ الَّذِي لُمْتُنَّنِي,يوسف:32,preferred,,1,97,0.92
10,DEMONSTRATIVE,هُنا,هُنَا,DEMO_PLACE_NEAR,اسم إِشارَة لِلمَكان القَريب،,zarf_mabni,deixis_near_place,,,لا يُجَرّ إِلّا بِـ مِن أَو إِلى،,هُنا مَكانُكَ,قَالُوا اقْعُدُوا مَعَ الْقَاعِدِينَ,التوبة:46,reported,,1,99,0.88
11,DEMONSTRATIVE,هُناكَ,هُنَاكَ,DEMO_PLACE_MID,اسم إِشارَة لِلمَكان المُتَوَسِّط البُعد،,zarf_mabni,deixis_mid_place,,,,هُناكَ بَيتي,هُنَالِكَ ابْتُلِيَ الْمُؤْمِنُونَ,الأحزاب:11,reported,,1,99,0.85
12,DEMONSTRATIVE,هُنالِكَ,هُنَالِكَ,DEMO_PLACE_FAR,اسم إِشارَة لِلمَكان البَعيد،,zarf_mabni,deixis_far_place,,,,هُنالِكَ مَدينَتي,هُنَالِكَ تَبْلُو كُلُّ نَفْسٍ,يونس:30,preferred,,1,99,0.88
13,DEMONSTRATIVE_KAF_TASHBEEH,كَهَذا,كَهَذَا,DEMO_NEAR_M_WITH_KAF,اسم إِشارَة قَريب مَع كاف التَّشبيه — مَع عَدَم الخِلاف عَلى الجَواز,jar_kaf,deixis_near_with_simile,حَيث الكاف لَيسَت مَكان اللام،,,لا يَجوز ذَلِكَ مَع ذا (لا يَجمَع لامان),كَهَذا كَريمٌ,,,,1,105,0.85
