priority,topic_id,operator,vocalized_form,meaning_id,meaning_ar,syntactic_effect,semantic_field,conditions,exceptions,warnings,example_constructed,example_quran,surah_ayah,author_position,disagreement,source_part,source_page,confidence
1,PRONOUN,أَنَا,أَنَا,1ST_SG_SUBJ,ضَمير المُتَكَلِّم المُفرَد المُنفَصِل في مَوضِع رَفع,raf3_munfasil,reference_to_speaker,يَكون فاعِلًا أَو مُبتَدَأً,,لا يَتَّصِل بِشَيء,أَنَا قائِمٌ,إِنِّي أَنَا اللَّهُ,طه:14,reported,,1,35,0.95
2,PRONOUN,نَحنُ,نَحْنُ,1ST_PL_SUBJ,ضَمير المُتَكَلِّمين أَو المُعَظِّم نَفسَه,raf3_munfasil,reference_to_speaker_plural,لِلجَمع أَو لِلتَّعظيم,,قَد يَكون لِواحِد عَلى وَجه التَّعظيم,نَحنُ ذاهِبون,إِنَّا نَحْنُ نَزَّلْنَا الذِّكْرَ,الحجر:9,preferred,,1,35,0.95
3,PRONOUN,أَنتَ,أَنْتَ,2ND_SG_M_SUBJ,ضَمير المُخاطَب المُذَكَّر المُفرَد,raf3_munfasil,reference_to_addressee_m_sg,,,التاء فيه ضَمير، أَنْ زائِدَة لِلفَصل,أَنتَ كَريمٌ,أَنْتَ مَوْلَانَا فَانْصُرْنَا,البقرة:286,reported,,1,35,0.92
4,PRONOUN,أَنتِ,أَنْتِ,2ND_SG_F_SUBJ,ضَمير المُخاطَبَة المُؤَنَّثَة المُفرَدَة,raf3_munfasil,reference_to_addressee_f_sg,,,الفَرق عَن أَنتَ في الكاف,أَنتِ كَريمَةٌ,,,reported,,1,35,0.92
5,PRONOUN,أَنتُما,أَنْتُمَا,2ND_DU_SUBJ,ضَمير المُخاطَبَين/تَين,raf3_munfasil,reference_to_addressee_dual,,,لا فَرق بَين المُذَكَّر وَ المُؤَنَّث,أَنتُما طالِبان,قَالَا رَبَّنَا,الأعراف:23,reported,,1,35,0.92
6,PRONOUN,أَنتُم,أَنْتُمْ,2ND_PL_M_SUBJ,ضَمير المُخاطَبين المُذَكَّر الجَمع,raf3_munfasil,reference_to_addressee_m_pl,,,,أَنتُم ذاهِبون,أَنْتُمْ الْأَعْلَوْنَ,آل عمران:139,reported,,1,35,0.92
7,PRONOUN,أَنتُنَّ,أَنْتُنَّ,2ND_PL_F_SUBJ,ضَمير المُخاطَبات الجَمع المُؤَنَّث,raf3_munfasil,reference_to_addressee_f_pl,,,,أَنتُنَّ كَريمات,لَسْتُنَّ كَأَحَدٍ مِنَ النِّسَاءِ,الأحزاب:32,reported,,1,35,0.92
8,PRONOUN,هُوَ,هُوَ,3RD_SG_M_SUBJ,ضَمير الغائِب المُذَكَّر المُفرَد,raf3_munfasil,reference_to_absent_m_sg,,,قَد يَأتي ضَميرَ شَأن,هُوَ كَريمٌ,قُلْ هُوَ اللَّهُ أَحَدٌ,الإخلاص:1,preferred,,1,35,0.95
9,PRONOUN,هِيَ,هِيَ,3RD_SG_F_SUBJ,ضَمير الغائِبَة المُؤَنَّثَة المُفرَدَة,raf3_munfasil,reference_to_absent_f_sg,,,قَد تَأتي ضَميرَ قِصَّة,هِيَ كَريمَةٌ,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,القدر:5,preferred,,1,35,0.95
10,PRONOUN,هُما,هُمَا,3RD_DU_SUBJ,ضَمير الغائِبَين/تَين,raf3_munfasil,reference_to_absent_dual,,,,هُما طالِبان,قَالَا رَبَّنَا ظَلَمْنَا أَنفُسَنَا,الأعراف:23,reported,,1,35,0.9
11,PRONOUN,هُم,هُمْ,3RD_PL_M_SUBJ,ضَمير الغائِبين المُذَكَّر الجَمع,raf3_munfasil,reference_to_absent_m_pl,,,قَد يَأتي ضَمير فَصل,هُم ذاهِبون,أُولَئِكَ هُمُ الْمُفْلِحُونَ,البقرة:5,preferred,,1,35,0.95
12,PRONOUN,هُنَّ,هُنَّ,3RD_PL_F_SUBJ,ضَمير الغائِبات الجَمع المُؤَنَّث,raf3_munfasil,reference_to_absent_f_pl,,,,هُنَّ كَريمات,هُنَّ لِبَاسٌ لَكُمْ,البقرة:187,reported,,1,35,0.9
13,PRONOUN,تُ,تُ,1ST_SG_PV_SUFFIX,ضَمير المُتَكَلِّم المُفرَد المُتَّصِل بِالفِعل الماضي,raf3_muttasil,reference_to_speaker_past,يَلحَق بِالماضي,,تَختَلِف عَن تاء التَّأنيث السَّاكِنَة,قُمتُ,قُلْتُ سُبْحَانَ رَبِّي,الإسراء:93,reported,,1,40,0.92
