priority,topic_id,operator,vocalized_form,meaning_id,meaning_ar,syntactic_effect,semantic_field,conditions,exceptions,warnings,example_constructed,example_quran,surah_ayah,author_position,disagreement,source_part,source_page,confidence
1,FAIL,—,—,FAIL_BASIC,الفاعِل اسم مَرفوع يَأتي بَعد فِعل تامّ مَبنيّ لِلمَعلوم — يَدُلّ عَلى مَن وَقَعَ مِنه الفِعل,marfu3_after_active_verb,subject_of_action,أَن يَكون الفِعل تامًّا مَعلومًا,قَد يَستَتِر,لا تَجعَل المُبتَدَأ فاعِلًا — التَّمييز بِالعامِل,قامَ زَيدٌ,قَالَ مُوسَى,طه:65,preferred,,2,39,0.95
2,FAIL,—,—,FAIL_MUDHMAR,الفاعِل المُستَتِر — حَيث يَكون الفاعِل ضَميرًا مُقَدَّرًا,marfu3_pronoun_implied,implied_subject,حَيث المَعنى وَ السِّياق يُحَدِّدان,,قَد يَكون مُستَتِرًا وُجوبًا أَو جَوازًا,زَيدٌ قامَ (الضَّمير مُستَتِر تَقديره هو),وَقَالَ يَا قَوْمِ,الأنبياء:67,preferred,,2,40,0.92
3,FAIL,—,—,FAIL_MUFASSAR_TAMYIZ,الفاعِل المُفَسَّر بِالتَّمييز — يَكون مُبهَمًا ثُمّ يُفَسَّر بِتَمييز,marfu3_with_tamyiz,subject_clarified_by_tamyiz,حَيث الفاعِل مُبهَم,,التَّمييز يُزيل الإِبهام,طابَ زَيدٌ نَفسًا (الفاعِل: نَفسًا تَمييز),اشْتَعَلَ الرَّأْسُ شَيْبًا,مريم:4,preferred,,2,40,0.92
4,FAIL,—,—,FAIL_HADHF,حَذف الفاعِل لِدَليل قَوِيّ — لا يَجوز إِلَّا بِشُروط,deletion_of_subject,ellipsis_subject,قَرينَة قَوِيَّة دالَّة,,الأَصل ذِكر الفاعِل,(ضُرِبَ زَيدٌ) — في البِناء لِلمَجهول الفاعِل مَحذوف وَ يَنوب عَنه المَفعول,وَإِذَا حُيِّيتُمْ بِتَحِيَّةٍ,النساء:86,preferred,,2,41,0.9
5,FAIL,—,—,FAIL_MUTHANNAH_JAMA,الفاعِل المُثَنَّى أَو الجَمع — الفِعل قَبله يَبقى مُفرَدًا غالِبًا,verb_singular_with_pl_subj,verb_subject_agreement,حَيث الفاعِل بَعد الفِعل,قَد يُؤَنَّث الفِعل لِلتَّأنيث المَجازيّ,التَّفريق بَين تَأنيث الفِعل لِلفاعِل المُؤَنَّث الحَقيقيّ وَ المَجازيّ,قامَ الطُّلَّابُ,قَالَ الْحَوَارِيُّونَ,آل عمران:52,preferred,,2,41,0.9
6,NAIB_FAIL,—,—,NAIB_BASIC,نائِب الفاعِل — اسم مَرفوع يَأتي بَعد فِعل مَبنيّ لِلمَجهول,marfu3_after_passive,replaces_subject,حَيث الفِعل مَبنيّ لِلمَجهول,قَد يَكون مَفعولًا في الأَصل,لا تَجعَله مُبتَدَأ — التَّمييز بِالفِعل,ضُرِبَ زَيدٌ,أُكِلَ الطَّعَامُ,reported,,2,43,0.95
7,NAIB_FAIL,—,—,NAIB_MAFOOL_BIH,نائِب الفاعِل المَفعول بِه — أَكثَر صُوَر النِّيابَة,marfu3_originally_object,object_becomes_subject,حَيث الفِعل مُتَعَدٍّ,قَد يَكون مَصدَرًا أَو ظَرفًا أَو جارًّا,أَولى الأَشياء بِالنِّيابَة المَفعول بِه,أُكرِمَ الطّالِبُ,أُلْقِيَ السَّاحِرُونَ سُجَّدًا,طه:70,preferred,,2,43,0.92
8,NAIB_FAIL,—,—,NAIB_ZARF,نائِب الفاعِل الظَّرف — جَواز نِيابَة الظَّرف المُتَصَرِّف بِشُروط,marfu3_zarf,adverb_as_subject,أَن يَكون الظَّرف مُتَصَرِّفًا مُختَصًّا,لا يَنوب الظَّرف المُلازِم لِلظَّرفيَّة,التَّفريق بَين الظَّرف المُختَصّ وَ المُبهَم,صِيمَ يَومُ الجُمُعَةِ (يَومُ نائِب فاعِل),,,reported,,2,44,0.88
9,NAIB_FAIL,—,—,NAIB_MASDAR,نائِب الفاعِل المَصدَر — بِشُروط مُحَدَّدَة,marfu3_masdar,masdar_as_subject,أَن يَكون المَصدَر مُختَصًّا أَو مَوصوفًا,لا يَنوب المَصدَر المُبهَم,,سيرَ سَيرٌ شَديدٌ,,,reported,,2,44,0.85
10,NAIB_FAIL,—,—,NAIB_JAR_MAJROOR,نائِب الفاعِل الجارّ وَ المَجرور — بِشُروط,marfu3_prep_phrase,prep_as_subject,أَن لا يوجَد مَفعول بِه يُقَدَّم,لا يَنوب الجارّ مَع وُجود مَفعول,,نُظِرَ إِلى زَيدٍ (إلى زَيدٍ نائِب فاعِل),,,reported,خِلاف في الجارّ كَنائِب,2,45,0.85
