priority,topic_id,operator,vocalized_form,meaning_id,meaning_ar,syntactic_effect,semantic_field,conditions,exceptions,warnings,example_constructed,example_quran,surah_ayah,author_position,disagreement,source_part,source_page,confidence
1,ZANN_FAMILY,—,—,ZANN_BASIC,ظَنَّ وَ أَخواتها أَفعال تَدخُل عَلى المُبتَدَأ وَ الخَبَر فَتَنصِبهما مَفعولَين,nasb_two_objects,predication_under_modal_operator,أَن يَكون الفِعل مِن أَفعال القُلوب النَّاصِبَة لِمَفعولَين,لا يَجوز الاكتِفاء بِأَحَد المَفعولَين إِلَّا بِشُروط,المَفعول الثَّاني خَبَر مَنسوب لا حال,ظَنَنتُ زَيدًا قائِمًا,حَسِبْتُمْ أَن تَدْخُلُوا الْجَنَّةَ,البقرة:214,preferred,خِلاف هَل المَفعول الثَّاني حال — رَدَّه السامرَّائيّ,2,5,0.95
2,ZANN_FAMILY,ظَنَّ,ظَنَّ,ZANN_VERB,ظَنَّ أَصلها لِلرُّجحان مَع جَواز الِامتِداد لِليَقين بِحَسَب السِّياق,nasb_two_objects,probable_belief,أَفعال القُلوب الناصِبَة,قَد تَأتي لِليَقين,لا تَجعَلها يَقينًا مُطلَقًا,ظَنَنتُ زَيدًا أَخاك,وَمَا خَلَقْنَا السَّمَاءَ وَالْأَرْضَ وَمَا بَيْنَهُمَا بَاطِلًا ذَلِكَ ظَنُّ الَّذِينَ كَفَرُوا,ص:27,preferred,,2,17,0.93
3,ZANN_FAMILY,حَسِبَ,حَسِبَ,HASIB_VERB,حَسِبَ تُفيد الرُّجحان مَع إِمكان الشَّكّ,nasb_two_objects,probable_belief,مِن أَفعال الرُّجحان,,تَختَلِف عَن الحُسبان بِالحِساب العَقليّ,حَسِبتُ زَيدًا حاضِرًا,أَفَحَسِبْتُمْ أَنَّمَا خَلَقْنَاكُمْ عَبَثًا,المؤمنون:115,preferred,,2,18,0.92
4,ZANN_FAMILY,خَالَ,خَالَ,KHAL_VERB,خَالَ تُفيد الرُّجحان مَع تَوَهُّم,nasb_two_objects,probable_belief,مِن أَفعال الرُّجحان,,تَتَطَلَّب قَرينَة لِلتَّمييز عَن خال بِمَعنى خَالَة,خِلتُ الهِلالَ لائِحًا,,,reported,,2,18,0.88
5,ZANN_FAMILY,زَعَمَ,زَعَمَ,ZAEM_VERB,زَعَمَ تَدُلّ عَلى ادِّعاء يَحتَمِل الكَذِب,nasb_two_objects,claim_or_assumption,مِن أَفعال الرُّجحان,,أَكثَر استِخدامها في القُرآن في الادِّعاءات الباطِلَة,زَعَمتُ زَيدًا حاضِرًا,زَعَمَ الَّذِينَ كَفَرُوا,التغابن:7,preferred,,2,18,0.92
6,ZANN_FAMILY,عَلِمَ,عَلِمَ,ALIMA_VERB,عَلِمَ تُفيد اليَقين,nasb_two_objects,knowledge,مِن أَفعال اليَقين,قَد تَأتي بِمَعنى عَرَف فَتَنصِب مَفعولًا واحِدًا,التَّفريق بَين عَلِمَ وَ عَرَفَ مَهَمّ,عَلِمتُ زَيدًا قائِمًا,وَعَلِمَ آدَمَ الْأَسْمَاءَ كُلَّهَا,البقرة:31,preferred,خِلاف هَل عَلِمَ بِمَعنى عَرَفَ تَتَعَدَّى لِمَفعول واحِد,2,7,0.95
7,ZANN_FAMILY,رَأَى,رَأَى,RAA_VERB,رَأى لَها ثَلاثَة أَنواع: بَصَريَّة (مَفعول واحِد)، قَلبيَّة (مَفعولان)، حُلميَّة,multiple_valency,seeing_or_belief,بِحَسَب نَوع الرُّؤيَة,البَصَريَّة لا تَنصِب مَفعولَين,التَّمييز بِالسِّياق ضَروريّ,رَأَيتُ الحَقَّ مُنتَصِرًا (قَلبيَّة),إِنِّي أَرَنِي أَعصِرُ خَمرًا,يوسف:36,preferred,,2,10,0.93
8,ZANN_FAMILY,وَجَدَ,وَجَدَ,WAJADA_VERB,وَجَدَ تُفيد اليَقين بَعد بَحث،,nasb_two_objects,finding_or_certain_judgment,بِحَسَب valency 1 أَو 2,قَد تَأتي بِمَعنى صادَفَ فَتَنصِب مَفعولًا واحِدًا,,وَجَدتُ زَيدًا صادِقًا,وَجَدْنَا آبَاءَنَا كَذَلِكَ يَفْعَلُونَ,الشعراء:74,preferred,,2,11,0.92
9,ZANN_FAMILY,أَلفى,أَلْفَى,ALFA_VERB,أَلفى تُفيد اليَقين,nasb_two_objects,finding_or_certain_judgment,مِن أَفعال اليَقين,,,أَلفَيتُ زَيدًا صَدوقًا,بَلْ نَتَّبِعُ مَا أَلْفَيْنَا عَلَيْهِ آبَاءَنَا,البقرة:170,preferred,,2,11,0.9
10,ZANN_FAMILY,دَرَى,دَرَى,DARA_VERB,دَرَى تُفيد العِلم بَعد جَهل، تَتَعَدَّى بِالباء غالِبًا,prep_with_ba,knowledge_after_question,تَتَعَدَّى بِالباء,تَتَعَدَّى بِنَفسها مَع الهَمزَة (أَدرى),لا تُستَعمَل في حَقّ اللَّه,دَرَيتُ بِالأَمرِ,وَمَا أَدْرَاكَ مَا الْحَاقَّةُ,الحاقة:2,preferred,خِلاف هَل تَتَعَدَّى لِمَفعولَين,2,11,0.9
