priority,topic_id,operator,vocalized_form,meaning_id,meaning_ar,syntactic_effect,semantic_field,conditions,exceptions,warnings,example_constructed,example_quran,surah_ayah,author_position,disagreement,source_part,source_page,confidence
1,PREP_BA,بِ,بِ,BA_ILSAQ,الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل,jar,attachment,أَن يَتَّصِل المَجرور بِالفِعل أَو الفاعِل,,لا تُتَرجَم بِغَيرها بِلا قَرينَة,أَمسَكتُ بِيَدِكَ,مَسَحَ بِرُؤُوسِكُمْ,المائدة:6,preferred,,3,160,0.95
2,PREP_BA,بِ,بِ,BA_ISTIANA,الباء لِلِاستِعانَة — يُستَعمَل بِها لِأَداء الفِعل,jar_instrumental,instrument,أَن يَكون المَجرور أَداة لِلفِعل,,,كَتَبتُ بِالقَلَمِ,اقْرَأْ بِاسْمِ رَبِّكَ,العلق:1,preferred,,3,162,0.95
3,PREP_BA,بِ,بِ,BA_SABABIYYA,الباء لِلسَّبَبيَّة — تَدُلّ عَلى سَبَب وُقوع الفِعل,jar_causal,causation,قَرينَة دالَّة عَلى السَّبَب,,,مَرِضَ بِسَبَبِ البَردِ,فَكُلًّا أَخَذْنَا بِذَنبِهِ,العنكبوت:40,preferred,,3,164,0.95
4,PREP_BA,بِ,بِ,BA_MUSAHABA,الباء لِلمُصاحَبَة — بِمَعنى مَع،,jar_companionship,companionship,قَرينَة دالَّة عَلى المَعيَّة,,قَريبَة مِن الإِلصاق,خَرَجتُ بِزَيدٍ,قَدْ جَاءَكُمُ الرَّسُولُ بِالْحَقِّ,النساء:170,preferred,,3,166,0.92
5,PREP_BA,بِ,بِ,BA_ZARFIYYA,الباء لِلظَّرفيَّة — بِمَعنى في،,jar_locative,locative,قَرينَة سياقيَّة,,لا تَستَبدِلها بِـ في تِلقائيًّا — الذَّوق مُختَلِف,جَلَستُ بِالمَسجِدِ,نَصَرَكُمُ اللَّهُ بِبَدْرٍ,آل عمران:123,preferred,خِلاف هَل ظَرفيَّة الباء = ظَرفيَّة في,3,167,0.88
6,PREP_BA,بِ,بِ,BA_BADAL,الباء لِلبَدَل — بِمَعنى عِوَض،,jar_substitute,exchange,قَرينَة دالَّة عَلى المُقابَلَة,,,بِعتُ الكِتابَ بِدِرهَمٍ,اشْتَرَوُا الضَّلَالَةَ بِالْهُدَى,البقرة:16,preferred,,3,168,0.92
7,PREP_BA,بِ,بِ,BA_MUQABALA,الباء لِلمُقابَلَة — تُشبِه البَدَل,jar_correspondence,correspondence,حَيث تَكون الأُجرَة أَو الجَزاء,,,أَجَرتُكَ بِدِرهَمٍ,ذَلِكَ بِأَنَّهُمْ آمَنُوا,المائدة:54,preferred,,3,168,0.9
8,PREP_BA,بِ,بِ,BA_QASAM,الباء لِلقَسَم,jar_oath,oath,حَيث المَجرور اسم مُقَدَّس عادَةً,,,بِاللَّهِ لَأَفعَلَنَّ,قَالَ فَبِعِزَّتِكَ لَأُغْوِيَنَّهُمْ,ص:82,preferred,,3,170,0.95
9,PREP_BA,بِ,بِ,BA_TAADIYA,الباء لِلتَّعديَة — تَجعَل اللازِم مُتَعَدِّيًا,jar_transitive,transitivity_marker,حَيث الفِعل أَصلًا لازِم,,لا تَستَبدِلها بِالهَمزَة آليًّا,ذَهَبتُ بِزَيدٍ (= أَذهَبتُ),ذَهَبَ اللَّهُ بِنُورِهِمْ,البقرة:17,preferred,خِلاف هَل ذَهَبَ بِه = أَذهَبَه,3,172,0.92
10,PREP_BA,بِ,بِ,BA_ZAIDA,الباء الزَّائِدَة — لِلتَّوكيد بِشُروط,jar_redundant,emphasis_redundant,سياق بَلاغيّ مُحَدَّد,,تَكون زائِدَة مَع كَفى وَ خَبَر لَيس,كَفى بِاللَّهِ شَهيدًا,وَكَفَى بِاللَّهِ شَهِيدًا,النساء:79,reported,خِلاف هَل هي زائِدَة فِعلًا,3,174,0.88
