priority,topic_id,operator,vocalized_form,meaning_id,meaning_ar,syntactic_effect,semantic_field,conditions,exceptions,warnings,example_constructed,example_quran,surah_ayah,author_position,disagreement,source_part,source_page,confidence
1,PREP_RUBBA,رُبَّ,رُبَّ,RUBBA_TAQLEEL,رُبَّ لِلتَّقليل — تَدُلّ عَلى نُدرَة الوُقوع,jar_few,few_or_rare,أَن يَكون المَجرور نَكِرَة،,قَد تَأتي لِلتَّكثير بِقَرينَة,لا تُترجَم بِـ كَثيرًا تِلقائيًّا,رُبَّ صَديقٍ خَيرٌ مِن أَخٍ,رُبَمَا يَوَدُّ الَّذِينَ كَفَرُوا,الحجر:2,preferred,خِلاف هَل الأَصل التَّقليل أَم التَّكثير,3,140,0.92
2,PREP_RUBBA,رُبَّ,رُبَّ,RUBBA_TAKTHEER,رُبَّ لِلتَّكثير — قَرينَة سياقيَّة بَلاغيَّة,jar_many,many_or_often,سياق بَلاغيّ مُحَدَّد,,,رُبَّ مَرَّةٍ نَدِمتُ,,—,reported,خِلاف بَين النُّحاة,3,142,0.88
3,PREP_MUDH,مُذ,مُذْ,MUDH_IBTIDA_ZAMAN,مُذ لِابتِداء الغايَة الزَّمانيَّة — تَدُلّ عَلى أَوَّل المُدَّة,jar,start_of_temporal,أَن يَكون المَجرور زَمانًا ماضيًا,قَد تَكون اسمًا لا حَرفًا حَسَب الإِعراب,التَّفريق عَن مِن في الزَّمان,ما رَأَيتُهُ مُذ يَومِ الجُمعَةِ,,—,preferred,خِلاف هَل مُذ حَرف أَم اسم,3,93,0.9
4,PREP_MUNDHU,مُنذُ,مُنذُ,MUNDHU_IBTIDA_ZAMAN,مُنذُ لِابتِداء الغايَة الزَّمانيَّة — مِثل مُذ بِزِيادَة النون,jar,start_of_temporal,أَن يَكون المَجرور زَمانًا ماضيًا,,قَريبَة مِن مُذ,ما رَأَيتُهُ مُنذُ يَومَين,,—,preferred,,3,94,0.9
5,PREP_MUNDHU,مُنذُ,مُنذُ,MUNDHU_DHARFIYYA,مُنذُ لِلظَّرفيَّة الزَّمانيَّة — بِمَعنى في,jar,temporal,سياق دَلاليّ ظَرفيّ,,,لَم أَرَهُ مُنذُ يَومَين,,—,reported,,3,96,0.85
6,PREP_TAA,تَ,تَ,TAA_QASAM,التاء لِلقَسَم — مُختَصَّة بِلَفظ الجَلالَة غالِبًا,jar_oath,oath,بَعد فِعل أَو مَعنى قَسَم،,لا تُستَخدَم مَع غَير اللَّه إِلّا نادِرًا,قَريبَة مِن الواو وَ الباء,تَاللَّهِ لَأَفعَلَنَّ,تَاللَّهِ تَفْتَأُ تَذْكُرُ يُوسُفَ,يوسف:85,preferred,,3,105,0.95
7,PREP_KHALA,خَلا,خَلا,KHALA_ISTITHNA,خَلا لِلِاستِثناء — تَكون حَرفًا فَتَجُرّ أَو فِعلًا فَتَنصِب,jar_exception,exception,سياق استِثنائيّ،,تَكون فِعلًا أَيضًا,لا تُترجَم آليًّا — الفَرق إِعرابيّ,قامَ القَومُ خَلا زَيدٍ,,—,preferred,خِلاف هَل حَرف أَم فِعل,3,150,0.88
8,PREP_ADA,عَدا,عَدا,ADA_ISTITHNA,عَدا لِلِاستِثناء — مِثل خَلا,jar_exception,exception,سياق استِثنائيّ،,تَكون فِعلًا أَيضًا,نَفس حُكم خَلا,قامَ القَومُ عَدا زَيدٍ,,—,preferred,خِلاف هَل حَرف أَم فِعل,3,152,0.88
9,PREP_HASHA,حاشا,حاشا,HASHA_ISTITHNA,حاشا لِلِاستِثناء — مِثل خَلا وَ عَدا،,jar_exception,exception,سياق استِثنائيّ،,تَكون فِعلًا أَيضًا,نَفس حُكم خَلا,قامَ القَومُ حاشا زَيدٍ,حَاشَ لِلَّهِ,يوسف:31,preferred,خِلاف هَل حَرف أَم فِعل,3,154,0.88
10,PREP_KAY,كَي,كَيْ,KAY_TAALIL,كَي لِلتَّعليل — تَنصِب الفِعل المُضارع بَعدَها,jar_purpose,purpose,قَبل فِعل مُضارع،,تُشبِه لام التَّعليل,الفَرق دَقيق بَين كَي وَ لام التَّعليل,جِئتُ كَي أَستَفيدَ,لِكَيْلَا يَكُونَ عَلَى الْمُؤْمِنِينَ حَرَجٌ,الأحزاب:37,preferred,,3,231,0.92
