priority,name,wazn_pattern,example,note
1,af3aal,أَفعال,أَيام/أَنبياء,جَمع تَكسير شائِع لِمُذَكَّر
2,fu3uul,فُعول,قُلوب/بُيوت,جَمع تَكسير
3,fi3aal,فِعال,رِجال/كِبار,
4,fu3al,فُعَل,صُوَر/قِرَب,
5,fu3alaa,فُعَلاء,شُهَداء/أَنبِياء,جَمع تَكسير
6,af3ilaa,أَفعِلاء,أَصدِقاء/أَنبِياء,
7,fawaa3il,فَواعِل,خَواتِم/قَوافِل,
8,fa3aa3il,فَعائِل,حَدائِق/قَلائِد,
9,fa3aaleel,فَعاليل,أَناشيد,
10,af3ul,أَفعُل,أَكفُّ/أَفلُك,
11,fi3laan,فِعلان,خِلان/إِخوان,
12,fu3laan,فُعلان,شُجعان/قُضبان,
13,fu33al,فُعَّل,رُكَّع/سُجَّد,جَمع كَثرَة لِفاعِل
14,fa3alah,فَعَلَة,حَفَظَة/خَزَنَة,جَمع لِفاعِل
15,af3ilah,أَفعِلَة,أَسئِلَة/أَطعِمَة,جَمع قِلَّة
16,fu3uulah,فُعولَة,بُحوثة/شُيوخة,
17,fa3aalil,فَعاليّ,لَيالي/مَواليّ,
18,fi3aalah,فِعالَة,رِسالَة (مُفرَد) — فِعالَة جَمع نادِر,
19,maf3uul_pl,مَفاعيل,مَفاتيح/مَصابيح,جَمع لِمِفعال
20,maf3al_pl,مَفاعِل,مَساجِد/مَواقِع,جَمع لِمَفعَل
21,fa3aalee,فَعاليّ,لَيالي,
22,fu3uulun,فُعولون,مُسلِمون,
23,fu3uulin,فُعولين,مُسلِمين,
24,fi3laan_alt,فِعلان_بَديل,غِلمان/صِبيان,
25,fu33aal,فُعّال,كُفّار/تُجّار,
26,fa3aali,فَعالي,صَحاري,
