priority,name,marker,modal_type,strength,confidence,note
1,modal_yajib,يجب,deontic,1.0,Certificate,وجوب — قطعي
2,modal_la_budd,لا بد,deontic,1.0,Certificate,لا بدّ — قطعي
3,modal_hatman,حتما,deontic,1.0,Certificate,قطعي
4,modal_qatean,قطعا,deontic,1.0,Certificate,قطعي
5,modal_yanbaghi,ينبغي,deontic,0.8,Certificate,استحباب قويّ
6,modal_yalzam,يلزم,deontic,0.8,Certificate,لزوم
7,modal_yufaddal,يفضل,deontic,0.5,Hypothesis,تَفضيل
8,modal_yustahsan,يستحسن,deontic,0.5,Hypothesis,تَحسين
9,modal_yumkin,يمكن,epistemic,0.5,Certificate,إمكان
10,modal_yajuz,يجوز,epistemic,0.5,Certificate,جواز
11,modal_qad,قد,epistemic,0.5,Hypothesis,قَد — قد تَدخل على المضارع لِلتَّحقيق أو على الماضي
12,modal_laalla,لعل,epistemic,0.4,Certificate,تَرجٍّ
13,modal_assa,عسى,epistemic,0.4,Certificate,تَرجٍّ
14,modal_rubbamaa,ربما,epistemic,0.3,Certificate,احتمال
15,modal_yahtamil,يحتمل,epistemic,0.3,Hypothesis,احتمال
16,modal_lawla,لولا,epistemic,0.6,Hypothesis,امتناع لوجود
17,modal_law,لو,epistemic,0.5,Hypothesis,امتناع لامتناع
18,modal_lakhayr,لخير,deontic,0.7,Hypothesis,لام التوكيد للخير
19,modal_inn_assa,إن عسى,epistemic,0.4,Hypothesis,مركَّب
20,modal_kayla,كيلا,deontic,0.7,Hypothesis,لِأَجل ألا
