code,ar
closed_class_detector,معجم المبنيات
jamid_detector,معجم الجوامد
jamid_detector_no_verbal_root,معجم الجوامد (جذر بلا فعل)
jalalah_lexical,لَفظ مُنفَرِد (legacy)
jalalah_lexical_lookup,لَفظ مُنفَرِد (legacy)
jalalah_convention,لَفظ مُنفَرِد (legacy)
jalalah_singular_term,لَفظ مُنفَرِد (اللَّه)
singular_term_jalalah,لَفظ مُنفَرِد (اللَّه)
singular_term_lookup,لَفظ مُنفَرِد
user_directive_2026_05_22:singular_term_ontology,تَوجيه دَستوريّ — لَفظ مُنفَرِد
masaq_noun_prop_lookup,أعلام MASAQ
masaq_noun_prop,أعلام MASAQ
wazn_aligner,محاذي الأوزان
wazn_aligner_verbal,محاذي الأوزان (فعل)
wazn_aligner_nominal,محاذي الأوزان (اسم)
wazn_aligner_on_concrete_noun,محاذي الأوزان (مشتق محسوس)
surface_verb_heuristic,كاشف الفعل بالسطح
PV_is_mabni,الماضي مبني
CV_is_mabni,الأمر مبني
verb_aspect_PV,فعل ماضٍ
verb_aspect_IV,فعل مضارع
verb_aspect_CV,فعل أمر
IV_default_marfu,مضارع مرفوع افتراضًا
mabni_by_class,مبني بحسب الفئة
case_by_final_diacritic,الحالة من الحركة الأخيرة
case_by_final_diacritic_unknown_class,الحالة من الحركة (فئة مجهولة)
harf_kind,حرف بحسب النوع
harf_kind_generic,حرف عام
ism_mabni_by_class,اسم مبني بحسب الفئة
mafool_bih_positional,مفعول به (موقعي)
faail_positional,فاعل (موقعي)
mubtada_first_marfu_no_verb,مبتدأ (أوّل مرفوع)
khabar_after_mubtada,خبر بعد مبتدأ
khabar_inna_positional,خبر إنّ (موقعي)
naat_case_def_agreement,نعت يطابق ما قبله
mudaf_ilayh_positional,مضاف إليه
fallback_case_only,احتياطي (الحالة فقط)
PV:mabni_ala_fath,الماضي مبني على الفتح
PV:mabni_ala_damm,الماضي مبني على الضم
PV:mabni_ala_sukoon,الماضي مبني على السكون
PV:mabni,الماضي مبني
CV:mabni,الأمر مبني
IV+prev_HARF_NASB,مضارع منصوب بعد حرف نصب
IV+prev_HARF_JAZM,مضارع مجزوم بعد حرف جزم
ending,من الحركة
after_HARF_JARR,بعد حرف جر
ism+prev_HARF_JARR,اسم بعد حرف جر
ism_inna_after,اسم إنّ بعد
faail_after_verb,فاعل بعد فعل
mafool_bih_after_verb,مفعول به بعد فعل
mubtada_first_marfu,مبتدأ (أوّل مرفوع)
khabar_inna,خبر إنّ
naat_agrees_prev,نعت يطابق ما قبله
mudaf_ilayh,مضاف إليه
fiil_aspect,نوع الفعل
layer1,الطبقة الأولى
no_match_default_ism,بلا وزن — افتراض اسم
HARF_is_mabni,حرف مبني
ISM_MABNI_is_mabni,اسم مبني
PV,ماضٍ
IV,مضارع
CV,أمر
mabni_ala_fath,مبني على الفتح
mabni_ala_damm,مبني على الضم
mabni_ala_kasr,مبني على الكسر
mabni_ala_sukoon,مبني على السكون
default_marfu,مرفوع افتراضًا
