wazn,aspect,family,note
فَعَل,PV,سالم ثلاثي,ماضٍ بالفتح
فَعِل,PV,سالم ثلاثي,ماضٍ بالكسر
فَعُل,PV,سالم ثلاثي,ماضٍ بالضم
فَعَلَ,PV,سالم ثلاثي,ماضٍ مع علامة الإعراب
فَعِلَ,PV,سالم ثلاثي,ماضٍ مكسور
فَعُلَ,PV,سالم ثلاثي,ماضٍ مضموم
فَعَّل,PV,form II,ماضٍ مضعَّف
فَعَّلَ,PV,form II,ماضٍ مضعَّف مع إعراب
فَاعَل,PV,form III,ماضٍ — مفاعَلة
فَاعَلَ,PV,form III,ماضٍ — مفاعَلة مع إعراب
أَفْعَل,PV,form IV,ماضٍ — إفعال
أَفَعَل,PV,form IV,ماضٍ — إفعال (متغير)
أَفَعَلَ,PV,form IV,ماضٍ — إفعال
تَفَعَّل,PV,form V,ماضٍ — تفعُّل
تَفَعَّلَ,PV,form V,ماضٍ — تفعُّل
تَفَاعَل,PV,form VI,ماضٍ — تفاعُل
تَفَاعَلَ,PV,form VI,ماضٍ — تفاعُل
انْفَعَل,PV,form VII,ماضٍ — انفعال
انْفَعَلَ,PV,form VII,ماضٍ — انفعال
افْتَعَل,PV,form VIII,ماضٍ — افتعال
افْتَعَلَ,PV,form VIII,ماضٍ — افتعال
افْعَلَّ,PV,form IX,ماضٍ — افعلال
اسْتَفْعَل,PV,form X,ماضٍ — استفعال
اسْتَفْعَلَ,PV,form X,ماضٍ — استفعال
افْعَالَّ,PV,form XI,ماضٍ
افْعَوْعَل,PV,form XII,ماضٍ
افْعَوَّل,PV,form XIII,ماضٍ
فَعْلَل,PV,رباعي مجرّد,ماضٍ
فَعْلَلَ,PV,رباعي مجرّد,ماضٍ
فَالَ,PV,أجوف ماضٍ,
فَال,PV,أجوف ماضٍ,
أَفَال,PV,أجوف ماضٍ form IV
اسْتَفَال,PV,أجوف ماضٍ form X
فَعَى,PV,ناقص يائي,
فَعَا,PV,ناقص واوي,
فَعِيَ,PV,ناقص مكسور,
فَعَوَ,PV,ناقص مضموم,
فَعَّ,PV,مضاعف ماضٍ,
اِفْتَعَّ,PV,مضاعف form VIII,
اسْتَفَعَّ,PV,مضاعف form X,
