count,surface_word,MASAQ_segments,sample_locations
5,أخرجوا,اخرج | وا,6:93:33 ; 22:40:2 ; 27:56:8 ; 59:8:4 ; 59:12:2
4,وينهون,ي | نهي | ون,3:104:9 ; 3:114:7 ; 9:67:8 ; 9:71:8
3,ما دمت,ما | دم | ت,3:75:19 ; 5:117:16 ; 19:31:9
2,لتعودن,ل | ت | ود | ن,7:88:15 ; 14:13:9
2,يلقونه,ي | لقي | ون | ه,9:77:7 ; 33:44:3
2,تدعونني,ت | دع | ون | ي,40:42:1 ; 40:43:4
1,بالملك,ال | ملك,2:247:19
1,فتذكر,ف | ذكر,2:282:69
1,يضار,ي | ضر,2:282:112
1,استجابوا,استجاب,3:172:2
1,أقمتم,أقام | تم,5:12:17
1,ولا تزال,و | لا | ت | زال,5:13:17
1,ما داموا,ما | دام | وا,5:24:7
1,والجروح,ال | جروح,5:45:15
1,ما دمتم,ما | دم | تم,5:96:13
1,تضروه,ت | ضر | ه,9:39:10
1,رجعك,رجع | ,9:83:2
1,المعذرون,ال | معذر,9:90:2
1,صلاتك,ال | صلا | ة | ك,9:103:11
1,تبوآ,تبوء | ا,10:87:6
1,موعده,عام | ه,11:17:25
1,آوي,أ | أ,11:80:8
1,ما دامت,ما | دام | ت,11:107:3
1,فتاها,فتى | ها,12:30:8
1,آمره,أ | أمر | ه,12:32:15
1,فتيان,فتى | ان,12:36:4
1,فتشابه,ف | تشاب,13:16:35
1,وتذوقوا,ف | ت | ذوق | وا,16:94:10
1,لا جرم,لا | جرم,16:109:1
1,موعد,عام,18:58:14
1,يرهقهما,ي | رهق | ما,18:80:8
1,فنجيناك,ف | نجي | ك,20:40:20
1,وعجلت,و | عجلك | ت,20:84:6
1,ياابنأم,يا | ابن,20:94:2
1,تأخذ,أم | لا,20:94:4
1,بلحيتي,ت | أخذ | ب | لحي | ت | ي,20:94:5
1,وكنوز,كنوز,26:58:1
1,وأبونا,و | أب | نا,28:23:25
1,يا هامان,يا | هامان,28:38:13
1,افعل,أب | ت | افعل,37:102:18
1,إلياسين,آل | ياسين,37:130:3
1,والأحزاب,و | ال | والأحزاب,40:5:5
1,اتبعون,قوم | تبع | و | ن,40:38:5
1,يغفرون,ي | غفر,42:37:10
1,فأهلكنا,ف | أهلك,43:8:1
1,ياأيها,يا | أي | ه,43:49:2
1,أرحامكم,أرحام,47:22:10
1,لتأخذوها,ل | ت | أخذ | ها,48:15:7
1,يأخذونها,ي | أخذ | و | ن,48:19:3
1,فأقبلت,ف | أقب | ت,51:29:1
1,اللات,ل | لات,53:19:2
1,حينئذ,حينـئذ,56:84:2
1,مستخلفين,ستخلف | ين,57:7:7
1,بشراكم,بشرى | كم,57:12:10
1,مأواكم,مأو | كم,57:15:10
1,مانعتهم,مان | ة | هم,59:2:19
1,لقولهم,ل | قوم | هم,63:4:8
1,فليأتوا,ف | ل | أتي | وا,68:41:4
1,التراقي,ال | راقي,75:26:4
1,بالنذر,ب | نذر,76:7:2
1,كالوهم,كا | و | هم,83:3:2
1,هاوية,ال | هاوي | ة,101:9:2
