sura,verse,word_no,word,word_plain,segments_raw,segments_plain,tags,norm_surface,norm_segs
2,247,19,بِالْمُلْكِ,بالملك,ال | ملك | None,ال | ملك,DET | NOUN_ABSTRACT | None,بالملك,الملك
2,282,69,فَتُذَكِّرَ,فتذكر,ف | ذكر,ف | ذكر,CONJ | IV,فتذكر,فذكر
2,282,112,يُضَارَّ,يضار,ي | ضر,ي | ضر,IMPERF_PREF | IV,يضار,يضر
3,75,19,مَا دُمْتَ,ما دمت,ما | دم | ت | None,ما | دم | ت,OTHER | PV | SUBJ_PRON | None,ما دمت,مادمت
3,104,9,وَيَنْهَوْنَ,وينهون,ي | نهي | ون | None | None | None | None,ي | نهي | ون,IMPERF_PREF | IV | SUBJ_PRON | None | None | None | None,وينهون,ينهون
3,114,7,وَيَنْهَوْنَ,وينهون,ي | نهي | ون | None | None | None | None,ي | نهي | ون,IMPERF_PREF | IV | SUBJ_PRON | None | None | None | None,وينهون,ينهون
3,172,2,اسْتَجَابُوا,استجابوا,استجاب,استجاب,PV,استجابوا,استجاب
5,12,17,أَقَمْتُمُ,أقمتم,أقام | تم,أقام | تم,PV | SUBJ_PRON,ءقمتم,ءقامتم
5,13,17,وَلَا تَزَالُ,ولا تزال,و | لا | ت | زال,و | لا | ت | زال,CONJ | NEG_PART | IMPERF_PREF | IV,ولا تزال,ولاتزال
5,24,7,مَا دَامُوا,ما داموا,ما | دام | وا | None,ما | دام | وا,OTHER | PV | SUBJ_PRON | None,ما داموا,ماداموا
5,45,15,وَالْجُرُوحَ,والجروح,ال | جروح | None,ال | جروح,DET | NOUN_CONCRETE | None,والجروح,الجروح
5,96,13,مَا دُمْتُمْ,ما دمتم,ما | دم | تم | None,ما | دم | تم,REL_PRON | PV | SUBJ_PRON | None,ما دمتم,مادمتم
5,117,16,مَا دمتُ,ما دمت,ما | دم | ت,ما | دم | ت,OTHER | PV | SUBJ_PRON,ما دمت,مادمت
6,93,33,أَخْرِجُوا,أخرجوا,اخرج | وا,اخرج | وا,CV | PVSUFF_SUBJ:3MP,ءخرجوا,اخرجوا
7,88,15,لَتَعُودُنَّ,لتعودن,ل | ت | ود | ن | None | None,ل | ت | ود | ن,CV_PREF | IMPERF_PREF | IV | EMPHATIC_NUN | None | None,لتعودن,لتودن
9,39,10,تَضُرُّوهُ,تضروه,ت | ضر | ه,ت | ضر | ه,IMPERF_PREF | IV | OBJ_PRON,تضروه,تضره
9,67,8,وَيَنْهَوْنَ,وينهون,ي | نهي | ون | None | None | None | None,ي | نهي | ون,IMPERF_PREF | IV | SUBJ_PRON | None | None | None | None,وينهون,ينهون
9,71,8,وَيَنْهَوْنَ,وينهون,ي | نهي | ون | None | None | None | None,ي | نهي | ون,IMPERF_PREF | IV | SUBJ_PRON | None | None | None | None,وينهون,ينهون
9,77,7,يَلْقَوْنَهُ,يلقونه,ي | لقي | ون | ه | None | None | None,ي | لقي | ون | ه,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None | None,يلقونه,يلقيونه
9,83,2,رَجَعَكَ,رجعك,رجع | ٍ,رجع | ,PV | OBJ_PRON,رجعك,رجع
9,90,2,الْمُعَذِّرُونَ,المعذرون,ال | معذر,ال | معذر,DET | NOUN_ACTIVE_PART,المعذرون,المعذر
9,103,11,صَلَاتَكَ,صلاتك,ال | صلا | ة | ك,ال | صلا | ة | ك,DET | GERUND | NSUFF_FEM_SG | POSS_PRON,صلاتك,الصلاتك
10,87,6,تَبَوَّآ,تبوآ,تبوء | ا,تبوء | ا,CV | SUBJ_PRON,تبوا,تبوءا
11,17,25,مَوْعِدُهُ,موعده,عام | ه,عام | ه,NOUN_TIME_PLACE | POSS_PRON,موعده,عامه
11,80,8,آوِي,آوي,أ | أ,أ | أ,IMPERF_PREF | IV,اوي,ء
11,107,3,مَا دَامَتْ,ما دامت,ما | دام | ت | None,ما | دام | ت,OTHER | PV | PVSUFF_SUBJ:3FS | None,ما دامت,مادامت
12,30,8,فَتَاهَا,فتاها,فتى | ها,فتى | ها,NOUN_CONCRETE | POSS_PRON,فتاها,فتيها
12,32,15,آمُرُهُ,آمره,أ | أمر | ه | None,أ | أمر | ه,IMPERF_PREF | IV | OBJ_PRON | None,امره,ءمره
12,36,4,فَتَيَانِ,فتيان,فتى | ان,فتى | ان,NOUN_CONCRETE | NSUFF_MASC_DU_NOM,فتيان,فتان
13,16,35,فَتَشَابَهَ,فتشابه,ف | تشاب,ف | تشاب,CONJ | PV,فتشابه,فتشاب
14,13,9,لَتَعُودُنَّ,لتعودن,ل | ت | ود | ن | None | None,ل | ت | ود | ن,CV_PREF | IMPERF_PREF | IV | EMPHATIC_NUN | None | None,لتعودن,لتودن
16,94,10,وَتَذُوقُوا,وتذوقوا,ف | ت | ذوق | وا | None,ف | ت | ذوق | وا,CONJ | IMPERF_PREF | IV | SUBJ_PRON | None,وتذوقوا,فتذوقوا
16,109,1,لَا جَرَمَ,لا جرم,لا | جرم,لا | جرم,NEG_PART | NOUN_ABSTRACT,لا جرم,لاجرم
18,58,14,مَوْعِدٌ,موعد,عام | (null),عام,NOUN_TIME_PLACE | CASE_INDEF_GEN,موعد,عام
18,80,8,يُرْهِقَهُمَا,يرهقهما,ي | رهق | ما | None,ي | رهق | ما,IMPERF_PREF | IV | POSS_PRON | None,يرهقهما,يرهقما
19,31,9,مَا دُمْتُ,ما دمت,ما | دم | ت | None,ما | دم | ت,OTHER | PV | SUBJ_PRON | None,ما دمت,مادمت
20,40,20,فَنَجَّيْنَاكَ,فنجيناك,ف | نجي | ك | None | None,ف | نجي | ك,CONJ | PV | OBJ_PRON | None | None,فنجيناك,فنجيك
20,84,6,وَعَجِلْتُ,وعجلت,و | عجلك | ت,و | عجلك | ت,CONJ | PV | SUBJ_PRON,وعجلت,وعجلكت
20,94,2,يَاابْنَأُمَّ,ياابنأم,يا | ابن,يا | ابن,VOC_PART | NOUN_CONCRETE,يابنءم,يابن
20,94,4,تَأْخُذْ,تأخذ,أم | لا,أم | لا,CONJ | NEG_PART,تءخذ,ءملا
20,94,5,بِلِحْيَتِي,بلحيتي,ت | أخذ | None | None | None | ب | لحي | ت | ي,ت | أخذ | ب | لحي | ت | ي,IV3FS | IV | None | None | None | PREP | NOUN_CONCRETE | NSUFF_FEM_SG | POSS_PRON,بلحيتي,تءخذبلحيتي
22,40,2,أُخْرِجُوا,أخرجوا,اخرج | وا,اخرج | وا,PV_PASS | SUBJ_PRON,ءخرجوا,اخرجوا
26,58,1,وَكُنُوزٍ,وكنوز,كنوز,كنوز,NOUN_CONCRETE,وكوز,كوز
27,56,8,أَخْرِجُوا,أخرجوا,اخرج | وا,اخرج | وا,CV | PVSUFF_SUBJ:3MP,ءخرجوا,اخرجوا
28,23,25,وَأَبُونَا,وأبونا,و | أب | نا,و | أب | نا,CONJ | NOUN_CONCRETE | POSS_PRON,وءبونا,وءبنا
28,38,13,يَا هَامَانُ,يا هامان,يا | هامان,يا | هامان,VOC_PART | NOUN_PROP_FOREIGN,يا هامان,ياهامان
33,44,3,يَلْقَوْنَهُ,يلقونه,ي | لقي | ون | ه | None | None | None,ي | لقي | ون | ه,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None | None,يلقونه,يلقيونه
