sura,verse,word_no,seg_no,word,tag,old_seg,new_seg,category
1,1,1,2,بِسْمِ,NOUN_ABSTRACT,اسم,سم,diff_reconstructed
2,5,6,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
2,87,10,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
2,140,23,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
2,156,3,3,أَصَابَتْهُمْ,OBJ_PRON,كم,هم,diff_reconstructed
2,157,7,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
2,177,49,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
2,186,15,1,بِي,PREP,B,ب,diff_reconstructed
2,217,52,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
2,229,19,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
2,229,25,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
2,243,9,1,أُلُوفٌ,NOUN_NUM,ألف,ألوف,diff_reconstructed
2,246,29,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
2,246,34,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
2,253,15,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
2,255,24,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
2,259,43,2,وَانْظُرْ,CV,أنظر,انظر,diff_reconstructed
2,259,49,2,وَانْظُرْ,CV,أنظر,انظر,diff_reconstructed
2,282,94,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
2,282,106,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
3,10,13,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
3,14,22,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
3,26,2,2,اللَّهُمَّ,POSS_PRON,M,م,diff_reconstructed
3,41,8,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
3,45,12,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
3,52,3,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
3,52,18,2,وَاشْهَدْ,IMPERF_PREF,أ,(null),diff_reconstructed
3,52,18,3,وَاشْهَدْ,IV,شهد,اشهد,diff_reconstructed
3,55,4,1,يَاعِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
3,59,3,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
3,64,10,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
3,90,12,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
3,104,12,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
