plain_form,count
الله,2153
والله,240
بالله,139
لله,116
القيامة,70
العزيز,64
إبراهيم,58
الرحمن,45
الحكيم,40
الرحيم,34
العليم,32
ولله,27
الحرام,23
السميع,19
علي,16
لوط,15
ثمود,13
وثمود,12
عاد,11
عدن,11
الغفور,11
الحميد,10
مدين,9
قرآنا,9
للرحمن,9
الغني,8
تالله,8
نصر,7
العظيم,7
شعيبا,7
وعاد,7
التواب,6
فالله,6
العلي,6
فلله,6
القهار,6
السبت,5
والمغرب,5
اللهم,5
القمر,5
القدس,4
الحي,4
الفرقان,4
محمد,4
ياإبراهيم,4
لوطا,4
البصير,4
البحرين,4
الملك,4
سقر,4
القيوم,3
الوهاب,3
عمران,3
وأيوب,3
السلام,3
ياشعيب,3
المولى,3
مصر,3
بالرحمن,3
يحيى,3
الغفار,3
الحاقة,3
القدر,3
القارعة,3
والفرقان,2
والزبر,2
زبورا,2
القاهر,2
اللطيف,2
ياصالح,2
آلله,2
يالوط,2
صالح,2
طوى,2
السامري,2
وعادا,2
الرس,2
لفرعون,2
للشمس,2
لقمان,2
الزقوم,2
الخطاب,2
الآزفة,2
الجمع,2
تبع,2
الكريم,2
جحيم,2
القدوس,2
سجين,2
الحطمة,2
الصفا,1
والمروة,1
شاكر,1
رمضان,1
عرفات,1
بيحيى,1
ببكة,1
ببدر,1
سبتهم,1
الحرم,1
حنين,1
أبالله,1
بمصر,1
لعاد,1
الحليم,1
لمدين,1
البشير,1
المتعال,1
الأقصى,1
يايحيى,1
الحسرة,1
وتالله,1
النون,1
الزبور,1
طور,1
العشاء,1
شعيب,1
سبإ,1
السوأى,1
القدير,1
زيد,1
لسبإ,1
الفتاح,1
وبالزبر,1
التلاق,1
التناد,1
للساعة,1
يامالك,1
مكة,1
الوعيد,1
الرزاق,1
والطور,1
السدرة,1
والعزى,1
ومناة,1
الشعرى,1
والظاهر,1
المؤمن,1
المهيمن,1
الجبار,1
البارئ,1
أحمد,1
الجمعة,1
وصالح,1
الخرطوم,1
ودا,1
سواعا,1
يغوث,1
ويعوق,1
ونسرا,1
وقرآنه,1
قرآنه,1
الطامة,1
الصاخة,1
عليون,1
تسنيم,1
الغاشية,1
والفجر,1
بعاد,1
إرم,1
وطور,1
قريش,1
الشتاء,1
والصيف,1
الكوثر,1
الصمد,1
الوسواس,1
