surface,plain,word_class,masaq_tag,lemma,root,wazn,aspect,case,role,source,agreement_with_masaq,confidence,first_seen_at,ambiguous
آبَاءَكُمْ,آباءكم,ISM_MUARAB,NOUN_CONCRETE,,,,,ACCUSATIVE,OBJ,MASAQ:3791,Partial,Hypothesis,2:200:7,
آبَاءَنَا,آباءنا,ISM_MUARAB,NOUN_CONCRETE,,,,,ACCUSATIVE,OBJ,MASAQ:3068,Partial,Hypothesis,2:170:14,
آبَاءَهُمُ,آباءهم,ISM_MUARAB,NOUN_CONCRETE,,,,,ACCUSATIVE,OBJ,MASAQ:44706,Partial,Hypothesis,23:68:9,
آبَاءَهُمْ,آباءهم,ISM_MUARAB,NOUN_CONCRETE,,,,,ACCUSATIVE,OBJ,MASAQ:54067,Partial,Hypothesis,33:5:10,
آبَاءِ,آباء,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,CONJ_N,MASAQ:45640,None,Certificate,24:31:27,
آبَاؤُكُمْ,آباؤكم,ISM_MUARAB,NOUN_CONCRETE,,,,,NOMINATIVE,SUBJ,MASAQ:9926,Partial,Hypothesis,4:11:56,
آبَاؤُنَا,آباؤنا,ISM_MUARAB,NOUN_CONCRETE,,,,,NOMINATIVE,CONJ_N,MASAQ:18941,Partial,Hypothesis,6:148:10,
آبَاؤُهُمْ,آباؤهم,ISM_MUARAB,NOUN_CONCRETE,,,,,NOMINATIVE,SUBJ_COP_V,MASAQ:3071,Partial,Hypothesis,2:170:17,
آبَائِكَ,آبائك,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,GEN_CONS,MASAQ:2376,Partial,Hypothesis,2:133:19,
آبَائِكُمُ,آبائكم,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,GEN_CONS,MASAQ:47544,Partial,Hypothesis,26:26:4,
آبَائِكُمْ,آبائكم,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,GEN_CONS,MASAQ:46325,Partial,Hypothesis,24:61:22,
آبَائِنَا,آبائنا,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,PREP_OBJ,MASAQ:44303,Partial,Hypothesis,23:24:25,
آبَائِهِمْ,آبائهم,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,PREP_OBJ,MASAQ:17712,Partial,Hypothesis,6:87:2,
آبَائِهِنَّ,آبائهن,UNKNOWN,NOUN_FIVE,,,,,GENITIVE,CONJ_N,MASAQ:45638,Partial,Hypothesis,24:31:25,
آبَائِي,آبائي,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,GEN_CONS,MASAQ:30782,Partial,Hypothesis,12:38:3,
آتَاكَ,آتاك,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:51048,Partial,Hypothesis,28:77:3,
آتَاكُمُ,آتاكم,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:70788,Partial,Hypothesis,59:7:25,
آتَاكُمْ,آتاكم,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:14694,Partial,Hypothesis,5:48:40,
آتَانَا,آتانا,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:25357,Partial,Hypothesis,9:75:6,
آتَانِيَ,آتاني,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:39616,None,Certificate,19:30:5,
آتَاهَا,آتاها,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:72459,Partial,Hypothesis,65:7:20,
آتَاهُ,آتاه,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:5301,Partial,Hypothesis,2:258:10,
آتَاهُمَا,آتاهما,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:22466,Partial,Hypothesis,7:190:2,
آتَاهُمُ,آتاهم,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:9104,Partial,Hypothesis,3:170:3,
آتَاهُمْ,آتاهم,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:25365,Partial,Hypothesis,9:76:2,
آتَتْ,آتت,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:38281,Partial,Hypothesis,18:33:3,
آتَوْا,آتوا,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:44630,Partial,Hypothesis,23:60:4,
آتَوْهُ,آتوه,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:31248,Partial,Hypothesis,12:66:17,
آتَيْتَ,آتيت,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:27899,Partial,Hypothesis,10:88:5,
آتَيْتَنَا,آتيتنا,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:22460,Partial,Hypothesis,7:189:25,
آتَيْتَنِي,آتيتني,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:31826,Partial,Hypothesis,12:101:3,
آتَيْتَهُنَّ,آتيتهن,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:54924,Partial,Hypothesis,33:51:25,
آتَيْتُكَ,آتيتك,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:21538,Partial,Hypothesis,7:144:11,
آتَيْتُكُمْ,آتيتكم,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:7567,Partial,Hypothesis,3:81:7,
آتَيْتُمُوهُنَّ,آتيتموهن,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:4429,Partial,Hypothesis,2:229:14,
آتَيْتُمْ,آتيتم,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:4624,Partial,Hypothesis,2:233:55,
آتَيْنَا,آتينا,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:773,Partial,Hypothesis,2:53:2,
آتَيْنَاكَ,آتيناك,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:34260,Partial,Hypothesis,15:87:2,
آتَيْنَاكُمْ,آتيناكم,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:1004,Partial,Hypothesis,2:63:9,
آتَيْنَاهَا,آتيناها,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:17663,Partial,Hypothesis,6:83:3,
آتَيْنَاهُ,آتيناه,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:22206,Partial,Hypothesis,7:175:5,
آتَيْنَاهُمُ,آتيناهم,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:2152,Partial,Hypothesis,2:121:2,
آتَيْنَاهُمْ,آتيناهم,FIIL,PV,,ءوت,فعل,PV,INVARIABLE,,MASAQ:3959,Partial,Hypothesis,2:211:5,
آتُونِي,آتوني,FIIL,CV,,,,CV,INVARIABLE,CV,MASAQ:39140,None,Certificate,18:96:1,
آتِنَا,آتنا,FIIL,CV,,ءوت,فعل,CV,INVARIABLE,CV,MASAQ:3800,Partial,Hypothesis,2:200:16,
آتِهِمْ,آتهم,FIIL,CV,,ءوت,فعل,CV,INVARIABLE,CV,MASAQ:55221,Partial,Hypothesis,33:68:2,
آتِي,آتي,ISM_MUARAB,NOUN_ACTIVE_PART,,ءوت,فعل,,NOMINATIVE,PRED,MASAQ:40246,None,Certificate,19:93:8,
آتِيكَ,آتيك,ISM_MUARAB,NOUN_ACTIVE_PART,,ءوت,فعل,,NOMINATIVE,IV,MASAQ:49138,Partial,Hypothesis,27:39:6,
آتِيكُمْ,آتيكم,FIIL,IV,,ءوت,فعل,IV,NOMINATIVE,IV,MASAQ:40352,Partial,Hypothesis,20:10:11,";ISM_MUARAB@(44, 19, 7)"
آتِيهِ,آتيه,ISM_MUARAB,NOUN_ACTIVE_PART,,ءوت,فعل,,NOMINATIVE,PRED,MASAQ:40254,Partial,Hypothesis,19:95:2,
آتِيهِمْ,آتيهم,ISM_MUARAB,NOUN_ACTIVE_PART,,ءوت,فعل,,NOMINATIVE,PART_COP_PRED,MASAQ:29503,Partial,Hypothesis,11:76:11,
آتِيَةٌ,آتية,ISM_MUARAB,NOUN_ACTIVE_PART,,ءوت,فعل,,NOMINATIVE,PART_COP_PRED,MASAQ:40392,Partial,Hypothesis,20:15:3,
آثَارِ,آثار,ISM_MUARAB,NOUN_ABSTRACT,,,,,GENITIVE,PREP_OBJ,MASAQ:52923,None,Certificate,30:50:3,
آثَارِهِمَا,آثارهما,ISM_MUARAB,NOUN_ABSTRACT,,,,,GENITIVE,PREP_OBJ,MASAQ:38757,Partial,Hypothesis,18:64:8,
آثَارِهِمْ,آثارهم,ISM_MUARAB,NOUN_ABSTRACT,,,,,GENITIVE,PREP_OBJ,MASAQ:14615,Partial,Hypothesis,5:46:3,
آثَرَكَ,آثرك,FIIL,PV,,ءثر,فاعل,PV,INVARIABLE,,MASAQ:31678,Partial,Hypothesis,12:91:4,
آثِمٌ,آثم,ISM_MUARAB,NOUN_ACTIVE_PART,,ءثم,فاعل,,NOMINATIVE,PART_COP_PRED,MASAQ:6060,None,Certificate,2:283:27,
آثِمَاً,آثما,ISM_MUARAB,NOUN_ACTIVE_PART,,ءثم,فاعل,,ACCUSATIVE,OBJ,MASAQ:75241,Partial,Hypothesis,76:24:7,
آخَرَ,آخر,ISM_MUARAB,ADJ_COMP,,ءخر,فاعل,,ACCUSATIVE,ADJ,MASAQ:34314,None,Certificate,15:96:6,
آخَرَانِ,آخران,ISM_MUARAB,ADJ_COMP,,ءخر,فاعل,,NOMINATIVE,CONJ_N,MASAQ:15900,None,Certificate,5:106:17,
آخَرُونَ,آخرون,ISM_MUARAB,ADJ_COMP,,ءخر,فاعل,,NOMINATIVE,ADJ,MASAQ:46529,Partial,Hypothesis,25:4:12,
آخَرِينَ,آخرين,ISM_MUARAB,ADJ_COMP,,ءخر,فاعل,,ACCUSATIVE,OBJ,MASAQ:11678,Partial,Hypothesis,4:91:2,
آخِذٌ,آخذ,ISM_MUARAB,NOUN_ACTIVE_PART,,ءخذ,فاعل,,NOMINATIVE,PRED,MASAQ:29196,None,Certificate,11:56:12,
آخِذِينَ,آخذين,ISM_MUARAB,NOUN_ACTIVE_PART,,ءخذ,فاعل,,ACCUSATIVE,CIRCUM,MASAQ:67546,Partial,Hypothesis,51:16:1,
آخِرَهُ,آخره,ISM_MUARAB,NOUN_ACTIVE_PART,,ءخر,فاعل,,ACCUSATIVE,ADV_TIME,MASAQ:7376,Partial,Hypothesis,3:72:15,
آدَمَ,آدم,JAMID,NOUN_PROP_FOREIGN,,ءدم,فاعل,,ACCUSATIVE,OBJ,MASAQ:482,None,Certificate,2:31:2,
