root,word,count
ءبب,وَأَبًّا,1
ءبد,أَبَدًا,28
ءبق,أَبَقَ,1
ءبل,أَبَابِيلَ,1
ءبل,الإِبِلِ,2
ءبو,ءَابَاءَكُم,3
ءبو,ءَابَاءَنَا,10
ءبو,ءَابَاءَهُم,3
ءبو,ءَابَاءَهُمُ,1
ءبو,ءَابَاءِ,1
ءبو,ءَابَاءِي,1
ءبو,ءَابَاؤُكُم,5
ءبو,ءَابَاؤُنَا,9
ءبو,ءَابَاؤُهُم,4
ءبو,ءَابَائِكَ,1
ءبو,ءَابَائِكُم,1
ءبو,ءَابَائِكُمُ,3
ءبو,ءَابَائِنَا,2
ءبو,ءَابَائِهِم,3
ءبو,ءَابَائِهِنَّ,2
ءبو,أَبًا,1
ءبو,أَبَا,1
ءبو,أَبَاكُم,1
ءبو,أَبَانَا,1
ءبو,أَبَاهُ,1
ءبو,أَبَاهُم,1
ءبو,أَبَوَاهُ,2
ءبو,أَبَوَيْكَ,1
ءبو,أَبَوَيْكُم,1
ءبو,أَبَوَيْهِ,2
ءبو,أَبُوكِ,1
ءبو,أَبُوهُم,2
ءبو,أَبُوهُمَا,1
ءبو,أَبِي,4
ءبو,أَبِيكُم,4
ءبو,أَبِينَا,1
ءبو,أَبِيهِم,1
ءبو,بِأَبَائِنَا,2
ءبو,لأَبَائِهِم,2
ءبو,لأَبِي,1
ءبو,لأَبِيهِ,9
ءبو,وَءَابَاءَهُم,3
ءبو,وَءَابَاؤُكُم,4
ءبو,وَءَابَاؤُكُمُ,1
ءبو,وَءَابَاؤُنَا,3
ءبو,وَأَبُونَا,1
ءبو,وَأَبِيهِ,1
ءبو,وَلأَبَوَيْهِ,1
ءبو,يَاأَبَانَا,6
ءبو,يَاأَبَتِ,8
ءبي,أَبَى,3
ءبي,فَأَبَوْا,1
ءبي,فَأَبَى,3
ءبي,فَأَبَيْنَ,1
ءبي,وَأَبَى,1
ءبي,وَتَأْبَى,1
ءبي,وَيَأْبَى,1
ءبي,يَأْبَ,2
ءتل,يَأْتَلِ,1
ءتي,ءَاتَاكَ,1
ءتي,ءَاتَاكُم,5
ءتي,ءَاتَاكُمُ,1
ءتي,ءَاتَانَا,1
ءتي,ءَاتَانِ,1
ءتي,ءَاتَانِيَ,1
ءتي,ءَاتَاهَا,1
ءتي,ءَاتَاهُ,2
ءتي,ءَاتَاهُم,3
ءتي,ءَاتَاهُمَا,2
ءتي,ءَاتَاهُمُ,5
ءتي,ءَاتَت,1
ءتي,ءَاتَوْا,1
ءتي,ءَاتَوْهُ,1
ءتي,ءَاتَيْتَ,2
ءتي,ءَاتَيْتَنَا,1
ءتي,ءَاتَيْتَنِي,1
ءتي,ءَاتَيْتَهُنَّ,1
ءتي,ءَاتَيْتُكَ,1
ءتي,ءَاتَيْتُكُم,1
ءتي,ءَاتَيْتُم,3
ءتي,ءَاتَيْتُمُوهُنَّ,4
ءتي,ءَاتَيْنَا,19
ءتي,ءَاتَيْنَاكَ,2
ءتي,ءَاتَيْنَاكُم,3
ءتي,ءَاتَيْنَاهَا,1
ءتي,ءَاتَيْنَاهُ,5
ءتي,ءَاتَيْنَاهُم,8
ءتي,ءَاتَيْنَاهُمُ,8
ءتي,ءَاتُونِي,2
ءتي,ءَاتِنَا,4
ءتي,ءَاتِهِم,1
ءتي,ءَاتِي,1
ءتي,ءَاتِيكَ,2
ءتي,ءَاتِيكُم,4
ءتي,ءَاتِيهِ,1
ءتي,ءَاتِيهِم,1
ءتي,ءَاتِيَةٌ,2
ءتي,أَتَأْتُونَ,3
ءتي,أَتَاكَ,6
ءتي,أَتَاكُم,3
ءتي,أَتَانَا,1
ءتي,أَتَاهَا,3
ءتي,أَتَاهُم,5
ءتي,أَتَت,1
ءثث,أَثَاثًا,2
ءثر,ءَاثَارِ,1
ءثر,ءَاثَارِهِم,6
ءثر,ءَاثَارِهِمَا,1
ءثر,ءَاثَرَكَ,1
ءثر,أَثَارَةٍ,1
ءثر,أَثَرِ,2
ءثر,أَثَرِي,1
ءثر,تُؤْثِرُونَ,1
ءثر,فَأَثَرْنَ,1
ءثر,نُؤْثِرَكَ,1
ءثر,وَءَاثَارًا,2
ءثر,وَءَاثَارَهُم,1
ءثر,وَءَاثَرَ,1
ءثر,وَيُؤْثِرُونَ,1
ءثر,يُؤْثَرُ,1
ءثل,وَأَثْلٍ,1
ءثم,ءَاثِمًا,1
ءثم,ءَاثِمٌ,1
ءثم,أَثَامًا,1
ءثم,أَثِيمًا,1
ءثم,أَثِيمٍ,5
ءثم,إِثْمًا,7
ءثم,إِثْمٌ,2
ءثم,إِثْمَ,4
ءثم,إِثْمُهُ,1
ءثم,الأَثِمِينَ,1
ءثم,الأَثِيمِ,1
ءثم,الإِثْمَ,2
ءثم,الإِثْمِ,6
ءثم,بِإِثْمِي,1
ءثم,بِالإِثْمِ,5
ءثم,تَأْثِيمًا,1
ءثم,تَأْثِيمٌ,1
ءثم,لإِثْمٍ,1
ءثم,وَإِثْمًا,3
ءثم,وَإِثْمُهُمَا,1
ءثم,وَإِثْمِكَ,1
ءثم,وَالإِثْمَ,1
ءجج,أُجَاجًا,1
ءجج,أُجَاجٌ,2
ءجر,أَجْرًا,22
ءجر,أَجْرٌ,11
ءجر,أَجْرٍ,10
ءجر,أَجْرَ,8
ءجر,أَجْرَهَا,1
ءجر,أَجْرَهُ,1
ءجر,أَجْرَهُم,6
ءجر,أَجْرُ,3
ءجر,أَجْرُهُ,2
ءجر,أَجْرُهُم,6
ءجر,أَجْرِيَ,9
ءجر,أُجُورَكُم,2
ءجر,أُجُورَهُم,4
ءجر,أُجُورَهُنَّ,6
ءجر,اسْتَئْجَرْتَ,1
ءجر,اسْتَئْجِرْهُ,1
ءجر,تَأْجُرَنِي,1
ءجر,فَأَجِرْهُ,1
ءجر,فَأَجْرُهُ,1
ءجر,لأَجْرًا,3
ءجر,وَأَجْرًا,2
ءجر,وَأَجْرٌ,5
ءجر,وَأَجْرٍ,1
ءجر,وَلأَجْرُ,2
ءجل,أَجَلاً,3
ءجل,أَجَلٌ,4
ءجل,أَجَلٍ,16
ءجل,أَجَلَ,2
ءجل,أَجَلَنَا,1
ءجل,أَجَلَهَا,2
ءجل,أَجَلَهُ,1
ءجل,أَجَلَهُنَّ,4
ءجل,أَجَلُهَا,1
ءجل,أَجَلُهُم,6
ءجل,أَجَلُهُنَّ,1
ءجل,أَجَلِهِ,1
ءجل,أَجَّلْتَ,1
ءجل,أَجْلِ,1
ءجل,أُجِّلَت,1
ءجل,الأَجَلَ,1
ءجل,الأَجَلَيْنِ,1
ءجل,لأَجَلٍ,4
ءجل,مُؤَجَّلاً,1
ءجل,وَأَجَلٌ,2
ءجل,وَأَجَلٍ,2
ءخذ,ءَأَتَّخِذُ,1
ءخذ,ءَاخِذٌ,1
