root,word,count,wazn,wazn_canonical,morph_type,root_audited,wazn_in_db
ءبب,وَأَبًّا,1,وَفَعْلًا,وَفَعْل,noun,false,true
ءبد,أَبَدًا,28,فَعَلًا,فَعَل,noun,false,true
ءبق,أَبَقَ,1,فَعَلَ,فَعَل,verb,false,true
ءبل,أَبَابِيلَ,1,فَعَابِيلَ,فَعَابِيل,noun,false,false
ءبل,الإِبِلِ,2,الفِعِلِ,الفِعِل,noun,false,true
ءتل,يَأْتَلِ,1,يَفْعَلِ,يَفْعَل,verb,false,false
ءثث,أَثَاثًا,2,فَعَالًا,فَعَال,noun,false,true
ءثر,ءَاثَارِ,1,فَاعَالِ,فَاعَال,noun,false,true
ءثر,ءَاثَارِهِم,6,فَاعَالِهِم,فَاعَال,noun,false,true
ءثر,ءَاثَارِهِمَا,1,فَاعَالِهِمَا,فَاعَال,noun,false,true
ءثر,ءَاثَرَكَ,1,فَاعَلَكَ,فَاعَل,noun,false,true
ءثر,أَثَارَةٍ,1,فَعَالَةٍ,فَعَالَة,noun,false,true
ءثر,أَثَرِ,2,فَعَلِ,فَعَل,noun,false,true
ءثر,أَثَرِي,1,فَعَلِي,فَعَل,noun,false,true
ءثر,تُؤْثِرُونَ,1,تُفْعِلُونَ,تُفْعِل,verb,false,true
ءثر,فَأَثَرْنَ,1,فَفَعَلْنَ,فَفَعَلْن,verb,false,false
ءثر,نُؤْثِرَكَ,1,نُفْعِلَكَ,نُفْعِل,verb,false,false
ءثر,وَءَاثَارًا,2,وَفَاعَالًا,وَفَاعَال,noun,false,true
ءثر,وَءَاثَارَهُم,1,وَفَاعَالَهُم,وَفَاعَال,noun,false,true
ءثر,وَءَاثَرَ,1,وَفَاعَلَ,وَفَاعَل,verb,false,true
ءثر,وَيُؤْثِرُونَ,1,وَيُفْعِلُونَ,وَيُفْعِل,verb,false,false
ءثر,يُؤْثَرُ,1,يُفْعَلُ,يُفْعَل,verb,false,false
ءثل,وَأَثْلٍ,1,وَفَعْلٍ,وَفَعْل,noun,false,true
ءثم,ءَاثِمًا,1,فَاعِلًا,فَاعِل,noun,false,true
ءثم,ءَاثِمٌ,1,فَاعِلٌ,فَاعِل,noun,false,true
ءثم,أَثَامًا,1,فَعَالًا,فَعَال,noun,false,true
ءثم,أَثِيمًا,1,فَعِيلًا,فَعِيل,noun,false,true
ءثم,أَثِيمٍ,5,فَعِيلٍ,فَعِيل,noun,false,true
ءثم,إِثْمًا,7,فِعْلًا,فِعْل,noun,false,true
ءثم,إِثْمٌ,2,فِعْلٌ,فِعْل,noun,false,true
ءثم,إِثْمَ,4,فِعْلَ,فِعْل,noun,false,true
ءثم,إِثْمُهُ,1,فِعْلُهُ,فِعْل,noun,false,true
ءثم,الأَثِمِينَ,1,الفَعِلِينَ,الفَعِل,noun,false,true
