wazn_plain,voweled_variants,rows,tokens,examples
فعلم,فَعلُم | فَعَلَّم | فَعِلُم | فَعِلُّم | فِعْلَم | فِعْلُم | كَفَعِلُم | لفَعلُم | لَفَعِلُّم | وَفَعلُم | وَفَعِلُم,17,181,ءنت+أَنتُم | ءنت+أَنتُمَا | ءنت+أَنتُمُ | ءنت+لأَنتُم | ءنت+وَأَنتُم
ففعل,فَفَعل | فَفَعَل | فَفَعُل | فَفَعِل | فَفَعَّل | فَفَعِّل | فَفَعْل | فَفُعُل | فَفُعِل | فَفُعْل | فَفِعل | فَفِعِل | فَفِعْل | فَفْعَل,69,117,ءجر+فَأَجِرْهُ | ءجر+فَأَجْرُهُ | ءخذ+فَأَخَذَهُ | ءخذ+فَأَخَذَهُم | ءخذ+فَأَخَذَهُمُ
فعنل,بِفَعَنَّل | فَعَنَّل | لِفَعَنَّل,4,77,جهم+بِجَهَنَّمَ | جهم+جَهَنَّمَ | جهم+جَهَنَّمُ | جهم+لِجَهَنَّمَ
كفعل,وَكَفَعِل,1,38,ذلك+وَكَذَلِكَ
فعالت,بِفِعَالَت | فَعاَلَت | فَعَالَت | فَعَّالَت | فِعَالَت,17,26,ءمن+أَمَانَتَهُ | بضع+بِضَاعَتَهُم | بضع+بِضَاعَتُنَا | تجر+تِجَارَتُهُم | جمل+جِمَالَتٌ
فبعل,فِبَعَل | فِبَعْل | فِبُعْل,7,20,بدر+بِبَدْرٍ | بدن+بِبَدَنِكَ | بطن+بِبَطْنِ | بعض+بِبَعْضٍ | بعض+بِبَعْضِ
فياعيل,الفَّيَاعِيل | فَيَاعِيل | لِلفَّيَاعِيل | وَالفَّيَاعِيل,7,18,شطن+الشَّيَاطِينَ | شطن+الشَّيَاطِينُ | شطن+الشَّيَاطِينِ | شطن+شَيَاطِينَ | شطن+شَيَاطِينِهِم
فعليت,فُعْلِيَّت | وَفُعْلِيَّت,9,17,ذرر+ذُرِّيَّتَهُ | ذرر+ذُرِّيَّتَهُم | ذرر+ذُرِّيَّتُهُم | ذرر+ذُرِّيَّتِنَا | ذرر+ذُرِّيَّتِهِ
ففاعل,فَفَأَعل | فَفَأَعِل | فَفَاعَل | فَفَاعِل,6,14,ءمن+أَفَأَمِنَ | ءنت+أَفَأَنتَ | شرب+فَشَارِبُونَ | قتل+فَقَاتِل | قتل+فَقَاتِلاَ
يافعل,يَافَعْل,2,14,ءرض+يَاأَرْضُ | ءهل+يَاأَهْلَ
فتعل,فَتَّعِل | فَتْعَل | فَتْعُل,7,14,تبع+تَتَّبِع | تبع+تَتَّبِعَ | تبع+تَتَّبِعَانِّ | تبع+تَتَّبِعُونَ | تبع+تَتَّبِعِ
فنعل,فَنعَل | فَنعُل | فُنعِل | فُنَعِّل | لَفَنعُل | لِفَنعُل | وَفُنعِل | وَفُنَعِّل,12,13,نزل+نُنَزِّل | نزل+نُنَزِّلُ | نزل+نُنَزِّلُهُ | نزل+وَنُنَزِّلُ | نسخ+نَنسَخ
يافاعل,وَيَافَاعَل | يَافَاعَل | يَافَاعِل,6,11,ءدم+وَيَاءَادَمُ | ءدم+يَاءَادَمُ | سمر+يَاسَامِرِيُّ | صحب+يَاصَاحِبَيِ | صلح+يَاصَالِحُ
فتعلو,فَتَّعِلُو | فُتْعَلُو | وَفْتَعِلُو,4,11,ءمر+وَأْتَمِرُوا | تبع+تَتَّبِعُوا | تبع+تَتَّبِعُونَا | ترك+تُتْرَكُوا
مفعيل,الْمِفْعِيل | مِفْعِيل | وَالْمِفْعِيل,6,11,سكن+الْمِسْكِينَ | سكن+الْمِسْكِينِ | سكن+مِسْكِينًا | سكن+مِسْكِينٌ | سكن+مِسْكِينٍ
فعيلت,بِفَعِيلَت | فَعِيلَت | وَفَعِيلَت,8,10,خطء+خَطِيئَتُهُ | خطء+خَطِيئَتِي | سكن+سَكِينَتَهُ | طرق+بِطَرِيقَتِكُمُ | عشر+عَشِيرَتَكَ
فلفعل,فَلفُعْل | فَلَفِعْل | فَلِفَعِل | فَلِفَعْل,5,9,ءمم+فَلأُمِّهِ | بءس+فَلَبِئْسَ | ذلك+فَلِذَلِكَ | نعم+فَلَنِعْمَ | نفس+فَلِنَفْسِهِ
فالباعل,فِالْبَاعِل,1,9,بطل+بِالْبَاطِلِ
فعالية,الفَّعَالِيَة | فَعَالِيَة | وَفَعاَلِيَة | وَفَعَالِيَة,5,9,ثمن+ثَمَانِيَةٌ | ثمن+ثَمَانِيَةَ | ثمن+وَثَمَانِيَةَ | زبن+الزَّبَانِيَةَ | علن+وَعَلاَنِيَةً
ايفعل,أَيَفْعَل | أَيُفِعْل | أَيُفْعِل,6,9,حبب+أَيُحِبُّ | حسب+أَيَحْسَبُ | حسب+أَيَحْسَبُونَ | شرك+أَيُشْرِكُونَ | طمع+أَيَطْمَعُ
فاعلم,فَأَعلُم,1,7,ءنت+ءَأَنتُم
فمعول,فَمْعُول,4,7,مدد+مَمْدُودًا | مدد+مَمْدُودٍ | ملك+مَمْلُوكًا | منن+مَمْنُونٍ
فمعل,فُمَعَّل | فُمِعْل | فُمْعِل,6,7,مدد+مُمِدُّكُم | مرد+مُمَرَّدٌ | مزق+مُمَزَّقٍ | مسك+مُمْسِكَ | مسك+مُمْسِكَاتُ
فالفاعل,فَالفَّاعِل | فَالْفَاعِل,6,6,حمل+فَالْحَامِلاَتِ | زجر+فَالزَّاجِرَاتِ | سبق+فَالسَّابِقَاتِ | صلح+فَالصَّالِحَاتُ | عصف+فَالْعَاصِفَاتِ
فءعلة,فَئِعْلَة,2,5,ءمم+أَئِمَّةً | ءمم+أَئِمَّةَ
ففعلم,فَفَعلُم | فَفَعَلَّم | فَفَعِلُم,3,5,ءنت+فَأَنتُم | ذلك+فَذَلِكُمُ | كأن+فَكَأَنَّمَا
فالبعل,فِالْبَعَل | فِالْبُعْل | فِالْبِعْل,3,5,بخل+بِالْبُخْلِ | برر+بِالْبِرِّ | بصر+بِالْبَصَرِ
مفعلو,مُفَعِّلُو | مُفْعَلُو | مُفْعِلُو,4,5,ترف+مُتْرَفُوهَا | عذب+مُعَذِّبُوهَا | هلك+مُهْلِكُوا | هلك+مُهْلِكُوهَا
ففعال,فَفَعاَل | فَفَعَال | فَفِعَال,4,5,رجل+فَرِجَالاً | رهن+فَرِهَانٌ | سلم+فَسَلاَمٌ | متع+فَمَتَاعُ
فعاءلت,وَفَعاَئِلَت,3,5,ملك+وَمَلاَئِكَتَهُ | ملك+وَمَلاَئِكَتُهُ | ملك+وَمَلاَئِكَتِهِ
فبفعل,فَبِفَعِل | فَبِفُعْل | فَبِفِعْل,3,4,ءذن+فَبِإِذْنِ | ذلك+فَبِذَلِكَ | ظلم+فَبِظُلْمٍ
هافعلم,هَافَعلُم,1,4,ءنت+هَاأَنتُم
فعولت,فُعُولَت | لِفُعُولَت | وَفُعُولَت,3,4,بعل+بُعُولَتِهِنَّ | بعل+لِبُعُولَتِهِنَّ | بعل+وَبُعُولَتُهُنَّ
فاعلية,الْفَاعِلِيَّة,1,4,جهل+الْجَاهِلِيَّةِ
بالفعل,وَبِالفَّعْل | وَبِالفُّعُل | وَبِالْفَعْل,3,4,حقق+وَبِالْحَقِّ | زبر+وَبِالزُّبُرِ | نجم+وَبِالنَّجْمِ
فعللة,فَعْلَلَة | فُعلُلَة | فِعْلِلَة | لَفِعْلِلَة,4,4,زلزل+زَلْزَلَةَ | سلسل+سِلْسِلَةٍ | سنبل+سُنبُلَةٍ | شرذم+لَشِرْذِمَةٌ
ففعلة,فَفَعِلَة | فَفَعْلَة | فَفِعْلَة,3,4,عدد+فَعِدَّةٌ | لعن+فَلَعْنَةُ | نظر+فَنَظِرَةٌ
فعلوت,فَعَلُوت,3,4,ملك+مَلَكُوتَ | ملك+مَلَكُوتُ | ملك+مَلَكُوتِ
فعلس,فَعْلَس | فُعْلِس,2,3,ءسس+أَسَّسَ | ءسس+أُسِّسَ
فنءعل,فَنُؤْعِل,1,3,ءمن+أَنُؤْمِنُ
فوعل,الْفَوْعَل | فُوعِل,3,3,برك+بُورِكَ | عقب+عُوقِبَ | كثر+الْكَوْثَرَ
فباعل,فِبَاعِل | فِبَاعِلِي,3,3,بسط+بِبَاسِطٍ | بلغ+بِبَالِغِهِ | بلغ+بِبَالِغِيهِ
فتعيل,فَتْعِيل,2,3,تبب+تَتْبِيبٍ | تبر+تَتْبِيرًا
يافعال,يَافِعَال,2,3,جبل+يَاجِبَالُ | نسء+يَانِسَاءَ
بفعل,وَبِفَعِل | وَبِفَعْل,3,3,ذلك+وَبِذَلِكَ | صدد+وَبِصَدِّهِم | عهد+وَبِعَهْدِ
ءافعل,ءَأَفْعُل | ءَافْعَل,3,3,سجد+ءَأَسْجُدُ | شكر+ءَأَشْكُرُ | عجم+ءَاعْجَمِيٌّ
ءافعلتم,ءَأَفْعَلْتُم,3,3,سلم+ءَأَسْلَمْتُم | شفق+ءَأَشْفَقْتُم | قرر+ءَأَقْرَرْتُم
مفعللة,الْمُفَعلَلَة | الْمُفْعَلِلَّة | مُفْعَلِلَّة,3,3,طمءن+الْمُطْمَئِنَّةُ | طمءن+مُطْمَئِنَّةً | قنطر+الْمُقَنطَرَةِ
مفعلت,مَفْعِلَت | مِفعَلَت,2,3,عذر+مَعْذِرَتُهُم | نسء+مِنسَأَتَهُ
يامفعل,يَامَفْعَل,1,3,عشر+يَامَعْشَرَ
فنعلن,لَفَنعُلَن | لَفَنعِلَن,3,3,نزع+لَنَنزِعَنَّ | نسف+لَنَنسِفَنَّهُ | نصر+لَنَنصُرَنَّكُم
فتاعل,فَتَأْعُل,2,2,ءخذ+أَتَأْخُذُونَهُ | ءمر+أَتَأْمُرُونَ
فتءتعل,فَتَءْتَعِل,2,2,ءخذ+أَتَتَّخِذُ | ءخذ+أَتَتَّخِذُنَا
فءتعلن,فَءْتَعَلْن | لفَءْتَعِلَن,2,2,ءخذ+أَتَّخَذْنَاهُم | ءخذ+لأَتَّخِذَنَّ
فءتعل,فَءْتَعِل,2,2,ءخذ+أَتَّخِذ | ءخذ+أَتَّخِذُ
لفعلة,وَلَلفَعِلَة,1,2,ءخر+وَلَلأَخِرَةُ
بفعال,لَبِفِعَال | وَبِفَعاَل,2,2,ءمم+لَبِإِمَامٍ | كلم+وَبِكَلاَمِي
فعاءكل,فِعَاءَكُل | وَفِعَائِكُل,2,2,ءمم+وَإِمَائِكُم | دمم+دِمَاءَكُم
فالبعلاء,فِالْبَعْلَاء,1,2,بءس+بِالْبَأْسَاءِ
