ref,construction_id,trigger_word,span,pattern,source_part,source_page
1:5,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاكَ,"0,1",ضَمير مُنفَصِل مَنصوب «إِيَّاكَ» + فِعل «نَعْبُدُ»,4,150
1:5,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,وَإِيَّاكَ,"2,3",ضَمير مُنفَصِل مَنصوب «وَإِيَّاكَ» + فِعل «نَسْتَعِينُ»,4,150
2:172,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاهُ,"12,13",ضَمير مُنفَصِل مَنصوب «إِيَّاهُ» + فِعل «تَعْبُدُونَ»,4,150
4:131,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,وَإِيَّاكُمْ,"15,16",ضَمير مُنفَصِل مَنصوب «وَإِيَّاكُمْ» + فِعل «أَنِ»,4,150
6:41,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاهُ,"1,2",ضَمير مُنفَصِل مَنصوب «إِيَّاهُ» + فِعل «تَدْعُونَ»,4,150
6:151,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,وَإِيَّاهُمْ,"24,25",ضَمير مُنفَصِل مَنصوب «وَإِيَّاهُمْ» + فِعل «ۖ»,4,150
9:114,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاهُ,"9,10",ضَمير مُنفَصِل مَنصوب «إِيَّاهُ» + فِعل «فَلَمَّا»,4,150
10:28,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّانَا,"18,19",ضَمير مُنفَصِل مَنصوب «إِيَّانَا» + فِعل «تَعْبُدُونَ»,4,150
12:40,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاهُ,"25,26",ضَمير مُنفَصِل مَنصوب «إِيَّاهُ» + فِعل «ۚ»,4,150
16:114,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاهُ,"11,12",ضَمير مُنفَصِل مَنصوب «إِيَّاهُ» + فِعل «تَعْبُدُونَ»,4,150
17:23,TAHZHEER_BASIC,إِيَّاهُ,"5,6",إِيَّا «إِيَّاهُ» + واو+اسم «وَبِٱلْوَٰلِدَيْنِ» (تَحذير),2,109
17:31,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,وَإِيَّاكُمْ,"8,9",ضَمير مُنفَصِل مَنصوب «وَإِيَّاكُمْ» + فِعل «ۚ»,4,150
17:67,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاهُ,"9,10",ضَمير مُنفَصِل مَنصوب «إِيَّاهُ» + فِعل «ۖ»,4,150
28:63,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّانَا,"18,19",ضَمير مُنفَصِل مَنصوب «إِيَّانَا» + فِعل «يَعْبُدُونَ»,4,150
29:60,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,وَإِيَّاكُمْ,"8,9",ضَمير مُنفَصِل مَنصوب «وَإِيَّاكُمْ» + فِعل «ۚ»,4,150
34:24,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاكُمْ,"12,13",ضَمير مُنفَصِل مَنصوب «إِيَّاكُمْ» + فِعل «لَعَلَىٰ»,4,150
34:40,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاكُمْ,"7,8",ضَمير مُنفَصِل مَنصوب «إِيَّاكُمْ» + فِعل «كَانُوا۟»,4,150
41:37,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,إِيَّاهُ,"18,19",ضَمير مُنفَصِل مَنصوب «إِيَّاهُ» + فِعل «تَعْبُدُونَ»,4,150
60:1,TAQDIM_AL_MA3MOOL_LI_IKHTISAS,وَإِيَّاكُمْ,"23,24",ضَمير مُنفَصِل مَنصوب «وَإِيَّاكُمْ» + فِعل «ۙ»,4,150
