operator,count
بِ,40480
لِ,31878
وَ,30216
مِن,22022
لَ,14168
ما,11145
كَ,6606
مَن,6292
فَ,3819
لا,2426
إِنّ,2312
إِلَى,2300
ك,2202
هُم,1802
إِن,1685
عَلى,1476
الَّذينَ,1000
هُوَ,972
سَ,952
إِذا,884
قَد,818
عَن,678
ذَلِكَ,389
لَم,351
نا,331
كُلّ,330
رُبَّ,298
أَنَا,235
لَمَّا,228
هَذا,224
أَنَّى,196
لَو,193
حَتَّى,142
عَلِمَ,138
أَنتُم,123
ها,122
أَنتَ,101
أَنتِ,101
ال,90
أَمَّا,87
نَحنُ,86
جَعَلَ,85
لَولا,75
نَفس,47
ذَلِكُم,47
هَؤُلاءِ,46
تِلكَ,41
سَوفَ,41
هُنَّ,27
هَذِهِ,24
