topic_id,count
PREP_BA,36800
PREP_LAM,28336
PREP_MIN,22022
PREP_WAW,20144
QASAM_PARTICLES,13752
SHART_LAM_JAWAB,10626
QASAM_JAWAB,8083
PREP_KAF,6606
RELATIVE,6375
PRONOUN,5632
SHART_FA_IDH,4261
JAZM_LAM_AMR,3542
SHART_MAN,3146
JAZM_LA_NAHIYA,2426
PREP_ILA,2300
TAJAUB,2230
SHART_MA,2229
SHART_MA_ZAIDA,2229
SHART_IN,1685
PREP_ALA,1476
SIN_SAWFA,993
TAWKID_QAD,818
DEMONSTRATIVE,785
PREP_AN,678
PRONOUN_SHAAN,495
SHART_IDHA,442
TAWKID_MAANAWI,381
JAZM_LAM,351
ZANN_FAMILY,313
PREP_RUBBA,298
JAZM_LAMMA,228
SHART_ANNA,196
SHART_LAW,193
PREP_HATTA,142
AL_DEFINITE,90
SHART_AMMA,87
SHART_LAWLA,75
PRONOUN_MUNFASIL_NASB,19
SHART_AYNA,15
PREP_ADA,13
SHART_MATA,9
PREP_KHALA,2
TAWKID_NUN,2
