wazn_plain,voweled_variants,sources,babs,morph_types,token_count,row_count,examples
فعل,أَلِفَعْل | الفَعَل | الفَعِل | الفَعْل | الفُعلَي | الفُعَل | الفُعُل | الفُعْل | الفِعل | الفِعِل | الفِعْل | الفَّعل | الفَّعَل | الفَّعُل | الفَّعْل | الفُّعُل | الفُّعْل | الفِّعِل | الفِّعْل | الْفَعل | الْفَعَل | الْفَعُل | الْفَعِل | الْفَعْل | الْفُعَل | الْفُعُل | الْفُعَّل | الْفُعْل | الْفُعْلَي | الْفِعل | الْفِعَل | الْفِعْل | بِالفَعل | بِالفُعُل | بِالفِعْل | بِالفَّعَل | بِالفَّعْل | بِالفُّعُل | بِالفُّعْل | بِالفِّعْل | بِالْفَعل | بِالْفَعَل | بِالْفَعْل | بِالْفُعَّل | بِالْفُعْل | بِالْفِعْل | بِفَعل | بِفَعَل | بِفَعِل | بِفَعِلِي | بِفَعْل | بِفُعُل | بِفُعْل | بِفِعَل | بِفِعْل | فعل | فَعل | فَعَل | فَعَلَ | فَعَلِي | فَعُل | فَعُلَ | فَعِل | فَعِلَ | فَعِلَي | فَعَّل | فَعِّل | فَعْل | فَعْلَي | فَعْلِي | فُعل | فُعَل | فُعَّل | فُعُل | فُعُلَي | فُعِل | فُعَّل | فُعِّل | فُعْل | فُعْلَه | فُعْلِي | فِعل | فِعلِي | فِعَل | فِعِل | فِعْل | فِعْلَي | فِعْلِي | كَالفُّعَل | كَالْفَعْل | كَالْفُعْل | كَالْفِعْل | كَفَعَل | كَفَعِل | كَفَعْل | كَفُعُل | كَفُعْل | كَفِعْل | لفَعل | لفَعَل | لفَعِل | لفَعْل | لفُعْل | لفِعْل | لَفَعَل | لَفَعِل | لَفَعَّل | لَفَعْل | لَفُعِل | لَفُعْل | لَفِعْل | لَلْفَعْل | لِفَعل | لِفَعَل | لِفَعُل | لِفَعِل | لِفَعْل | لِفُعْل | لِفِعْل | لِلفَعِل | لِلفِعل | لِلفَّعْل | لِلفُّعْل | لِلْفَعل | لِلْفَعَل | لِلْفَعِل | لِلْفَعْل | لِلْفُعُل | وَالفَعل | وَالفَعِل | وَالفَعْل | وَالفُعُل | وَالفُعْل | وَالفِعل | وَالفِعْل | وَالفَّعَل | وَالفَّعْل | وَالفُّعُل | وَالفُّعَّل | وَالفُّعْل | وَالفِّعْل | وَالْفَعَل | وَالْفَعْل | وَالْفُعُل | وَالْفُعَّل | وَالْفُعْل | وَالْفِعْل | وَفَعل | وَفَعلِي | وَفَعَل | وَفَعُل | وَفَعِل | وَفَعَّل | وَفَعِّل | وَفَعْل | وَفَعْلِي | وَفُعَل | وَفُعُل | وَفُعِل | وَفُعِّل | وَفُعْل | وَفُعْلَه | وَفُعْلِي | وَفِعل | وَفِعَل | وَفِعْل | وَفْعُل | وَلفَعْل | وَلَفِعْل | وَلِفَعْل,canonical_table | mishkat_extracted | user_extensions,verb_form_I | الصفة المشبهة | المصدر الأصلي | جمع تكسير | شاذ | صيغة مبالغة,noun | verb,8856,2467,(curated)+حَذِر | (curated)+سَهْل | (curated)+حَسَن | (curated)+جُنُب | (curated)+حَذِر
فعيل,الفَعِيل | الفَّعِيل | الفِّعِّيل | الْفَعِيل | بِفَعِيل | فَعِيل | فُعَيْل | فِعِّيل | كَالفَّعِيل | كَفَعِيل | لَفَعِيل | لِفَعِيل | لِلْفَعِيل | وَالفَّعِيل | وَالفِّعِّيل | وَالْفَعِيل | وَفَعِيل,canonical_table | mishkat_extracted,التصغير | الصفة المشبهة | المصدر الأصلي | صيغة مبالغة,noun,2016,391,(curated)+كَرِيم | (curated)+عَلِيم | (curated)+صِدِّيق | (curated)+كُتَيِّب | (curated)+رَحِيل
يفعل,لَيَفُعْل | لَيَفْعَل | لَيَفْعُل | لَيَفْعِل | لَيُفِعْل | لَيُفْعِل | لِيَفْعَل | لِيَفْعُل | لِيَفْعِل | لِيُفعِل | لِيُفَعِّل | لِيُفِعْل | لِيُفْعَل | لِيُفْعِل | لْيَفْعَل | وَلِيَفْعَل | وَلِيَفْعِل | وَلِيُفَعِّل | وَلِيُفِعْل | وَلْيَفْعُل | وَلْيُفْعِل | وَيَفعُل | وَيَفُعْل | وَيَفِعْل | وَيَفَّعِل | وَيَفْعَل | وَيَفْعُل | وَيَفْعِل | وَيُفعِل | وَيُفَعِّل | وَيُفِعْل | وَيُفْعَل | وَيُفْعِل | وَيْفَعَل | يَفعَل | يَفعُل | يَفعِل | يَفَعْل | يَفُعْل | يَفِعِّل | يَفِعْل | يَفَّعِل | يَفَّعَّل | يَفْعَل | يَفْعَلُ | يَفْعُل | يَفْعُلُ | يَفْعِل | يَفْعِلُ | يُفعَل | يُفعِل | يُفَعَّل | يُفَعِّل | يُفَعْل | يُفِعْل | يُفْعَل | يُفْعِل | يُفْعِلُ,mishkat_extracted | user_extensions,verb_form_I | verb_form_IV,verb,1635,699,(curated)+يُكْرِمُ | (curated)+يَكْتُبُ | (curated)+يَنْصُرُ | (curated)+يَجْلِسُ | ءتل+يَأْتَلِ
فعال,الفَعَال | الفَّعاَل | الفَّعَال | الفَّعَّال | الفُّعَال | الفُّعَّال | الفِّعَال | الْفَعاَل | الْفَعاَّل | الْفَعَال | الْفَعَّال | الْفُعاَل | الْفُعَال | الْفُعَّال | الْفِعاَل | الْفِعَال | بِالفَّعَال | بِالْفَعَال | بِالْفِعَال | بِفَعاَل | بِفَعاَّل | بِفَعَال | بِفَعَالَي | بِفَعَّال | بِفُعاَل | بِفُعَال | بِفِعَال | فَعاَل | فَعاَّل | فَعَال | فَعَّال | فَعَّال | فُعاَل | فُعَال | فُعَّال | فُعَّال | فِعاَل | فِعَال | فِعَالَي | فِعَالِي | فِعَّال | كَالفِّعَال | كَالْفَعَال | كَالْفَعَّال | كَالْفُعَّال | كَالْفِعَال | كَفَعَال | لَفَعاَل | لَفَعَّال | لَفِعَال | لِفُعاَل | لِفِعَال | لِلفَعَال | لِلفِّعَال | لِلْفِعَال | وَالفَعَال | وَالفَّعاَل | وَالفَّعَال | وَالفُّعَّال | وَالْفَعَال | وَالْفُعَال | وَالْفِعَال | وَفَعاَل | وَفَعَال | وَفَعَّال | وَفُعاَل | وَفُعَال | وَفُعَّال | وَفِعاَل | وَفِعَال | وَفِعَّال,canonical_table | mishkat_extracted | user_extensions,اسم الآلة | جمع تكسير | شاذ | صيغة مبالغة,noun,1557,483,(curated)+غَفَّار | (curated)+خَلَّاط | (curated)+حِزَام | (curated)+جَرَّار | (curated)+قَطَّاع
فاعل,الفاَعِل | الفَّاعِل | الفَّاعْل | الْفَاعَل | الْفَاعِل | الْفَاعْل | بِالفَّاعِل | بِالْفَاعِل | بِفَاعِل | بِفَاعْل | فاَعِل | فاَّعِل | فَأَعل | فَاعَل | فَاعُل | فَاعِل | فَاعِلِي | فَاعْل | فِاعَل | كَفَاعِل | لَفَاعِل | لَفَاعْل | لِفَاعِل | لِلفَّاعِل | لِلْفَاعَل | لِلْفَاعِل | وَالفَّاعِل | وَالفَّاعْل | وَالْفَاعِل | وَالْفَاعْل | وَفَاعَل | وَفَاعِل | وَفَاعْل,canonical_table | mishkat_extracted,اسم الآلة | اسم الفاعل,noun | verb,1485,527,(curated)+كَاتِب | (curated)+طَابِع | ءثر+ءَاثَرَكَ | ءثر+وَءَاثَرَ | ءثم+ءَاثِمًا
افعل,أَفعَل | أَفعُل | أَفعِل | أَفَعَل | أَفَعِل | أَفَعْل | أَفُعْل | أَفِعل | أَفِعْل | أَفَّعَل | أَفَّعِل | أَفْعَل | أَفْعَلِي | أَفْعُل | أَفْعِل | أَفْعِلِي | أُفعِل | أُفَعِّل | أُفِعْل | أُفْعَل | أُفْعِل | أُفْعِلُ | افعُل | افَّعَل | افَّعِل | افْعَل | افْعُل | افْعِل | افْعِلِي | الأَفعُل | الأَفَعْل | الأَفْعَل | الأَفْعُل | بِأَفعُل | بِأَفْعَل | بِأَفْعُل | بِالأَفْعَل | لأَفعَل | لأَفعُل | لأَفُعْل | لأَفْعَل | لأَفْعُل | لأَفْعِل | لأُفعِل | وَأَفعَل | وَأَفعِل | وَأَفَعْل | وَأَفُعُل | وَأَفُعْل | وَأَفْعَل | وَأَفْعُل | وَأَفْعِل | وَأُفعِل | وَأُفَعِّل | وَأُفِعْل | وَأُفْعِل | وَافعُل | وَافَّعَل | وَافَّعِل | وَافْعَل | وَافْعُل | وَافْعِل | وَالأَفَعْل | وَالأَفْعَل | وَلأُفِعْل,canonical_table | mishkat_extracted | user_extensions,verb_form_IV | اسم التفضيل | الصفة المشبهة | جمع تكسير,verb,1357,484,(curated)+أَحْمَر | (curated)+أَكْبَر | (curated)+أَنْفُس | (curated)+أُكْرِمُ | ءذن+ائْذَن
تفعل,تَفعَل | تَفعُل | تَفعِل | تَفَعَّل | تَفَعُّل | تَفَعْل | تَفُعْل | تَفِعْل | تَفَّعِل | تَفْعَل | تَفْعُل | تَفْعِل | تُفعَل | تُفعِل | تُفَعَّل | تُفَعِّل | تُفَعْل | تُفُعِّل | تُفِعْل | تُفْعَل | تُفْعِل | تُفْعِلُ | لَتَفُعْل | لَتَفْعَل | لِتَفْعَل | لِتَفْعُل | لِتَفْعِل | لِتُفعِل | لِتُفَعِّل | لِتُفْعِل | وَتَفعِل | وَتَفَعَّل | وَتَفَعْل | وَتَفُعْل | وَتَفِعْل | وَتَفْعَل | وَتَفْعُل | وَتَفْعِل | وَتُفعِل | وَتُفَعِّل | وَتُفِعْل | وَتُفْعَل | وَتُفْعِل | وَلِتَفْعَل | وَلِتُفعِل | وَلِتُفْعَل | وَلْتَفعُل,canonical_table | mishkat_extracted | user_extensions,verb_form_IV | المصدر الأصلي,verb,894,394,(curated)+تَعَلُّم | (curated)+تُكْرِمُ | ءثر+تُؤْثِرُونَ | ءخذ+تَأْخُذ | ءخذ+تَأْخُذُهُ
فعلة,الفَعِلَة | الفَعْلَة | الفِعْلَة | الفَّعَلَة | الفَّعْلَة | الفُّعْلَة | الفِّعْلَة | الْفَعَلَة | الْفَعْلَة | الْفُعَلَة | الْفُعُلَة | الْفُعْلَة | الْفِعَلَة | الْفِعْلَة | بِالفَعِلَة | بِالْفَعَلَة | بِالْفَعْلَة | بِالْفُعْلَة | بِالْفِعْلَة | بِفَعَلَة | بِفَعِلَة | بِفَعْلَة | بِفِعْلَة | فَعَلَة | فَعِلَة | فَعْلَة | فُعَلَة | فُعْلَة | فِعَلَة | فِعْلَة | كَفَعَلَة | لَفَعْلَة | لَفِعْلَة | لَلفَعِلَة | لِفَعَلَة | لِفُعْلَة | وَالفَعِلَة | وَالفَّعَلَة | وَالْفُعْلَة | وَالْفِعِلَّة | وَالْفِعْلَة | وَفَعَلَة | وَفَعِلَة | وَفَعْلَة | وَفُعْلَة | وَفِعْلَة,canonical_table | mishkat_extracted | user_extensions,اسم المرّة | اسم الهيئة | الصفة المشبهة (feminine) | جمع تكسير | شاذ | صيغة مبالغة | صيغة مبالغة (feminine),noun,781,278,(curated)+حَذِرَة | (curated)+سَهْلَة | (curated)+حَسَنَة | (curated)+حَذِرَة | (curated)+هُمَزَة
فعول,الفُعُول | الفَّعُول | الفَّعُّول | الفُّعُول | الْفَعُول | الْفُعُول | الْفُعُّول | بِالْفُعُول | بِفَعُول | بِفُعُول | فَعُول | فَعُّول | فُعُول | لَفَعُول | لِفُعُول | وَالفُّعُول | وَالْفَعُول | وَالْفُعُول | وَفَعُول | وَفُعُول,canonical_table | mishkat_extracted | user_extensions,الصفة المشبهة | المصدر الأصلي | جمع تكسير | صيغة مبالغة,noun,708,254,(curated)+وَقُور | (curated)+شَكُور | (curated)+خُرُوج | (curated)+عُلُوم | ءجر+أُجُورَكُم
مفعل,الْمَفَعْل | الْمَفْعَل | الْمَفْعِل | الْمُفعَل | الْمُفعِل | الْمُفَعَّل | الْمُفَعِّل | الْمُفِعْل | الْمُفَّعِّل | الْمُفْعَل | الْمُفْعِل | بِالْمُفعَل | بِالْمُفْعِل | بِمَفْعَل | بِمُفعَل | بِمُفَعَّل | بِمُفْعَل | بِمُفْعِل | كَالْمُفْعِل | لَمَفْعِل | لَمُفْعَل | لَمُفْعِل | لِلْمُفَعَّل | لِلْمُفَعِّل | لِلْمُفْعِل | لِمَفْعِل | مَفعَل | مَفعِل | مَفَعْل | مَفِعْل | مَفْعَل | مَفْعِل | مُفعَل | مُفعِل | مُفَعَّل | مُفَعِّل | مُفِعْل | مُفَّعَل | مُفَّعِل | مُفْعَل | مُفْعَلِي | مُفْعِل | مُفْعِلِي | مِفْعَل | وَالْمَفْعِل | وَالْمُفعَل | وَالْمُفعِل | وَالْمُفَعَّل | وَالْمُفَعِّل | وَالْمُفَّعِّل | وَالْمُفْعَل | وَالْمُفْعِل | وَمُفعِل | وَمُفَعَّل | وَمُفَعِّل,canonical_table | mishkat_extracted,اسم الآلة | اسم الزمان | اسم الفاعل | اسم المفعول | اسم المكان | المصدر الميمي,noun,676,272,(curated)+مُكْرِم | (curated)+مُعَلِّم | (curated)+مُكْرَم | (curated)+مُعَلَّم | (curated)+مَوْعَد
