root,count,first_word,first_word_plain,first_segment,sample_location,wazn,confidence,other_examples
—,21841,الَّذِينَ,الذين,الَّذِينَ,1:7:2,اسم موصول,1.000,وَلَا (1:7) | ذَلِكَ (2:2)
N/A,2006,مَالِكِ,مالك,مَالِكِ,1:4:1,مالك,1.000,الم (2:1) | الْأَرْضِ (2:11)
قول,1210,يَقُولُ,يقول,قُولُ,2:8:4,فعل,1.000,قَالُوا (2:11) | قَالُوا (2:13)
ربب,960,رَبِّ,رب,رَبِّ,1:2:3,فعل,0.973,رَبِّهِمْ (2:5) | رَبَّكُمُ (2:21)
كون,907,كَانُوا,كانوا,كَانُ,2:10:11,فعل,1.000,كَانُوا (2:16) | وَكَانَ (2:34)
علم,849,الْعَالَمِينَ,العالمين,عَالَمِ,1:2:4,فاعل,1.000,يَعْلَمُونَ (2:13) | تَعْلَمُونَ (2:22)
ءمن,832,يُؤْمِنُونَ,يؤمنون,ؤْمِنُ,2:3:2,فعل,0.920,يُؤْمِنُونَ (2:4) | يُؤْمِنُونَ (2:6)
قوم,621,الْمُسْتَقِيمَ,المستقيم,مُسْتَقِيمَ,1:6:3,مستفعل,1.000,وَيُقِيمُونَ (2:3) | قَامُوا (2:20)
ءوي,605,يَاأَيُّهَا,ياأيها,أَيُّ,2:21:1,فعل,0.998,بِآيَاتِنَا (2:39) | وَإِيَّايَ (2:40)
كفر,523,كَفَرُوا,كفروا,كَفَرُ,2:6:3,فعل,1.000,بِالْكَافِرِينَ (2:19) | لِلْكَافِرِينَ (2:24)
رسل,513,بِالرُّسُلِ,بالرسل,رُسُلِ,2:87:8,فعل,1.000,رَسُولٌ (2:87) | وَرُسُلِهِ (2:98)
شيء,494,شَاءَ,شاء,شَاءَ,2:20:15,فعل,1.000,شَيْءٍ (2:20) | شَيْءٍ (2:29)
عذب,371,عَذَابٌ,عذاب,عَذَابٌ,2:7:11,فعال,1.000,عَذَابٌ (2:10) | الْعَذَابِ (2:49)
يوم,365,يَوْمِ,يوم,يَوْمِ,1:4:2,فعل,1.000,وَبِالْيَوْمِ (2:8) | يَوْمَاً (2:48)
عمل,358,وَعَمِلُوا,وعملوا,عَمِلُ,2:25:4,فعل,1.000,وَعَمِلَ (2:62) | تَعْمَلُونَ (2:74)
ءتي,344,وَآتُوا,وآتوا,ءَاتُ,2:43:3,فعل,0.990,آتَيْنَا (2:53) | آتَيْنَاكُمْ (2:63)
جعل,344,يَجْعَلُونَ,يجعلون,جْعَلُ,2:19:9,فعل,0.920,جَعَلَ (2:22) | تَجْعَلُوا (2:22)
كلل,340,كُلِّ,كل,كُلِّ,2:20:23,فعل,0.973,بِكُلِّ (2:29) | كُلَّهَا (2:31)
ظلم,315,ظُلُمَاتٍ,ظلمات,ظُلُمَ,2:17:15,فعل,1.000,ظُلُمَاتٌ (2:19) | أَظْلَمَ (2:20)
بين,310,بَيْنَ,بين,بَيْنَ,2:66:4,فعل,1.000,يُبَيِّنْ (2:68) | بَيْنَ (2:68)
نزل,285,أُنْزِلَ,أنزل,أُنْزِلَ,2:4:4,افعل,1.000,وَأَنْزَلَ (2:22) | نَزَّلْنَا (2:23)
ذكر,283,اذْكُرُوا,اذكروا,ذْكُرُ,2:40:3,فعل,0.920,اذْكُرُوا (2:47) | وَاذْكُرُوا (2:63)
كتب,277,الْكِتَابُ,الكتاب,كِتَابُ,2:2:2,فعال,1.000,الْكِتَابَ (2:44) | الْكِتَابَ (2:53)
رحم,275,الرَّحِيمِ,الرحيم,رَحِيمِ,1:1:4,فعيل,1.000,الرَّحِيمِ (1:3) | الرَّحِيمُ (2:37)
عبد,272,نَعْبُدُ,نعبد,عْبُدُ,1:5:2,فعل,0.920,اعْبُدُوا (2:21) | عَبْدِنَا (2:23)
حقق,270,الْحَقُّ,الحق,حَقُّ,2:26:17,فعل,0.973,الْحَقَّ (2:42) | الْحَقِّ (2:61)
