canonical_plain,canonical_vocalized,count,is_foreign,glosses,surface_variants,category
الله,اللَّهِ,2538,False,(against)-allah | (but)-allah | (by)-allah,اللهِ / اللَّهَ / اللَّهُ / اللَّهِ / بِاللَّهِ,divine_name
العزيز,الْعَزِيزُ,64,False,(are)-the-all-mighty | (is)-the-all-mighty | (of)-aziz,الْعَزِيزُ / الْعَزِيزِ,divine_name
الرحمن,الرَّحْمَنِ,48,False,(is)-the-most-gracious | (is)-the-most-gracious; | (of)-the-most-gracious,الرَّحْمَنَ / الرَّحْمَنُ / الرَّحْمَنِ / بِالرَّحْمَنِ,divine_name
الحكيم,الْحَكِيمُ,40,False,(is)-the-all-wise | [the]-wise | all-wise,الْحَكِيمُ / الْحَكِيمِ,divine_name
الرحيم,الرَّحِيمُ,34,False,(is)-the-most-merciful | the-most-merciful,الرَّحِيمُ / الرَّحِيمِ,divine_name
العليم,الْعَلِيمُ,32,False,(are)-the-all-knowing | (is)-the-all-knower | all-knower,الْعَلِيمُ / الْعَلِيمِ,divine_name
السميع,السَّمِيعُ,19,False,(are)-the-all-hearing | (is)-all-hearer | (is)-all-hearing,السَّمِيعُ,divine_name
الغفور,الْغَفُورُ,11,False,(is)-the-most-forgiving | (is)-the-oft-forgiving | the-oft-forgiving,الْغَفُورُ,divine_name
الحميد,الْحَمِيدُ,10,False,(of)-the-praiseworthy | the-praiseworthy,الْحَمِيدُ / الْحَمِيدِ,divine_name
الغني,الْغَنِيُّ,8,False,(is)-free-of-need | (is)-the-self-sufficient,الْغَنِيُّ,divine_name
العظيم,الْعَظِيمِ,7,False,the-great | the-most-great,الْعَظِيمُ / الْعَظِيمِ,divine_name
التواب,التَّوَّابُ,6,False,(is)-the-acceptor-of-repentance | (is)-the-oft-returning-(to-mercy) | (is)-the-returning,التَّوَّابُ,divine_name
العلي,الْعَلِيُّ,6,False,(is)-the-most-high | the-most-high,الْعَلِيُّ / الْعَلِيِّ,divine_name
القهار,الْقَهَّارُ,6,False,the-irresistible,الْقَهَّارُ / الْقَهَّارِ,divine_name
اللهم,اللَّهُمَّ,5,False,o-allah,اللَّهُمَّ,divine_name
البصير,الْبَصِيرُ,4,False,the-all-seer,الْبَصِيرُ,divine_name
الحي,الْحَيُّ,4,False,(is)-the-ever-living; | the-ever-living,الْحَيُّ / الْحَيِّ,divine_name
الملك,الْمَلِكُ,4,False,the-king | the-sovereign,الْمَلِكُ / الْمَلِكِ,divine_name
السلام,السَّلَامِ,3,False,(of)-[the]-peace | (of)-the-peace | the-giver-of-peace,السَّلَامُ / السَّلَامِ,divine_name
الغفار,الْغَفَّارُ,3,False,the-oft-forgiving,الْغَفَّارُ / الْغَفَّارِ,divine_name
القيوم,الْقَيُّومُ,3,False,the-self-subsisting | the-sustainer-of-all-that-exists,الْقَيُّومُ / الْقَيُّومِ,divine_name
الوهاب,الْوَهَّابُ,3,False,(are)-the-bestower | the-bestower,الْوَهَّابُ / الْوَهَّابِ,divine_name
القدوس,الْقُدُّوسُ,2,False,the-holy | the-holy-one,الْقُدُّوسُ / الْقُدُّوسِ,divine_name
الكريم,الْكَرِيمُ,2,False,the-most-noble | the-noble,الْكَرِيمُ / الْكَرِيمِ,divine_name
اللطيف,اللَّطِيفُ,2,False,(is)-the-subtle | the-all-subtle,اللَّطِيفُ,divine_name
البارئ,الْبَارِئُ,1,False,the-inventor,الْبَارِئُ,divine_name
الجبار,الْجَبَّارُ,1,False,the-irresistible,الْجَبَّارُ,divine_name
الحليم,الْحَلِيمُ,1,False,(are)-the-forbearing,الْحَلِيمُ,divine_name
الرزاق,الرَّزَّاقُ,1,False,(is)-the-all-provider,الرَّزَّاقُ,divine_name
الصمد,الصَّمَدُ,1,False,the-eternal-the-absolute,الصَّمَدُ,divine_name
الظاهر,وَالظَّاهِرُ,1,False,and-the-apparent,وَالظَّاهِرُ,divine_name
الفتاح,الْفَتَّاحُ,1,False,(is)-the-judge,الْفَتَّاحُ,divine_name
المؤمن,الْمُؤْمِنُ,1,False,the-giver-of-security,الْمُؤْمِنُ,divine_name
المهيمن,الْمُهَيْمِنُ,1,False,the-guardian,الْمُهَيْمِنُ,divine_name
مالك,يَامَالِكُ,1,False,o-malik,يَامَالِكُ,divine_name
رعون,فِرْعَوْنَ,67,True,(of)-firaun | (of)-people-of-firaun | (the)-command-of-firaun,فِرْعَوْنَ / فِرْعَوْنُ / يَافِرْعَوْنُ,foreign_proper
مريم,مَرْيَمَ,34,True,(of)-maryam | and-maryam | maryam,مَرْيَمَ / وَمَرْيَمَ / يَامَرْيَمُ,foreign_proper
التوراة,التَّوْرَاةِ,18,True,(by)-the-taurat | (with)-the-taurat | and-the-taurat,التَّوْرَاةَ / التَّوْرَاةُ / التَّوْرَاةِ / بِالتَّوْرَاةِ / وَالتَّوْرَاةَ,foreign_proper
الإنجيل,وَالْإِنْجِيلَ,12,True,(of)-the-injeel | and-the-injeel | and-the-injeel;,الْإِنْجِيلَ / الْإِنْجِيلِ / وَالْإِنْجِيلَ / وَالْإِنْجِيلُ / وَالْإِنْجِيلِ,foreign_proper
إبليس,إِبْلِيسَ,11,True,(of)-iblis | iblees | iblis,إِبْلِيسَ / إِبْلِيسُ / يَاإِبْلِيسُ,foreign_proper
نوحا,نُوحَاً,10,True,and-nuh | nuh,نُوحَاً / وَنُوحَاً,foreign_proper
لوطا,وَلُوطَاً,6,True,and-(to)-lut | and-lut,وَلُوطَاً,foreign_proper
هودا,هُودَاً,6,True,(a)-jew[s] | hud | jews,هُودَاً,foreign_proper
عادا,عَادَاً,4,True,aad | and-aad | and-ad,عَادَاً / وَعَادَاً,foreign_proper
جالوت,بِجَالُوتَ,3,True,against-jalut | jalut | to-(face)-jalut,بِجَالُوتَ / جَالُوتَ / لِجَالُوتَ,foreign_proper
جبريل,لِجِبْرِيلَ,3,True,and-jibreel | to-jibreel,لِجِبْرِيلَ / وَجِبْرِيلَ / وَجِبْرِيلُ,foreign_proper
إلياس,وَإِلْيَاسَ,2,True,and-ilyas | ilyas,إِلْيَاسَ / وَإِلْيَاسَ,foreign_proper
