root,word,count,reason
ءبو,ءَابَاءَكُم,3,weak_root
ءبو,ءَابَاءَنَا,10,weak_root
ءبو,ءَابَاءَهُم,3,weak_root
ءبو,ءَابَاءَهُمُ,1,weak_root
ءبو,ءَابَاءِ,1,weak_root
ءبو,ءَابَاءِي,1,weak_root
ءبو,ءَابَاؤُكُم,5,weak_root
ءبو,ءَابَاؤُنَا,9,weak_root
ءبو,ءَابَاؤُهُم,4,weak_root
ءبو,ءَابَائِكَ,1,weak_root
ءبو,ءَابَائِكُم,1,weak_root
ءبو,ءَابَائِكُمُ,3,weak_root
ءبو,ءَابَائِنَا,2,weak_root
ءبو,ءَابَائِهِم,3,weak_root
ءبو,ءَابَائِهِنَّ,2,weak_root
ءبو,أَبًا,1,weak_root
ءبو,أَبَا,1,weak_root
ءبو,أَبَاكُم,1,weak_root
ءبو,أَبَانَا,1,weak_root
ءبو,أَبَاهُ,1,weak_root
ءبو,أَبَاهُم,1,weak_root
ءبو,أَبَوَاهُ,2,weak_root
ءبو,أَبَوَيْكَ,1,weak_root
ءبو,أَبَوَيْكُم,1,weak_root
ءبو,أَبَوَيْهِ,2,weak_root
ءبو,أَبُوكِ,1,weak_root
ءبو,أَبُوهُم,2,weak_root
ءبو,أَبُوهُمَا,1,weak_root
ءبو,أَبِي,4,weak_root
ءبو,أَبِيكُم,4,weak_root
ءبو,أَبِينَا,1,weak_root
ءبو,أَبِيهِم,1,weak_root
ءبو,بِأَبَائِنَا,2,weak_root
ءبو,لأَبَائِهِم,2,weak_root
ءبو,لأَبِي,1,weak_root
ءبو,لأَبِيهِ,9,weak_root
ءبو,وَءَابَاءَهُم,3,weak_root
ءبو,وَءَابَاؤُكُم,4,weak_root
ءبو,وَءَابَاؤُكُمُ,1,weak_root
ءبو,وَءَابَاؤُنَا,3,weak_root
ءبو,وَأَبُونَا,1,weak_root
ءبو,وَأَبِيهِ,1,weak_root
ءبو,وَلأَبَوَيْهِ,1,weak_root
ءبو,يَاأَبَانَا,6,weak_root
ءبو,يَاأَبَتِ,8,weak_root
ءبي,أَبَى,3,weak_root
ءبي,فَأَبَوْا,1,weak_root
ءبي,فَأَبَى,3,weak_root
ءبي,فَأَبَيْنَ,1,weak_root
ءبي,وَأَبَى,1,weak_root
ءبي,وَتَأْبَى,1,weak_root
ءبي,وَيَأْبَى,1,weak_root
ءبي,يَأْبَ,2,weak_root
ءتي,ءَاتَاكَ,1,weak_root
ءتي,ءَاتَاكُم,5,weak_root
ءتي,ءَاتَاكُمُ,1,weak_root
ءتي,ءَاتَانَا,1,weak_root
ءتي,ءَاتَانِ,1,weak_root
ءتي,ءَاتَانِيَ,1,weak_root
ءتي,ءَاتَاهَا,1,weak_root
ءتي,ءَاتَاهُ,2,weak_root
ءتي,ءَاتَاهُم,3,weak_root
ءتي,ءَاتَاهُمَا,2,weak_root
ءتي,ءَاتَاهُمُ,5,weak_root
ءتي,ءَاتَت,1,weak_root
ءتي,ءَاتَوْا,1,weak_root
ءتي,ءَاتَوْهُ,1,weak_root
ءتي,ءَاتَيْتَ,2,weak_root
ءتي,ءَاتَيْتَنَا,1,weak_root
ءتي,ءَاتَيْتَنِي,1,weak_root
ءتي,ءَاتَيْتَهُنَّ,1,weak_root
ءتي,ءَاتَيْتُكَ,1,weak_root
ءتي,ءَاتَيْتُكُم,1,weak_root
ءتي,ءَاتَيْتُم,3,weak_root
ءتي,ءَاتَيْتُمُوهُنَّ,4,weak_root
ءتي,ءَاتَيْنَا,19,weak_root
ءتي,ءَاتَيْنَاكَ,2,weak_root
ءتي,ءَاتَيْنَاكُم,3,weak_root
ءتي,ءَاتَيْنَاهَا,1,weak_root
ءتي,ءَاتَيْنَاهُ,5,weak_root
ءتي,ءَاتَيْنَاهُم,8,weak_root
ءتي,ءَاتَيْنَاهُمُ,8,weak_root
ءتي,ءَاتُونِي,2,weak_root
ءتي,ءَاتِنَا,4,weak_root
ءتي,ءَاتِهِم,1,weak_root
ءتي,ءَاتِي,1,weak_root
ءتي,ءَاتِيكَ,2,weak_root
ءتي,ءَاتِيكُم,4,weak_root
ءتي,ءَاتِيهِ,1,weak_root
ءتي,ءَاتِيهِم,1,weak_root
ءتي,ءَاتِيَةٌ,2,weak_root
ءتي,أَتَأْتُونَ,3,weak_root
ءتي,أَتَاكَ,6,weak_root
ءتي,أَتَاكُم,3,weak_root
ءتي,أَتَانَا,1,weak_root
ءتي,أَتَاهَا,3,weak_root
ءتي,أَتَاهُم,5,weak_root
ءتي,أَتَت,1,weak_root
ءخذ,خُذ,1,alignment_failed
ءخذ,خُذُوا,5,alignment_failed
ءخذ,خُذُوهُ,2,alignment_failed
ءخذ,خُذِ,2,alignment_failed
ءخذ,خُذْهَا,1,alignment_failed
ءخذ,فَخُذ,3,alignment_failed
ءخذ,فَخُذُوهُ,2,alignment_failed
ءخذ,فَخُذُوهُم,2,alignment_failed
ءخذ,فَخُذْهَا,1,alignment_failed
ءخو,أَخٌ,2,weak_root
ءخو,أَخَا,1,weak_root
ءخو,أَخَانَا,2,weak_root
ءخو,أَخَاهُ,4,weak_root
ءخو,أَخَاهُم,8,weak_root
ءخو,أَخَوَاتِكُم,1,weak_root
ءخو,أَخَوَاتِهِنَّ,2,weak_root
ءخو,أَخَوَيْكُم,1,weak_root
ءخو,أَخُوكَ,1,weak_root
ءخو,أَخُوهُم,4,weak_root
ءخو,أَخِي,4,weak_root
ءخو,أَخِيهِ,10,weak_root
ءخو,أُخْتٌ,2,weak_root
ءخو,أُخْتَهَا,1,weak_root
ءخو,أُخْتُكَ,1,weak_root
ءخو,أُخْتِهَا,1,weak_root
ءخو,إِخْوَانًا,2,weak_root
ءخو,إِخْوَانَ,1,weak_root
ءخو,إِخْوَانَهُم,1,weak_root
ءخو,إِخْوَانِكُم,1,weak_root
ءخو,إِخْوَانِهِنَّ,4,weak_root
ءخو,إِخْوَةً,1,weak_root
ءخو,إِخْوَةٌ,2,weak_root
ءخو,إِخْوَةُ,1,weak_root
ءخو,إِخْوَتِكَ,1,weak_root
ءخو,إِخْوَتِي,1,weak_root
ءخو,الأَخِ,1,weak_root
ءخو,الأُخْتَيْنِ,1,weak_root
ءخو,الأُخْتِ,1,weak_root
ءخو,بِأَخٍ,1,weak_root
ءخو,بِأَخِيكَ,1,weak_root
ءخو,فَإِخْوَانُكُم,3,weak_root
ءخو,لأَخِيهِ,1,weak_root
ءخو,لأُخْتِهِ,1,weak_root
ءخو,لإِخْوَانِهِم,3,weak_root
ءخو,لإِخْوَانِهِمُ,1,weak_root
ءخو,وَأَخَاهُ,3,weak_root
ءخو,وَأَخَوَاتُكُم,2,weak_root
ءخو,وَأَخُوكَ,1,weak_root
ءخو,وَأَخُوهُ,1,weak_root
ءخو,وَأَخِي,2,weak_root
ءخو,وَأَخِيهِ,4,weak_root
ءخو,وَإِخْوَانَكُم,1,weak_root
ءخو,وَإِخْوَانُ,1,weak_root
ءخو,وَإِخْوَانُكُم,1,weak_root
ءخو,وَإِخْوَانُهُم,1,weak_root
ءخو,وَإِخْوَانِهِم,1,weak_root
ءخو,وَإِخْوَتِهِ,1,weak_root
ءخو,وَلأَخِي,1,weak_root
ءخو,وَلإِخْوَانِنَا,1,weak_root
ءخو,يَاأُخْتَ,1,weak_root
ءدي,أَدُّوا,1,weak_root
ءدي,تُؤَدُّوا,1,weak_root
ءدي,فَلْيُؤَدِّ,1,weak_root
ءدي,وَأَدَاءٌ,1,weak_root
ءدي,يُؤَدِّهِ,2,weak_root
ءذ,أَءِذَا,11,root_too_short
ءذ,أَئِذَا,1,root_too_short
ءذ,إِذ,156,root_too_short
ءذ,إِذًا,26,root_too_short
ءذ,إِذَا,195,root_too_short
ءذ,إِذِ,9,root_too_short
ءذ,فَإِذ,2,root_too_short
ءذ,فَإِذًا,1,root_too_short
ءذ,فَإِذَا,86,root_too_short
ءذ,وَإِذ,69,root_too_short
ءذ,وَإِذًا,4,root_too_short
ءذ,وَإِذَا,130,root_too_short
ءذ,وَإِذِ,3,root_too_short
ءذي,ءَاذَوْا,1,weak_root
ءذي,ءَاذَيْتُمُونَا,1,weak_root
ءذي,أَذًى,7,weak_root
ءذي,أَذَاهُم,1,weak_root
ءذي,أُوذِينَا,1,weak_root
ءذي,أُوذِيَ,1,weak_root
ءذي,تُؤْذُوا,1,weak_root
ءذي,تُؤْذُونَنِي,1,weak_root
ءذي,فَأَذُوهُمَا,1,weak_root
ءذي,وَأُوذُوا,2,weak_root
ءذي,وَالأَذَى,1,weak_root
ءذي,يُؤْذَيْنَ,1,weak_root
ءذي,يُؤْذُونَ,4,weak_root
ءذي,يُؤْذِي,1,weak_root
ءسي,ءَاسَى,1,weak_root
ءسي,تَأْسَ,2,weak_root
ءسي,تَأْسَوْا,1,weak_root
ءكل,فَكُلاَ,1,alignment_failed
ءكل,فَكُلاًّ,1,alignment_failed
ءكل,فَكُلُوا,7,alignment_failed
ءكل,فَكُلُوهُ,1,alignment_failed
ءكل,فَكُلِي,1,alignment_failed
ءكل,كُلُوا,15,alignment_failed
ءكل,كُلِي,1,alignment_failed
ءكل,وَكُلاَ,1,alignment_failed
ءكل,وَكُلُوا,5,alignment_failed
ءلت,يَلِتْكُم,1,alignment_failed
ءلل,إِلاًّ,2,alignment_failed
ءلل,الَّتِي,57,alignment_failed
ءلل,الَّذَيْنِ,1,alignment_failed
ءلل,الَّذِي,268,alignment_failed
ءلل,الَّذِينَ,810,alignment_failed
ءلل,الَّلائِي,2,alignment_failed
ءلل,الَّلاتِي,8,alignment_failed
ءلل,بِالَّتِي,7,alignment_failed
ءلل,بِالَّذِي,11,alignment_failed
ءلل,بِالَّذِينَ,6,alignment_failed
ءلل,فَالَّذِينَ,10,alignment_failed
ءلل,كَالَّتِي,1,alignment_failed
