root,past_3sg_m,bab,transitivity,masdar,هو_3sg_m,هي_3sg_f,هما_3du_m,هما_3du_f,هم_3pl_m,هن_3pl_f,أنتَ_2sg_m,أنتِ_2sg_f,أنتما_2du,أنتم_2pl_m,أنتن_2pl_f,أنا_1sg,نحن_1pl
غرب,غَرَبَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,غُرُوب,غَرَبَ,غَرَبَتْ,غَرَبَا,غَرَبَتَا,غَرَبُوا,غَرَبْنَ,غَرَبْتَ,غَرَبْتِ,غَرَبْتُمَا,غَرَبْتُمْ,غَرَبْتُنَّ,غَرَبْتُ,غَرَبْنَا
غرب,غَرِبَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَرَب,غَرِبَ,غَرِبَتْ,غَرِبَا,غَرِبَتَا,غَرِبُوا,غَرِبْنَ,غَرِبْتَ,غَرِبْتِ,غَرِبْتُمَا,غَرِبْتُمْ,غَرِبْتُنَّ,غَرِبْتُ,غَرِبْنَا
غرب,غَرُبَ,فَعُلَ يَفْعُلُ ( ضمَ ضمَ ),لازم,غَرَابَة,غَرُبَ,غَرُبَتْ,غَرُبَا,غَرُبَتَا,غَرُبُوا,غَرُبْنَ,غَرُبْتَ,غَرُبْتِ,غَرُبْتُمَا,غَرُبْتُمْ,غَرُبْتُنَّ,غَرُبْتُ,غَرُبْنَا
غرث,غَرِثَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَرَث,غَرِثَ,غَرِثَتْ,غَرِثَا,غَرِثَتَا,غَرِثُوا,غَرِثْنَ,غَرِثْتَ,غَرِثْتِ,غَرِثْتُمَا,غَرِثْتُمْ,غَرِثْتُنَّ,غَرِثْتُ,غَرِثْنَا
غرد,غَرِدَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَرَد,غَرِدَ,غَرِدَتْ,غَرِدَا,غَرِدَتَا,غَرِدُوا,غَرِدْنَ,غَرِدْتَ,غَرِدْتِ,غَرِدْتُمَا,غَرِدْتُمْ,غَرِدْتُنَّ,غَرِدْتُ,غَرِدْنَا
غرز,غَرَزَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,غَرْز,غَرَزَ,غَرَزَتْ,غَرَزَا,غَرَزَتَا,غَرَزُوا,غَرَزْنَ,غَرَزْتَ,غَرَزْتِ,غَرَزْتُمَا,غَرَزْتُمْ,غَرَزْتُنَّ,غَرَزْتُ,غَرَزْنَا
ختل,خَتَلَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,خَتْل,خَتَلَ,خَتَلَتْ,خَتَلَا,خَتَلَتَا,خَتَلُوا,خَتَلْنَ,خَتَلْتَ,خَتَلْتِ,خَتَلْتُمَا,خَتَلْتُمْ,خَتَلْتُنَّ,خَتَلْتُ,خَتَلْنَا
غرز,غَرِزَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَرَز,غَرِزَ,غَرِزَتْ,غَرِزَا,غَرِزَتَا,غَرِزُوا,غَرِزْنَ,غَرِزْتَ,غَرِزْتِ,غَرِزْتُمَا,غَرِزْتُمْ,غَرِزْتُنَّ,غَرِزْتُ,غَرِزْنَا
غرس,غَرَسَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَرْس,غَرَسَ,غَرَسَتْ,غَرَسَا,غَرَسَتَا,غَرَسُوا,غَرَسْنَ,غَرَسْتَ,غَرَسْتِ,غَرَسْتُمَا,غَرَسْتُمْ,غَرَسْتُنَّ,غَرَسْتُ,غَرَسْنَا
غرض,غَرَضَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,غَرْض,غَرَضَ,غَرَضَتْ,غَرَضَا,غَرَضَتَا,غَرَضُوا,غَرَضْنَ,غَرَضْتَ,غَرَضْتِ,غَرَضْتُمَا,غَرَضْتُمْ,غَرَضْتُنَّ,غَرَضْتُ,غَرَضْنَا
