wazn_plain,voweled_variants,rows,tokens,examples
يفعل,لَيَفُعْل | لَيَفْعَل | لَيَفْعُل | لَيَفْعِل | لَيُفِعْل | لَيُفْعِل | لِيَفْعَل | لِيَفْعُل | لِيَفْعِل | لِيُفعِل | لِيُفَعِّل | لِيُفِعْل | لِيُفْعَل | لِيُفْعِل | لْيَفْعَل | وَلِيَفْعَل | وَلِيَفْعِل | وَلِيُفَعِّل | وَلِيُفِعْل | وَلْيَفْعُل | وَلْيُفْعِل | وَيَفعُل | وَيَفُعْل | وَيَفِعْل | وَيَفَّعِل | وَيَفْعَل | وَيَفْعُل | وَيَفْعِل | وَيُفعِل | وَيُفَعِّل | وَيُفِعْل | وَيُفْعَل | وَيُفْعِل | وَيْفَعَل | يَفعَل | يَفعُل | يَفعِل | يَفَعْل | يَفُعْل | يَفِعِّل | يَفِعْل | يَفَّعِل | يَفَّعَّل | يَفْعَل | يَفْعُل | يَفْعِل | يُفعَل | يُفعِل | يُفَعَّل | يُفَعِّل | يُفَعْل | يُفِعْل | يُفْعَل | يُفْعِل,699,1635,ءتل+يَأْتَلِ | ءثر+وَيُؤْثِرُونَ | ءثر+يُؤْثَرُ | ءخر+وَيُؤَخِّرَكُم | ءخر+وَيُؤَخِّرْكُم
افعل,أَفعَل | أَفعُل | أَفعِل | أَفَعَل | أَفَعِل | أَفَعْل | أَفُعْل | أَفِعل | أَفِعْل | أَفَّعَل | أَفَّعِل | أَفْعَل | أَفْعَلِي | أَفْعُل | أَفْعِل | أَفْعِلِي | أُفعِل | أُفَعِّل | أُفِعْل | أُفْعَل | أُفْعِل | افعُل | افَّعَل | افَّعِل | افْعَل | افْعُل | افْعِل | افْعِلِي | الأَفعُل | الأَفَعْل | الأَفْعَل | الأَفْعُل | بِأَفعُل | بِأَفْعَل | بِأَفْعُل | بِالأَفْعَل | لأَفعَل | لأَفعُل | لأَفُعْل | لأَفْعَل | لأَفْعُل | لأَفْعِل | لأُفعِل | وَأَفعَل | وَأَفعِل | وَأَفَعْل | وَأَفُعُل | وَأَفُعْل | وَأَفْعَل | وَأَفْعُل | وَأَفْعِل | وَأُفعِل | وَأُفَعِّل | وَأُفِعْل | وَأُفْعِل | وَافعُل | وَافَّعَل | وَافَّعِل | وَافْعَل | وَافْعُل | وَافْعِل | وَالأَفَعْل | وَالأَفْعَل | وَلأُفِعْل,484,1357,ءذن+ائْذَن | بتر+الأَبْتَرُ | بحر+أَبْحُرٍ | بدل+أُبَدِّلَهُ | برء+أُبَرِّئُ
تفعل,تَفعَل | تَفعُل | تَفعِل | تَفَعَّل | تَفَعُّل | تَفَعْل | تَفُعْل | تَفِعْل | تَفَّعِل | تَفْعَل | تَفْعُل | تَفْعِل | تُفعَل | تُفعِل | تُفَعَّل | تُفَعِّل | تُفَعْل | تُفُعِّل | تُفِعْل | تُفْعَل | تُفْعِل | لَتَفُعْل | لَتَفْعَل | لِتَفْعَل | لِتَفْعُل | لِتَفْعِل | لِتُفعِل | لِتُفَعِّل | لِتُفْعِل | وَتَفعِل | وَتَفَعَّل | وَتَفَعْل | وَتَفُعْل | وَتَفِعْل | وَتَفْعَل | وَتَفْعُل | وَتَفْعِل | وَتُفعِل | وَتُفَعِّل | وَتُفِعْل | وَتُفْعَل | وَتُفْعِل | وَلِتَفْعَل | وَلِتُفعِل | وَلِتُفْعَل | وَلْتَفعُل,394,894,ءثر+تُؤْثِرُونَ | ءخذ+تَأْخُذ | ءخذ+تَأْخُذُهُ | ءخذ+تَأْخُذُهُم | ءخذ+تَأْخُذُونَهَا
فعلو,فَعَلُو | فَعُلُو | فَعِلُو | فَعَّلُو | فَعِّلُو | فَعْلُو | فُعِلُو | فُعِّلُو | فُعْلُو | لفَعَلُو | لَفَعْلُو | وَفَعَلُو | وَفَعِلُو | وَفَعَّلُو | وَفَعِّلُو | وَفَعْلُو | وَفُعِلُو | وَفُعِّلُو | وَفُعْلُو,128,617,ءخذ+أُخِذُوا | ءكل+لأَكَلُوا | ءمر+أُمِرُوا | ءمر+وَأَمَرُوا | بخل+بَخِلُوا
افعال,أَفعَال | أَفُعَّال | أَفْعاَل | أَفْعَال | إِفعَال | إِفْعاَل | إِفْعَال | افِّعَال | الأَفعَال | الأَفْعاَل | الأَفْعَال | الإِفعَال | الإِفْعاَل | الإِفْعَال | بِأَفْعَال | بِإِفْعَال | بِالأَفْعاَل | بِالأَفْعَال | كَأَفْعَال | كَالأَفْعاَل | كَالأَفْعَال | لأَفْعَال | لِلأَفْعَال | لِلإِفْعاَل | وَأَفْعاَل | وَأَفْعَال | وَإِفْعَال | وَالأَفعَال | وَالأَفْعاَل | وَالأَفْعَال | وَالإِفْعَال | وَلأَفْعَال,248,543,برر+الأَبْرَارَ | برر+الأَبْرَارِ | برر+لِلأَبْرَارِ | بصر+أَبْصَارَهُم | بصر+أَبْصَارُ
فعلت,الْفَعْلَت | بِفَعْلَت | بِفَعْلَتَي | بِفِعْلَت | فَعَلت | فَعَلَت | فَعَلْت | فَعُلَت | فَعُلْت | فَعِلت | فَعِلَت | فَعِلْت | فَعَّلت | فَعَّلَت | فَعَّلْت | فَعْلَت | فُعِلت | فُعِلَت | فُعِلْت | فُعِّلَت | فُعِّلْت | فُعْلَت | فِعْلَت | لَفَعَلَت | لَفَعْلَت | لَفُعِّلَت | لِفُعْلَت | لِفِعْلَت | وَفَعَلَت | وَفَعَلْت | وَفَعِلَت | وَفَعِلْت | وَفَعَّلت | وَفَعَّلَت | وَفَعْلَت | وَفُعِلَت | وَفُعِلْت | وَفُعِّلَت | وَفُعْلَت | وَلَفُعِلْت,271,477,ءجل+أَجَّلْتَ | ءجل+أُجِّلَت | ءخذ+أَخَذَتِ | ءخذ+أَخَذَتْهُ | ءخذ+أَخَذَتْهُمُ
فاعلو,فَاعَلُو | فَاعِلُو | فَاعْلُو | لَفَاعِلُو | وَفَاعَلُو | وَفَاعِلُو | وَفَاعْلُو,26,316,ءمن+ءَامَنُوا | ءمن+ءَامِنُوا | بسط+بَاسِطُوا | ترك+لَتَارِكُوا | جدل+وَجَادَلُوا
افعلو,أَفعَلُو | أَفعِلُو | أَفَعِلُو | أَفَعْلُو | أَفِعْلُو | أَفْعَلُو | أَفْعِلُو | أُفعِلُو | أُفْعِلُو | افعُلُو | افعِلُو | افَّعَلُو | افَّعِلُو | افُّعِلُو | افْعَلُو | افْعُلُو | افْعِلُو | لأَفَعْلُو | لاَّفَّعَلُو | وَأَفعَلُو | وَأَفعِلُو | وَأَفَعْلُو | وَأَفِعْلُو | وَأَفْعَلُو | وَأَفْعِلُو | وَأُفْعِلُو | وَافعُلُو | وَافَّعَلُو | وَافَّعِلُو | وَافْعَلُو | وَافْعُلُو | وَافْعِلُو,132,304,برم+أَبْرَمُوا | بسل+أُبْسِلُوا | بشر+وَأَبْشِرُوا | بلغ+أَبْلَغُوا | تبع+اتَّبَعُوا
تفعلو,تَفعُلُو | تَفعِلُو | تَفَعَّلُو | تَفَعْلُو | تَفُعْلُو | تَفِعْلُو | تَفْعَلُو | تَفْعُلُو | تَفْعِلُو | تُفعِلُو | تُفَعِّلُو | تُفِعْلُو | تُفْعِلُو | لِتَفْعَلُو | لِتَفْعُلُو | لِتُفعِلُو | لِتُفَعِّلُو | لِتُفْعِلُو | وَتَفَعَّلُو | وَتَفْعَلُو | وَتَفْعُلُو | وَتَفْعِلُو | وَتُفَعِّلُو | وَتُفْعِلُو | وَلِتَفْعَلُو | وَلِتَفْعُلُو | وَلِتُفَعِّلُو | وَلِتُفْعِلُو,138,242,ءخذ+تَأْخُذُوا | ءكل+تَأْكُلُوا | ءكل+تَأْكُلُوهَا | ءكل+لِتَأْكُلُوا | بخس+تَبْخَسُوا
فعلن,الفَّعْلَن | بِالفَّعْلَن | فَعَلَن | فَعَلْن | فَعِلَن | فَعِلْن | فَعَّلَن | فَعَّلْن | فَعْلَن | لَفَعَلْن | لِلفَّعْلَن | وَفَعَلَن | وَفَعَلْن | وَفَعِلْن | وَفَعَّلْن | وَفَعْلَن | وَلفَعُلَن,97,220,ءخذ+أَخَذْنَاهُم | ءلت+أَلَتْنَاهُم | ءمر+وَلأَمُرَنَّهُم | بدل+بَدَّلْنَاهُم | بدل+وَبَدَّلْنَاهُم
نفعل,لَنَفُعْل | لَنَفْعَل | لِنَفْعَل | لِنَفْعِل | لِنُفَعِّل | لِنُفْعِل | نَفُعْل | نَفِعْل | نَفَّعِل | نَفْعَل | نَفْعُل | نَفْعِل | نُفَعِّل | نُفَعْل | نُفِعْل | نُفْعِل | وَلِنَفْعَل | وَلِنُفَعِّل | وَلْنَفْعِل | وَنَفُعْل | وَنَفَّعِل | وَنَفْعَل | وَنَفْعُل | وَنُفَعِّل | وَنُفَعْل | وَنُفِعْل | وَنُفْعِل,139,185,ءثر+نُؤْثِرَكَ | ءخر+نُؤَخِّرُهُ | ءكل+نَأْكُلَ | بدل+نُبَدِّلَ | برء+نَبْرَأَهَا
فافعل,فَأَفعَل | فَأَفعُل | فَأَفعِل | فَأَفَعْل | فَأَفَّعِل | فَأَفَّعَّل | فَأَفْعَل | فَأَفْعُل | فَأَفْعِل | فَأُفَعِّل | فَافعَل | فَافعُل | فَافعِل | فَافَّعَل | فَافَّعِل | فَافْعَل | فَافْعُل | فَافْعِل | فَافْعِلِي,79,143,تبع+فَأَتْبَعَ | تبع+فَأَتْبَعَهُ | تبع+فَأَتْبَعَهُم | تبع+فَأَتْبَعْنَا | تبع+فَاتَّبِع
افعلت,أَفعَلَت | أَفعَلْت | أَفَعَلْت | أَفَعْلَت | أَفْعَلت | أَفْعَلَت | أَفْعَلْت | أَفْعِلَت | أُفعِلَت | أُفِعْلَت | أُفْعِلَت | أُفْعِلْت | افَّعَلْت | افْعَلَت | بِأَفْعِلَت | لافْعَلَت | وَأَفعَلَت | وَأَفْعَلَت | وَأَفْعَلْت | وَأَفْعِلَت | وَأُفِعْلَت | وَأُفْعِلَت | وَافَّعَلَت | وَافَّعَلْت | وَافْعَلَت,86,122,بلغ+أَبْلَغْتُكُم | تبع+اتَّبَعْتَ | تبع+وَاتَّبَعَتْهُم | تبع+وَاتَّبَعْتُ | تمم+أَتْمَمْتَ
فعلتم,فَعَلتُم | فَعَلتُّم | فَعَلْتُم | فَعِلتُم | فَعِلتُّم | فَعِلْتُم | فَعَّلتُّم | فَعَّلْتُم | فُعِلتُم | فُعِلْتُم | فُعِّلْتُم | لَفَعِلْتُم | وَفَعَلتُم | وَفَعَلْتُم | وَفَعَّلْتُم | وَفُعِّلْتُم,68,117,ءخذ+أَخَذْتُم | ءمن+أَمِنتُم | بطش+بَطَشْتُم | ترك+تَرَكْتُم | ترك+وَتَرَكْتُم
يفعلو,لِيَفعِلُو | لِيَفُعْلُو | لِيَفَّعَّلُو | لِيَفْعَلُو | لِيَفْعُلُو | لِيَفْعِلُو | لِيُفَعِّلُو | لِيُفِعْلُو | لِيُفْعِلُو | وَلِيَفْعَلُو | وَلِيَفْعُلُو | وَلِيُفعَلُو | وَلِيُفعِلُو | وَلِيُفَعِّلُو | وَلْيَفْعَلُو | وَيَفُعْلُو | وَيَفْعَلُو | وَيَفْعُلُو | وَيُفعِلُو | يَفعُلُو | يَفُعْلُو | يَفِعْلُو | يَفَّعِلُو | يَفَّعَّلُو | يَفْعَلُو | يَفْعُلُو | يَفْعِلُو | يُفَعَّلُو | يُفَعِّلُو | يُفِعْلُو | يُفْعَلُو | يُفْعِلُو,86,115,ءكل+لِيَأْكُلُوا | بدل+يُبَدِّلُوا | بسط+وَيَبْسُطُوا | بسط+يَبْسُطُوا | بصر+يَبْصُرُوا
افعلن,أَفعَلْن | أَفعِلْن | أَفَعْلَن | أَفْعَلَن | أَفْعَلْن | أَفْعِلْن | أَفْعِلْنِي | افعُلْن | افَّعَلَن | افْعَلْن | افْعُلْن | لأَفْعلَن | لأَفْعَلَن | لأَفْعُلَن | لأَفْعِلَن | لأُفَعِّلَن | لاَّفَّعَلْن | وَأَفْعَلْن | وَأَفْعِلْن | وَافْعَلْن | وَافْعُلْن | وَلأَفْعَلْن | وَلأُفَعِّلَن | وَلأُفِعْلَن | وَلأُفْعِلَن,60,99,تبع+اتَّبَعَنِ | تبع+اتَّبَعَنِي | تبع+لاَّتَّبَعْنَاكُم | تبع+وَأَتْبَعْنَاهُم | ترف+وَأَتْرَفْنَاهُم
فافعلو,فَأَفعِلُو | فَأَفَعْلُو | فَأَفِعْلُو | فَأَفْعَلُو | فَأَفْعِلُو | فَأُفْعِلُو | فَافعُلُو | فَافعِلُو | فَافَّعَلُو | فَافَّعِلُو | فَافَّعَّلُو | فَافْعَلُو | فَافْعُلُو | فَافْعِلُو,56,88,بعث+فَابْعَثُوا | تبع+فَأَتْبَعُوهُم | تبع+فَاتَّبَعُوا | تبع+فَاتَّبَعُوهُ | تبع+فَاتَّبِعُوا
يستفعل,لَيَسْتَفِعْل | لِيَسْتَفْعِل | وَلْيَسْتَفْعِل | وَيَسْتَفْعِل | وَيُسْتَفْعَل | يَسْتَفعِل | يَسْتَفِعْل | يَسْتَفْعِل | يُسْتَفْعَل,40,74,ءخر+يَسْتَأْخِرُونَ | ءخر+يَسْتَئْخِرُونَ | ءذن+لِيَسْتَئْذِنكُمُ | ءذن+وَيَسْتَئْذِنُ | ءذن+يَسْتَئْذِنُكَ
تفعيل,تَفعِيل | تَفْعِيل | لَتَفعِيل | وَتَفْعِيل,45,72,ءثم+تَأْثِيمًا | ءثم+تَأْثِيمٌ | بتل+تَبْتِيلاً | بدل+تَبْدِيلاً | بدل+تَبْدِيلَ
يفعلن,لَيَفعُلَن | لَيَفَعْلَن | لَيَفْعَلَن | لَيَفْعُلَن | لَيَفْعُلُن | لَيَفْعِلُن | لَيُفعَلَن | لَيُفَعِّلَن | لَيُفْعَلَن | لَيُفْعِلَن | لَيُفْعِلُن | وَلَيَفعُلَن | وَلَيَفَعْلَن | وَلَيَفْعَلَن | وَلَيَفْعِلُن | وَلَيُفَعِّلَن | وَلْيَفْعِلْن | وَيَفْعَلْن | وَيَفْعِلْن | يَفعَلَن | يَفعُلُن | يَفعِلْن | يَفُعْلَن | يَفُعْلُن | يَفْعَلْن | يَفْعُلَن | يَفْعُلْن | يَفْعِلَن | يَفْعِلُن | يَفْعِلْن | يُفَعِّلُن | يُفَعِّلْن | يُفْعَلْن | يُفْعِلَن | يُفْعِلُن | يُفْعِلْن,54,64,بدل+وَلَيُبَدِّلَنَّهُم | بطء+لَيُبَطِّئَنَّ | بعث+لَيَبْعَثَنَّ | بلغ+يَبْلُغَنَّ | جرم+يَجْرِمَنَّكُم
افتعلو,افتَعِلُو | افْتَعَلُو | افْتَعِلُو | افْتَعْلُو | لاَّفْتَعَلُو | وَافتَعَلُو | وَافتَعِلُو | وَافْتَعَلُو | وَافْتَعِلُو,26,58,ءخذ+اتَّخَذُوا | ءخذ+اتَّخَذُوهَا | ءخذ+اتَّخَذُوهُ | ءخذ+اتَّخَذُوهُم | ءخذ+لاَّتَّخَذُوكَ
