verb_surface,occurrences,total_args,role_direct_object,role_imperf_verb,role_prep_phrase,role_subject,role_state,role_predicate,role_imper_verb,role_past_verb,role_subject_nominal,role_cognate,role_purpose,role_specifier,role_comitative
قال,416,1688,129.0,250.0,494.0,131.0,29.0,185.0,86.0,247.0,125.0,5.0,0.0,7.0,0.0
كان,323,1042,41.0,115.0,396.0,26.0,26.0,289.0,13.0,95.0,34.0,4.0,0.0,3.0,0.0
قل,294,1269,104.0,200.0,405.0,50.0,20.0,135.0,62.0,154.0,129.0,1.0,0.0,9.0,0.0
آمنوا,263,1205,184.0,145.0,384.0,38.0,16.0,74.0,78.0,213.0,59.0,6.0,0.0,8.0,0.0
قالوا,250,1023,81.0,126.0,297.0,40.0,17.0,121.0,45.0,210.0,76.0,9.0,1.0,0.0,0.0
كانوا,229,430,23.0,174.0,108.0,3.0,6.0,73.0,2.0,29.0,7.0,0.0,0.0,5.0,0.0
كنتم,188,378,18.0,118.0,103.0,8.0,2.0,83.0,8.0,33.0,4.0,0.0,1.0,0.0,0.0
كفروا,188,811,59.0,108.0,302.0,40.0,18.0,75.0,13.0,120.0,61.0,7.0,0.0,8.0,0.0
يشاء,115,461,44.0,80.0,155.0,17.0,9.0,75.0,4.0,31.0,41.0,3.0,1.0,1.0,0.0
أنزل,95,466,45.0,36.0,231.0,45.0,10.0,22.0,7.0,44.0,23.0,0.0,1.0,2.0,0.0
يؤمنون,86,196,8.0,25.0,100.0,5.0,2.0,14.0,2.0,17.0,22.0,1.0,0.0,0.0,0.0
وقال,85,361,29.0,32.0,107.0,75.0,1.0,20.0,20.0,63.0,13.0,1.0,0.0,0.0,0.0
وكان,84,201,2.0,9.0,67.0,1.0,1.0,114.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0
تعملون,83,39,1.0,0.0,4.0,0.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
يعلمون,82,57,12.0,12.0,17.0,4.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0
يعلم,71,271,59.0,50.0,100.0,19.0,4.0,12.0,4.0,11.0,11.0,1.0,0.0,0.0,0.0
كنا,63,160,6.0,21.0,53.0,1.0,6.0,56.0,1.0,11.0,4.0,1.0,0.0,0.0,0.0
خلق,62,248,60.0,27.0,96.0,14.0,8.0,8.0,3.0,18.0,11.0,1.0,0.0,2.0,0.0
وقالوا,61,243,16.0,28.0,61.0,15.0,0.0,39.0,7.0,42.0,28.0,4.0,0.0,3.0,0.0
جاء,57,265,23.0,21.0,71.0,58.0,9.0,14.0,4.0,50.0,15.0,0.0,0.0,0.0,0.0
تعلمون,56,34,7.0,9.0,9.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
يعملون,56,40,8.0,5.0,10.0,2.0,0.0,8.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
شاء,55,196,23.0,23.0,40.0,39.0,5.0,12.0,2.0,48.0,2.0,0.0,0.0,0.0,2.0
وعملوا,53,259,74.0,32.0,69.0,9.0,0.0,28.0,1.0,18.0,27.0,1.0,0.0,0.0,0.0
أرسلنا,51,237,48.0,11.0,138.0,1.0,2.0,4.0,6.0,24.0,2.0,1.0,0.0,0.0,0.0
كنت,51,175,12.0,20.0,71.0,2.0,3.0,43.0,2.0,17.0,3.0,1.0,1.0,0.0,0.0
يقولون,51,202,16.0,18.0,73.0,5.0,2.0,19.0,25.0,30.0,12.0,1.0,0.0,1.0,0.0
تجري,48,256,3.0,13.0,141.0,39.0,22.0,6.0,0.0,14.0,15.0,1.0,2.0,0.0,0.0
ليس,47,184,7.0,16.0,68.0,3.0,2.0,63.0,2.0,12.0,10.0,0.0,0.0,1.0,0.0
جعل,45,231,74.0,11.0,106.0,11.0,0.0,1.0,4.0,22.0,2.0,0.0,0.0,0.0,0.0
كذبوا,43,200,13.0,23.0,83.0,12.0,2.0,14.0,2.0,40.0,9.0,2.0,0.0,0.0,0.0
يهدي,43,132,41.0,19.0,39.0,6.0,1.0,11.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0
واتقوا,42,152,43.0,22.0,42.0,4.0,0.0,19.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0
ظلموا,42,168,20.0,22.0,58.0,10.0,4.0,12.0,6.0,28.0,8.0,0.0,0.0,0.0,0.0
جاءهم,41,168,5.0,14.0,45.0,40.0,5.0,12.0,1.0,28.0,15.0,0.0,3.0,0.0,0.0
يقول,39,146,10.0,16.0,39.0,14.0,3.0,16.0,12.0,20.0,14.0,1.0,0.0,1.0,0.0
يحب,39,63,40.0,2.0,12.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
يريد,37,143,26.0,36.0,45.0,15.0,1.0,7.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0
وجعلنا,37,146,53.0,11.0,64.0,0.0,1.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0
وكانوا,35,78,3.0,16.0,26.0,0.0,3.0,21.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0
يكون,35,130,3.0,13.0,44.0,7.0,9.0,34.0,1.0,10.0,8.0,1.0,0.0,0.0,0.0
قيل,34,176,16.0,8.0,61.0,14.0,2.0,7.0,32.0,31.0,5.0,0.0,0.0,0.0,0.0
يكن,32,128,10.0,15.0,39.0,2.0,3.0,39.0,3.0,9.0,5.0,2.0,0.0,1.0,0.0
أوتوا,32,157,38.0,16.0,58.0,5.0,4.0,10.0,3.0,16.0,5.0,1.0,0.0,1.0,0.0
تر,31,136,20.0,13.0,68.0,4.0,5.0,2.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0
آمنا,31,136,6.0,8.0,62.0,3.0,7.0,6.0,11.0,27.0,6.0,0.0,0.0,0.0,0.0
قالت,29,117,9.0,10.0,26.0,15.0,7.0,11.0,6.0,22.0,11.0,0.0,0.0,0.0,0.0
اتقوا,29,124,28.0,13.0,29.0,5.0,2.0,12.0,7.0,17.0,10.0,1.0,0.0,0.0,0.0
جعلنا,29,130,39.0,13.0,54.0,3.0,3.0,3.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0
وجعل,29,124,42.0,11.0,48.0,0.0,1.0,3.0,1.0,12.0,6.0,0.0,0.0,0.0,0.0
يظلمون,28,8,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
كانت,28,99,2.0,8.0,32.0,6.0,2.0,30.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0
يروا,27,104,23.0,19.0,38.0,4.0,4.0,3.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0
يؤمن,27,125,10.0,15.0,62.0,4.0,2.0,11.0,1.0,8.0,12.0,0.0,0.0,0.0,0.0
آمن,27,124,8.0,12.0,50.0,7.0,6.0,11.0,2.0,21.0,7.0,0.0,0.0,0.0,0.0
ويقولون,27,123,2.0,13.0,32.0,3.0,4.0,25.0,6.0,17.0,19.0,2.0,0.0,0.0,0.0
يدعون,27,115,14.0,16.0,68.0,0.0,7.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
فقال,27,102,8.0,6.0,36.0,8.0,2.0,11.0,10.0,13.0,7.0,1.0,0.0,0.0,0.0
أنزلنا,25,119,27.0,15.0,47.0,1.0,4.0,4.0,2.0,11.0,8.0,0.0,0.0,0.0,0.0
جاءكم,25,121,5.0,9.0,56.0,22.0,1.0,7.0,3.0,11.0,7.0,0.0,0.0,0.0,0.0
ينظرون,25,54,6.0,15.0,17.0,6.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
تكون,25,89,5.0,16.0,31.0,5.0,0.0,23.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0
كذب,24,94,10.0,4.0,36.0,18.0,1.0,4.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0
تولوا,23,88,5.0,9.0,22.0,5.0,3.0,15.0,8.0,10.0,10.0,0.0,1.0,0.0,0.0
يرجعون,22,6,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
نزل,22,97,11.0,7.0,49.0,9.0,4.0,4.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0
يعقلون,22,8,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
يأتي,22,102,4.0,12.0,46.0,20.0,1.0,6.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0
وكفى,21,53,2.0,0.0,4.0,22.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0
خلقنا,21,78,22.0,6.0,30.0,2.0,8.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0
يشعرون,21,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
كتب,21,104,6.0,12.0,48.0,17.0,2.0,2.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0
تكونوا,21,79,4.0,11.0,23.0,3.0,3.0,17.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0
اتخذوا,21,103,31.0,5.0,44.0,4.0,1.0,4.0,3.0,6.0,4.0,0.0,1.0,0.0,0.0
تكن,21,75,2.0,9.0,29.0,3.0,2.0,17.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
وقل,21,91,7.0,12.0,26.0,5.0,2.0,8.0,9.0,9.0,8.0,5.0,0.0,0.0,0.0
عسى,21,70,8.0,26.0,16.0,5.0,3.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
أخاف,20,73,21.0,9.0,35.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
ينفقون,20,61,10.0,5.0,32.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
تعبدون,20,46,6.0,5.0,28.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
تدعون,20,82,7.0,11.0,42.0,2.0,0.0,3.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0
عملوا,20,87,11.0,15.0,35.0,4.0,1.0,4.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0
يسمعون,20,50,7.0,6.0,18.0,3.0,1.0,5.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0
كفر,20,68,8.0,9.0,12.0,7.0,1.0,14.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0
تتقون,19,5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ترى,19,86,15.0,9.0,27.0,3.0,6.0,5.0,2.0,15.0,4.0,0.0,0.0,0.0,0.0
آتينا,19,88,43.0,3.0,18.0,2.0,1.0,2.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0
ترجعون,19,5,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
يشركون,19,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
نجزي,19,25,19.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
