Word,Without_Diacritics,Count,Root,Wazn,Status,Source_Of_Claim
آمَنُوا,آمنوا,506,امن,أَفَعَل,open_class,wazn_alignment:أَفَعَل
قَالُوا,قالوا,500,قول,فَالُوا,open_class,wazn_alignment:فَالُوا
كَانُوا,كانوا,458,كون,فَالُوا,open_class,wazn_alignment:فَالُوا
قَالَ,قال,416,قول,فَالَ,open_class,wazn_alignment:فَالَ
كَفَرُوا,كفروا,378,كفر,فَعَلُوا,open_class,wazn_alignment:فَعَلُوا
كُنْتُمْ,كنتم,376,كن,فُل,open_class,wazn_alignment:فُل
الْقِيَامَةِ,القيامة,280,قيم,فِعَالَة,open_class,wazn_alignment:فِعَالَة
يُؤْمِنُونَ,يؤمنون,268,ؤمن,يُفْعِل,open_class,wazn_alignment:يُفْعِل
يَوْمَ,يوم,266,يوم,فَعْل,open_class,wazn_alignment:فَعْل
تَعْمَلُونَ,تعملون,265,عمل,تَفْعَلُونَ,open_class,wazn_alignment:تَفْعَلُونَ
يَعْلَمُونَ,يعلمون,264,علم,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
الْمُؤْمِنِينَ,المؤمنين,234,ؤمن,مُفْعِلِين,open_class,wazn_alignment:مُفْعِلِين
الدُّنْيَا,الدنيا,230,دني,فُعْل,open_class,wazn_alignment:فُعْل
الْآخِرَةِ,الآخرة,220,ءخر,فَاعِلَة,open_class,wazn_alignment:فَاعِلَة
يَشَاءُ,يشاء,216,شوء,يَفَالُ,open_class,wazn_alignment:يَفَالُ
الظَّالِمِينَ,الظالمين,192,ظلم,فَاعِل,open_class,wazn_alignment:فَاعِل
تَعْلَمُونَ,تعلمون,183,علم,تَفْعَلُونَ,open_class,wazn_alignment:تَفْعَلُونَ
الْعَالَمِينَ,العالمين,180,علم,فَأَعل,open_class,wazn_alignment:فَأَعل
شَيْءٍ,شيء,179,شيء,فَعْل,open_class,wazn_alignment:فَعْل
الصَّالِحَاتِ,الصالحات,177,صلح,فَاعِلَات,open_class,wazn_alignment:فَاعِلَات
يَعْمَلُونَ,يعملون,176,عمل,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
يَقُولُونَ,يقولون,157,قلو,يَفُولُونَ,open_class,wazn_alignment:يَفُولُونَ
الْكَافِرِينَ,الكافرين,156,كفر,فَاعِل,open_class,wazn_alignment:فَاعِل
خَيْرٌ,خير,156,خير,فَعْل,open_class,wazn_alignment:فَعْل
شَيْئَاً,شيئا,154,شيئ,فَعْل,open_class,wazn_alignment:فَعْل
الْحَيَاةِ,الحياة,148,حيا,فَعَلَة,open_class,wazn_alignment:فَعَلَة
الصَّلَاةَ,الصلاة,141,صلا,فَعَلَة,open_class,wazn_alignment:فَعَلَة
أُولَئِكَ,أولئك,133,أولئ,فُفَعل,open_class,wazn_alignment:فُفَعل
كُنَّا,كنا,126,كنا,فُعَّل,open_class,wazn_alignment:فُعَّل
يَعْلَمُ,يعلم,124,علم,يَفْعَل,open_class,wazn_alignment:يَفْعَل
كُلِّ,كل,123,كلل,فُعِّ,open_class,wazn_alignment:فُعِّ
خَلَقَ,خلق,116,خلق,فَعَل,open_class,wazn_alignment:فَعَل
دُونِهِ,دونه,114,دنه,فُوعِل,open_class,wazn_alignment:فُوعِل
شَاءَ,شاء,112,شوء,فَالَ,open_class,wazn_alignment:فَالَ
قَلِيلَاً,قليلا,110,قلل,فَعِيل,open_class,wazn_alignment:فَعِيل
بَيْنَهُمْ,بينهم,108,بين,فَعْل,open_class,wazn_alignment:فَعْل
مُوسَى,موسى,105,موسى,فُفَعل,open_class,wazn_alignment:فُفَعل
عَلِيمٌ,عليم,100,علم,فَعِيل,open_class,wazn_alignment:فَعِيل
جَمِيعَاً,جميعا,98,جمع,فَعِيل,open_class,wazn_alignment:فَعِيل
عِنْدَ,عند,98,عند,فِعْل,open_class,wazn_alignment:فِعْل
أَرْسَلْنَا,أرسلنا,96,رسل,أَفْعَلْ,open_class,wazn_alignment:أَفْعَلْ
الْحَقُّ,الحق,96,حقق,فَعُّ,open_class,wazn_alignment:فَعُّ
تَجْرِي,تجري,96,جري,تَفْعِل,open_class,wazn_alignment:تَفْعِل
الْأَوَّلِينَ,الأولين,93,ولي,أَفَّعِل,open_class,wazn_alignment:أَفَّعِل
تُكَذِّبَانِ,تكذبان,93,كذب,تُفَعِّل,open_class,wazn_alignment:تُفَعِّل
الْعَزِيزُ,العزيز,92,عزز,فَعِيل,open_class,wazn_alignment:فَعِيل
كَثِيرَاً,كثيرا,92,كثر,فَعِيل,open_class,wazn_alignment:فَعِيل
الْمُحْسِنِينَ,المحسنين,90,حسن,مُفْعِلِين,open_class,wazn_alignment:مُفْعِلِين
جَعَلَ,جعل,88,جعل,فَعَل,open_class,wazn_alignment:فَعَل
بَيْنَهُمَا,بينهما,87,بين,فَعْل,open_class,wazn_alignment:فَعْل
خَالِدِينَ,خالدين,86,خلد,فَاعِل,open_class,wazn_alignment:فَاعِل
الْآيَاتِ,الآيات,84,ءوي,فَالَا,open_class,wazn_alignment:فَالَا
يَهْدِي,يهدي,84,هدي,يَفْعِي,open_class,wazn_alignment:يَفْعِي
دُونِ,دون,83,دون,فُعِل,open_class,wazn_alignment:فُعِل
أَصْحَابُ,أصحاب,82,صحب,أَفْعَال,open_class,wazn_alignment:أَفْعَال
آيَاتِهِ,آياته,81,ءوي,فَالَا,open_class,wazn_alignment:فَالَا
ظَلَمُوا,ظلموا,78,ظلم,فَعَلُوا,open_class,wazn_alignment:فَعَلُوا
عَاقِبَةُ,عاقبة,78,عقب,فَاعِلَة,open_class,wazn_alignment:فَاعِلَة
غَيْرَ,غير,78,غير,فَعْل,open_class,wazn_alignment:فَعْل
يُحِبُّ,يحب,78,حبب,يُفِعُّ,open_class,wazn_alignment:يُفِعُّ
الْيَوْمَ,اليوم,77,يوم,فَعْل,open_class,wazn_alignment:فَعْل
عَذَابٌ,عذاب,77,عذاب,فَفَعَل,open_class,wazn_alignment:فَفَعَل
أَلِيمٌ,أليم,76,ليم,أَفعِل,open_class,wazn_alignment:أَفعِل
تَشْكُرُونَ,تشكرون,76,شكر,تَفْعُلُونَ,open_class,wazn_alignment:تَفْعُلُونَ
تَعْقِلُونَ,تعقلون,76,عقل,تَفْعِلُونَ,open_class,wazn_alignment:تَفْعِلُونَ
عَذَابَاً,عذابا,76,عذاب,فَفَعَل,open_class,wazn_alignment:فَفَعَل
يُرِيدُ,يريد,76,ريد,يُفعِل,open_class,wazn_alignment:يُفعِل
الْحَقِّ,الحق,74,حقق,فَعِّ,open_class,wazn_alignment:فَعِّ
بَعْضٍ,بعض,74,بعض,فَعْل,open_class,wazn_alignment:فَعْل
خَيْرَاً,خيرا,74,خير,فَعْل,open_class,wazn_alignment:فَعْل
كَذَّبُوا,كذبوا,74,ذبا,فَّعُول,open_class,wazn_alignment:فَّعُول
أَنْفُسَهُمْ,أنفسهم,72,نفس,أَفْعُل,open_class,wazn_alignment:أَفْعُل
الزَّكَاةَ,الزكاة,72,زكا,فَعَلَة,open_class,wazn_alignment:فَعَلَة
الظَّالِمُونَ,الظالمون,72,ظلم,فَاعِلُون,open_class,wazn_alignment:فَاعِلُون
الْمُرْسَلِينَ,المرسلين,72,رسل,مُفْعَل,open_class,wazn_alignment:مُفْعَل
الْمُشْرِكِينَ,المشركين,72,شرك,مُفْعِلِين,open_class,wazn_alignment:مُفْعِلِين
سَبِيلِ,سبيل,72,سبل,فَعِيل,open_class,wazn_alignment:فَعِيل
صَالِحَاً,صالحا,72,صلح,فَاعِل,open_class,wazn_alignment:فَاعِل
قَبْلِهِمْ,قبلهم,72,قبل,فَعْل,open_class,wazn_alignment:فَعْل
يَرَوْا,يروا,72,يرا,فَعَوْل,open_class,wazn_alignment:فَعَوْل
يَدْعُونَ,يدعون,71,دعو,يَفْعُونَ,open_class,wazn_alignment:يَفْعُونَ
يَعْقِلُونَ,يعقلون,71,عقل,يَفْعِلُونَ,open_class,wazn_alignment:يَفْعِلُونَ
الْعَذَابِ,العذاب,70,عذاب,فَفَعَل,open_class,wazn_alignment:فَفَعَل
بَيْنَ,بين,70,بين,فَعْل,open_class,wazn_alignment:فَعْل
تَحْتِهَا,تحتها,70,حته,تَفْعِل,open_class,wazn_alignment:تَفْعِل
حَكِيمٌ,حكيم,70,حكم,فَعِيل,open_class,wazn_alignment:فَعِيل
كُنْتَ,كنت,70,كنت,فُعْل,open_class,wazn_alignment:فُعْل
يَقُولُ,يقول,70,يقل,فَعُول,open_class,wazn_alignment:فَعُول
آيَةً,آية,69,اية,أَفَعَل,open_class,wazn_alignment:أَفَعَل
الْآخِرِ,الآخر,69,ءخر,فَاعِل,open_class,wazn_alignment:فَاعِل
الْمَصِيرُ,المصير,69,مصر,فَعِيل,open_class,wazn_alignment:فَعِيل
الْمُتَّقِينَ,المتقين,69,متق,فُعَّل,open_class,wazn_alignment:فُعَّل
تَذَكَّرُونَ,تذكرون,68,ذكر,تَفَعَّل,open_class,wazn_alignment:تَفَعَّل
مَعَهُ,معه,68,معه,فَعَل,open_class,wazn_alignment:فَعَل
يَشْعُرُونَ,يشعرون,67,شعر,يَفْعُلُونَ,open_class,wazn_alignment:يَفْعُلُونَ
آيَاتِنَا,آياتنا,66,ءوي,فَالَا,open_class,wazn_alignment:فَالَا
الْحَكِيمُ,الحكيم,66,حكم,فَعِيل,open_class,wazn_alignment:فَعِيل
الْمُؤْمِنُونَ,المؤمنون,66,ؤمن,مُفْعِلُون,open_class,wazn_alignment:مُفْعِلُون
تَعْبُدُونَ,تعبدون,66,عبد,تَفْعُلُونَ,open_class,wazn_alignment:تَفْعُلُونَ
مُؤْمِنِينَ,مؤمنين,66,ؤمن,مُفْعِلِين,open_class,wazn_alignment:مُفْعِلِين
أُوتُوا,أوتوا,64,أوت,فُعِل,open_class,wazn_alignment:فُعِل
تَدْعُونَ,تدعون,64,دعو,تَفْعُل,open_class,wazn_alignment:تَفْعُل
أَعْلَمُ,أعلم,63,علم,أَفْعَل,open_class,wazn_alignment:أَفْعَل
تَكُونُوا,تكونوا,63,كنو,تَفُولُوا,open_class,wazn_alignment:تَفُولُوا
آمَنَّا,آمنا,62,ءوم,فَالَ,open_class,wazn_alignment:فَالَ
تَتَّقُونَ,تتقون,62,تتق,فَعَّل,open_class,wazn_alignment:فَعَّل
صَادِقِينَ,صادقين,62,صدق,فَاعِل,open_class,wazn_alignment:فَاعِل
يَنْظُرُونَ,ينظرون,62,نظر,يَفْعُلُونَ,open_class,wazn_alignment:يَفْعُلُونَ
يَوْمِ,يوم,62,يوم,فَعْل,open_class,wazn_alignment:فَعْل
يُنْفِقُونَ,ينفقون,62,نفق,يُفْعِل,open_class,wazn_alignment:يُفْعِل
اللَّيْلِ,الليل,60,ليل,فَعْل,open_class,wazn_alignment:فَعْل
الْحَيَاةُ,الحياة,60,حيا,فَعَلَة,open_class,wazn_alignment:فَعَلَة
جَاءَهُمْ,جاءهم,60,جوء,فَالَ,open_class,wazn_alignment:فَالَ
رَحِيمٌ,رحيم,59,رحم,فَعِيل,open_class,wazn_alignment:فَعِيل
يَسْمَعُونَ,يسمعون,59,سمع,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
جَعَلْنَا,جعلنا,58,جعل,فَعَلْنَا,open_class,wazn_alignment:فَعَلْنَا
سَبِيلَاً,سبيلا,58,سبل,فَعِيل,open_class,wazn_alignment:فَعِيل
الصَّالِحِينَ,الصالحين,57,صلح,فَاعِل,open_class,wazn_alignment:فَاعِل
الْمُجْرِمِينَ,المجرمين,57,جرم,مُفْعِلِين,open_class,wazn_alignment:مُفْعِلِين
