Root,Example_Word,Example_Wazn,Example_Count,Unique_Words,Total_Occurrences
علم,يَعْلَمُونَ,يَفْعَلُونَ,264,76,1449
قول,قَالُوا,فَالُوا,500,28,1152
كفر,كَفَرُوا,فَعَلُوا,378,53,928
ؤمن,يُؤْمِنُونَ,يُفْعِل,268,27,879
عمل,تَعْمَلُونَ,تَفْعَلُونَ,265,43,709
ظلم,الظَّالِمِينَ,فَاعِل,192,46,659
يوم,يَوْمَ,فَعْل,266,14,569
امن,آمَنُوا,أَفَعَل,506,4,540
بين,بَيْنَهُمْ,فَعْل,108,31,534
كون,كَانُوا,فَالُوا,458,4,528
خلق,خَلَقَ,فَعَل,116,53,500
رحم,رَحِيمٌ,فَعِيل,59,37,492
ءوي,الْآيَاتِ,فَالَا,84,15,436
عذاب,عَذَابٌ,فَفَعَل,77,13,420
كذب,تُكَذِّبَانِ,تُفَعِّل,93,42,409
ءخر,الْآخِرَةِ,فَاعِلَة,220,7,388
كن,كُنْتُمْ,فُل,376,1,376
جعل,جَعَلَ,فَعَل,88,39,369
صلح,الصَّالِحَاتِ,فَاعِلَات,177,20,369
نفس,أَنْفُسَهُمْ,أَفْعُل,72,25,368
شوء,يَشَاءُ,يَفَالُ,216,4,354
ذكر,تَذَكَّرُونَ,تَفَعَّل,68,43,349
خير,خَيْرٌ,فَعْل,156,11,344
حكم,حَكِيمٌ,فَعِيل,70,31,328
أمر,أَمْرَاً,فَعْل,34,37,327
قتل,يُقَاتِلُونَكُمْ,يُفَاعِل,24,65,326
قيم,الْقِيَامَةِ,فِعَالَة,280,12,312
سمع,يَسْمَعُونَ,يَفْعَلُونَ,59,43,308
قبل,قَبْلِهِمْ,فَعْل,72,29,306
حسن,الْمُحْسِنِينَ,مُفْعِلِين,90,28,304
حقق,الْحَقُّ,فَعُّ,96,10,297
دعو,يَدْعُونَ,يَفْعُونَ,71,28,297
رسل,أَرْسَلْنَا,أَفْعَلْ,96,29,290
شرك,الْمُشْرِكِينَ,مُفْعِلِين,72,35,285
أتي,يَأْتِيَ,يَفْعِي,28,33,283
حيا,الْحَيَاةِ,فَعَلَة,148,9,281
