sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind,case_source,role_source,word_class_source,notes
1,مَرَرْتُ بِزَيْدٍ,0,مَرَرْتُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,مرر,فَعل,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,open_class+nominal_wazn:فَعل,
1,مَرَرْتُ بِزَيْدٍ,1,بِزَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,مضاف إليه مجرور,زيد,فَعْلٍ,,ending: ending:تنوين كسر → مجرور,mudaf_ilayh,open_class+nominal_wazn:فَعْلٍ,
2,سِرْتُ مِنَ الْبَيْتِ,0,سِرْتُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,سرت,فِعْل,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,open_class+nominal_wazn:فِعْل,
2,سِرْتُ مِنَ الْبَيْتِ,1,مِنَ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR,layer1:HARF_is_mabni,harf_kind:HARF_JARR,closed_class:HARF_JARR,مَبْنِي عَلَى الْفَتْحِ
2,سِرْتُ مِنَ الْبَيْتِ,2,الْبَيْتِ,JAMID,مَجْرُور,كسرة,اسم مجرور,,,,ism+prev_HARF_JARR(مِنَ),after_HARF_JARR(مِنَ),jamid_detector,
3,سِرْتُ إِلَى الْبَيْتِ,0,سِرْتُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,سرت,فِعْل,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,open_class+nominal_wazn:فِعْل,
3,سِرْتُ إِلَى الْبَيْتِ,1,إِلَى,HARF,مَبْنِي,,حرف جر,,,HARF_JARR,layer1:HARF_is_mabni,harf_kind:HARF_JARR,closed_class:HARF_JARR,مَبْنِي عَلَى الْفَتْحِ
3,سِرْتُ إِلَى الْبَيْتِ,2,الْبَيْتِ,JAMID,مَجْرُور,كسرة,اسم مجرور,,,,ism+prev_HARF_JARR(إِلَى),after_HARF_JARR(إِلَى),jamid_detector,
4,الْمَاءُ فِي الْكُوزِ,0,الْمَاءُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,jamid_detector,
4,الْمَاءُ فِي الْكُوزِ,1,فِي,HARF,مَبْنِي,,حرف جر,,,HARF_JARR,layer1:HARF_is_mabni,harf_kind:HARF_JARR,closed_class:HARF_JARR,مَبْنِي عَلَى الْكَسْرِ
