priority,name,trigger_marker,trigger_source,relation_kind,creates_relation,note
1,sequence_unordered,و,clause_connective_waw,coordinate,sequence,تَعاقُب بِلا تَرتيب — العَطف بِالواو
2,sequence_then_cause,ف,clause_connective_fa,causal,sequence_with_cause,تَعاقُب مَع تَعقيب وسَبَب — العَطف بِالفاء
3,sequence_delayed,ثم,clause_connective_thumma,coordinate,sequence_delayed,تَعاقُب مَع تَراخٍ — ثُمَّ
4,disjunction,أو,clause_connective_aw,disjunction,disjunction,تَخيير
5,disjunction_isam,أم,clause_connective_am,disjunction,disjunction,تَسوية أَو إِضراب
6,contrast,لكن,clause_connective_lakin,contrast,contrast,استدراك — لَكِنّ
7,replacement,بل,clause_connective_bal,contrast,replacement,إِضراب — بَل
8,explanation,:,clause_punct_colon,explanation,explanation,تَفسير — النُّقطَتان
9,condition_iza,إذا,clause_conditional_iza,condition,condition,شَرط زَمانيّ — إذا
10,condition_in,إن,clause_conditional_in,condition,condition,شَرط جازم — إن
11,condition_law,لو,clause_conditional_law,condition,counterfactual,شَرط امتناع — لَو
12,condition_man,من,clause_conditional_man,condition,condition,اسم شَرط لِلعاقِل — مَن
13,condition_ma,ما,clause_conditional_ma,condition,condition,اسم شَرط لِغَير العاقِل — ما
14,negation_la,لا,clause_negation_la,negation,negation,نَفي بِـ لا
15,negation_ma,ما,clause_negation_ma,negation,negation,نَفي بِـ ما
16,negation_lam,لم,clause_negation_lam,negation,negation,نَفي بِـ لَم
17,negation_lan,لن,clause_negation_lan,negation,negation,نَفي بِـ لَن
18,quotation,قال,clause_quotative_qal,quotation,quotation,مَقول قَول
