priority,name,clitic,position,gender,number,person,note
1,ha_third_masc_sing,ه,suffix,M,SG,3,ضَمير الغائِب المُذَكَّر المُفرَد
2,ha_third_fem_sing,ها,suffix,F,SG,3,ضَمير الغائِبَة المُؤَنَّثَة المُفرَدَة
3,hum_third_masc_pl,هم,suffix,M,PL,3,ضَمير الغائِبين
4,hun_third_fem_pl,هن,suffix,F,PL,3,ضَمير الغائِبات
5,huma_third_dual,هما,suffix,X,DU,3,ضَمير الغائِبَين
6,ka_second_masc_sing,ك,suffix,M,SG,2,ضَمير المُخاطَب المُذَكَّر المُفرَد
7,ki_second_fem_sing,كِ,suffix,F,SG,2,ضَمير المُخاطَبَة المُؤَنَّثَة المُفرَدَة
8,kum_second_masc_pl,كم,suffix,M,PL,2,ضَمير المُخاطَبين
9,kun_second_fem_pl,كن,suffix,F,PL,2,ضَمير المُخاطَبات
10,kuma_second_dual,كما,suffix,X,DU,2,ضَمير المُخاطَبَين
11,i_first_sing,ي,suffix,X,SG,1,ياء المُتَكَلِّم
12,na_first_pl,نا,suffix,X,PL,1,ضَمير الجَماعَة المُتَكَلِّمَة
13,ni_first_sing_obj,ني,suffix,X,SG,1,نون الوِقاية + ياء المُتَكَلِّم (مَفعول بِه)
