priority,name,act_type,marker_kind,marker,confidence,note
1,interrogative_particle_hal,question,prefix_word,هل,Certificate,أداة استفهام صريحة
2,interrogative_particle_a,question,prefix_letter,أ,Hypothesis,همزة الاستفهام — تحتاج سياق
3,interrogative_man,question,prefix_word,من,Hypothesis,اسم استفهام للعاقل
4,interrogative_ma,question,prefix_word,ما,Hypothesis,اسم استفهام لغير العاقل (قد تكون نافية)
5,interrogative_kayfa,question,prefix_word,كيف,Certificate,اسم استفهام للحال
6,interrogative_mata,question,prefix_word,متى,Certificate,اسم استفهام للزمن
7,interrogative_ayna,question,prefix_word,أين,Certificate,اسم استفهام للمكان
8,interrogative_limatha,question,prefix_word,لماذا,Certificate,اسم استفهام للسبب
9,interrogative_kam,question,prefix_word,كم,Certificate,اسم استفهام للعدد
10,interrogative_ayya,question,prefix_word,أي,Hypothesis,اسم استفهام
11,interrogative_question_mark,question,suffix_punct,؟,Certificate,علامة استفهام عربية
12,interrogative_q_mark_latin,question,suffix_punct,?,Certificate,علامة استفهام لاتينية
13,vocative_ya,vocative,prefix_word,يا,Certificate,حرف نداء
14,vocative_ayyuha,vocative,prefix_word,أيها,Certificate,أداة نداء
15,vocative_ayyatuha,vocative,prefix_word,أيتها,Certificate,أداة نداء للمؤنث
16,vocative_a,vocative,prefix_letter,أ,Hypothesis,همزة النداء — تحتاج سياق
17,command_imperative_verb,command,morphology,IMP,Certificate,فعل أمر (يَحتاج تَحليل صرفي)
18,command_lam_amr,command,prefix_word,ل,Hypothesis,لام الأمر — يَتلوها مضارع مجزوم
19,command_la_nahy,command,prefix_word,لا,Hypothesis,لا الناهية — يَتلوها مضارع مجزوم
20,default_assertion,assertion,fallback,,Hypothesis,خبر — لا يوجد مؤشّر آخر
