rule_id,phase,pattern,kind,aspect,note
NV_001,early_reject,starts:مَ,nominal,,اسم مفعول/مكان/زمان (مَفْعَل، مَفْعُول…)
NV_002,early_reject,starts:مُ,nominal,,اسم فاعل من غير الثلاثي (مُفْعِل، مُفْتَعِل…)
NV_003,early_reject,starts:مِ,nominal,,اسم آلة (مِفْعَل)
NV_004,early_reject,ends:ة,nominal,,تاء التأنيث — اسم مؤنّث
NV_005,early_reject,plain_equals:فعيل,nominal,,صفة مُشَبَّهة
NV_006,early_reject,plain_equals:فعول,nominal,,صيغة مبالغة
NV_007,early_reject,plain_equals:فعيلة,nominal,,صيغة مُؤنَّثة
NV_008,early_reject,plain_equals:فعلان,nominal,,اسم على وزن فَعْلَان
NV_009,early_reject,plain_equals:فعائل,nominal,,جمع تكسير
NV_010,early_reject,faail_with_kasra,nominal,,فَاعِل بكسرة على ع = اسم فاعل
NV_011,early_reject,starts:مُفْ,nominal,,مُفْعِل من رباعي
NV_012,early_reject,plain_equals:فعال,nominal,,فِعَال — مصدر/اسم مادّي
NV_013,early_reject,plain_equals:فعل,nominal,,قد يكون مصدر (يُستثنى لو 3 vowel endings)
PV_010,form_3,faail_with_fatha,verbal,PV,فَاعَل بفتحة على ع = form III ماضٍ
IV_001,prefix,starts_in:يَ تَ نَ أَ يُ تُ نُ أُ,verbal,IV,بادئات المضارع
PV_001,suffix_past,ends:وا,verbal,PV,واو الجماعة
PV_002,suffix_past,ends:تما,verbal,PV,ضمير المتكلّم/المخاطب المثنّى
PV_003,suffix_past,ends:تم,verbal,PV,ضمير المخاطب الجمع
PV_004,suffix_past,ends:تن,verbal,PV,ضمير المخاطب الجمع المؤنّث
PV_005,suffix_past,ends:نا,verbal,PV,ضمير المتكلّم
PV_006,hamzat_wasl,starts:است,verbal,PV,استفعل (فعل سداسي)
PV_007,hamzat_wasl,starts:ان + 4chars,verbal,PV,انفعل (فعل خماسي)
PV_008,hamzat_wasl,starts:اف + 4chars,verbal,PV,افتعل (فعل خماسي)
PV_009,three_letter,3chars_with_vowel_endings,verbal,PV,ماضٍ ثلاثي على وزن فَعَل/فَعِل/فَعُل
