plain_form,count
له,2698
قيام,70
عزيز,64
إبراهيم,62
رحمن,57
حكيم,40
رحيم,34
عليم,32
ثمود,25
حرام,23
علي,23
عاد,22
لوط,21
سميع,19
شعيب,11
عدن,11
غفور,11
قرآن,11
مدين,10
حميد,10
غني,8
نصر,7
عظيم,7
تواب,6
فرقان,6
سبت,6
الله,6
قهار,6
مغرب,5
يحيى,5
قمر,5
صالح,5
قدس,4
حي,4
محمد,4
مصر,4
بصير,4
بحرين,4
الملك,4
سقر,4
قيوم,3
وهاب,3
عمران,3
زبر,3
أيوب,3
زبور,3
سلام,3
مولى,3
طور,3
غفار,3
جمع,3
حاق,3
قدر,3
قارع,3
قاهر,2
لطيف,2
طوى,2
سامري,2
رس,2
فرعون,2
شمس,2
لقمان,2
زقوم,2
خطاب,2
آزف,2
تبع,2
كريم,2
جحيم,2
قدوس,2
سجين,2
حطم,2
صفا,1
مرو,1
شاكر,1
رمضان,1
عرفات,1
بك,1
بدر,1
حرم,1
حنين,1
حليم,1
بشير,1
متعال,1
أقصى,1
حسر,1
نون,1
عشاء,1
سبإ,1
سوأى,1
قدير,1
زيد,1
سبأ,1
فتاح,1
تلاق,1
تناد,1
ساع,1
مالك,1
مك,1
وعيد,1
رزاق,1
سدر,1
عزى,1
منا,1
شعرى,1
ظاهر,1
مؤمن,1
مهيمن,1
جبار,1
بارئ,1
أحمد,1
خرطوم,1
ود,1
سواع,1
يغوث,1
يعوق,1
نسر,1
طام,1
صاخ,1
تسنيم,1
غاشي,1
فجر,1
إرم,1
قريش,1
شتاء,1
صيف,1
كوثر,1
صمد,1
وسواس,1
