word,prefixes,stem,suffixes,frequency,stability,n_variants
مِنْ,,من,,1673,1.0,1
فِي,,في,,1185,0.955,2
مَا,,ما,,994,1.0,1
اللَّهِ,ال,له,,827,1.0,1
الَّذِينَ,,الذين,,810,1.0,1
لَا,,لا,,810,1.0,1
اللَّهُ,ال,له,,733,1.0,1
مِنَ,,من,,693,1.0,1
عَلَى,,على,,669,1.0,1
إِلَّا,,إلا,,662,0.992,2
وَلَا,و,لا,,656,1.0,1
وَمَا,و,ما,,646,1.0,1
إِنَّ,,أن,,609,0.731,2
اللَّهَ,ال,له,,592,1.0,1
أَنْ,,أن,,519,0.981,2
قَالَ,,قال,,416,1.0,1
إِلَى,,إلى,,405,1.0,1
مَنْ,,من,,373,1.0,1
إِنْ,,إن,,343,0.991,2
ثُمَّ,,ثم,,337,1.0,1
بِهِ,ب,ه,,327,1.0,1
لَهُمْ,ل,هم,,325,1.0,1
كَانَ,,كان,,323,1.0,1
بِمَا,ب,ما,,296,0.997,2
لَكُمْ,ل,كم,,294,1.0,1
ذَلِكَ,,ذلك,,280,1.0,1
لَهُ,ل,ه,,275,1.0,1
الَّذِي,,الذي,,268,1.0,1
هُوَ,,هو,,265,1.0,1
أَوْ,,أو,,264,1.0,1
قُلْ,,قل,,263,1.0,1
آمَنُوا,,آمن,وا,253,1.0,1
قَالُوا,,قال,وا,250,1.0,1
فِيهَا,في,ها,,241,1.0,1
وَاللَّهُ,و|ال,له,,239,1.0,1
وَمَنْ,و,من,,234,0.987,2
كَانُوا,,كان,وا,229,1.0,1
الْأَرْضِ,ال,أرض,(null),219,1.0,1
إِذَا,,إذا,,195,1.0,1
هَذَا,,هذا,,190,1.0,1
كَفَرُوا,,كفر,وا,189,1.0,1
كُنْتُمْ,,كن,تم,188,1.0,1
عَلَيْهِمْ,علي,هم,,183,1.0,1
هُمْ,,هم,,180,1.0,1
شَيْءٍ,,شيء,,179,1.0,1
السَّمَاوَاتِ,ال,سماو,ات,175,0.823,3
وَهُوَ,و,هو,,171,1.0,1
وَإِنْ,و,إن,,170,1.0,1
وَالَّذِينَ,و,الذين,,164,0.994,2
لَمْ,,لم,,163,1.0,1
إِنَّا,,إن,نا,156,1.0,1
فَلَا,ف,لا,,156,1.0,1
إِذْ,,إذ,,156,1.0,1
عَنْ,,عن,,153,1.0,1
إِنَّهُ,,إن,ه,147,1.0,1
عَلَيْكُمْ,على,كم,,146,1.0,1
عَلَيْهِ,علي,ه,,145,1.0,1
مِنْهُمْ,من,هم,,145,1.0,1
يَاأَيُّهَا,يا,أي+ها+None,,143,0.993,2
حَتَّى,,حتى,,142,1.0,1
بِاللَّهِ,ب|ال,له,,139,1.0,1
وَهُمْ,و,هم,,136,1.0,1
أُولَئِكَ,,أولئك,,133,1.0,1
يَوْمَ,,يوم,(null),133,1.0,1
إِنِّي,,إن,ي,131,1.0,1
وَإِذَا,و,إذا,,130,1.0,1
فِيهِ,في,ه,,127,1.0,1
وَلَقَدْ,و|ل,قد,,124,1.0,1
كُلِّ,,كل,,123,1.0,1
قَدْ,,قد,,120,1.0,1
لِلَّهِ,ل,له,,116,1.0,1
رَبِّكَ,,رب,ك,116,1.0,1
الدُّنْيَا,ال,دنيا,,115,1.0,1
إِنَّمَا,,إنما,,113,1.0,1
بَلْ,,بل,,113,1.0,1
مِمَّا,من,ما,,111,1.0,1
أَمْ,,أم,,110,1.0,1
وَلَوْ,و,لو,,108,1.0,1
وَالْأَرْضِ,و|ال,أرض,(null),108,1.0,1
يَشَاءُ,ي,شاء,,108,1.0,1
مُوسَى,,موسى,,105,1.0,1
مِنْكُمْ,من,كم,,105,1.0,1
فَلَمَّا,ف,لما,,101,1.0,1
عَلِيمٌ,,عليم,,100,1.0,1
رَبِّ,,رب,,99,1.0,1
أَنَّ,,أن,,99,0.98,2
عِنْدَ,,عند,,98,1.0,1
النَّاسِ,ال,ناس,,92,1.0,1
رَبِّي,,رب,ي,91,1.0,1
فَإِنْ,ف,إن,,89,1.0,1
مِنْهُ,من,ه,,88,1.0,1
يُؤْمِنُونَ,ي,ؤمن,ون,86,0.942,4
فَمَا,ف,ما,,86,1.0,1
مِنْهَا,من,ها,,86,1.0,1
فَإِذَا,ف,إذا,,86,1.0,1
وَقَالَ,و,قال,,85,1.0,1
وَكَانَ,و,كان,,84,1.0,1
دُونِ,,دون,,83,1.0,1
لَنَا,ل,نا,,83,1.0,1
كَذَلِكَ,ك,ذلك,,83,1.0,1
تَعْمَلُونَ,ت,عمل,ون,83,0.892,4
بَعْدِ,,بعد,,82,1.0,1
يَعْلَمُونَ,ي,علم,ون,81,0.852,3
السَّمَاءِ,ال,سماء,,81,1.0,1
وَإِنَّ,و,إن,,81,1.0,1
رَبِّهِمْ,,رب,هم,80,1.0,1
هُمُ,,هم,,80,1.0,1
لِلَّذِينَ,ل,الذين,,79,1.0,1
بِهَا,ب,ها,,79,1.0,1
أَلَمْ,أ,لم,,78,1.0,1
الْكِتَابَ,ال,كتاب,,78,1.0,1
خَيْرٌ,,خير,(null),78,1.0,1
الْمُؤْمِنِينَ,ال,مؤمن,ين,78,1.0,1
عَذَابٌ,,عذاب,,77,1.0,1
شَيْئَاً,,شيئ,ا,77,1.0,1
الْكِتَابِ,ال,كتاب,,77,1.0,1
إِلَيْهِ,إلي,ه,,76,1.0,1
لَوْ,,لو,,76,1.0,1
إِلَيْكَ,,إلي,ك,74,1.0,1
بِالْحَقِّ,ب|ال,حق,(null),74,1.0,1
أَنْتُمْ,,أنتم,,74,1.0,1
رَبَّنَا,,رب,(null)|نا,72,1.0,1
سَبِيلِ,,سبيل,,72,1.0,1
فَإِنَّ,ف,أن,,71,1.0,1
قَبْلُ,,قبل,,70,1.0,1
النَّارِ,ال,نار,,70,1.0,1
بَيْنَ,,بين,,70,1.0,1
الْقِيَامَةِ,ال,قيام,ة|(null),70,1.0,1
عَنِ,,عن,,70,1.0,1
وَإِذْ,و,إذ,,69,1.0,1
لَكَ,ل,ك,,69,1.0,1
فَمَنْ,ف,من,,67,1.0,1
عَنْهُمْ,عن,هم,,67,1.0,1
هَلْ,,هل,,66,1.0,1
نَحْنُ,,نحن,,65,1.0,1
الظَّالِمِينَ,ال,ظالم,ين,64,1.0,1
وَمِنْ,,و,من,64,0.938,2
يَوْمَئِذٍ,,يوم,ئذ,63,1.0,1
كُنَّا,,كن,نا,63,1.0,1
إِنَّهُمْ,,إن,هم,62,1.0,1
كَيْفَ,,كيف,,62,1.0,1
يَعْلَمُ,ي,علم,,62,1.0,1
وَقَالُوا,و,قال,وا,61,0.885,4
الْعَالَمِينَ,ال,عالم,ين,60,1.0,1
كَمَا,ك,ما,,59,1.0,1
لَعَلَّكُمْ,,لعل,كم,59,1.0,1
الصَّالِحَاتِ,ال,صالح,ات,59,1.0,1
لَنْ,,لن,,59,1.0,1
رَحِيمٌ,,رحيم,,59,1.0,1
لِي,ل,ي,,59,1.0,1
خَلَقَ,,خلق,(null),58,1.0,1
مَعَ,,مع,,58,1.0,1
وَلَكِنْ,و,لكن,,57,1.0,1
الَّتِي,,التي,,57,1.0,1
بِآيَاتِنَا,ب,آي,ات|نا,57,1.0,1
جَاءَ,,جاء,,57,1.0,1
شَاءَ,,شاء,(null),56,1.0,1
يَعْمَلُونَ,ي,عمل,ون,56,0.929,2
عَلَيْكَ,علي,ك,,56,1.0,1
تَعْلَمُونَ,ت,علم,ون,55,0.836,4
أَعْلَمُ,,أعلم,,55,0.855,2
أَنْتَ,,أنت,,55,1.0,1
قَلِيلَاً,,قليل,ا,55,1.0,1
رَبَّكَ,,رب,ك,55,1.0,1
الْآخِرَةِ,ال,آخر,ة|(null),55,1.0,1
لِمَنْ,ل,من,,55,1.0,1
أَلَا,,ألا,,54,1.0,1
بَيْنَهُمْ,,بين,هم,54,1.0,1
بَعْدَ,,بعد,,54,1.0,1
جَهَنَّمَ,,جهنم,,54,1.0,1
وَعَمِلُوا,و,عمل,وا,53,0.962,2
وَلَكِنَّ,و,لكن,,53,1.0,1
الْكَافِرِينَ,ال,كافر,ين,52,1.0,1
لَقَدْ,,ل+قد,,52,1.0,1
عَلَيْنَا,علي,نا,,51,1.0,1
يَقُولُونَ,ي,قول,ون,51,0.922,2
لِلنَّاسِ,ل|ال,ناس,,51,1.0,1
لِقَوْمٍ,ل,قوم,,51,1.0,1
غَفُورٌ,,غفور,,51,1.0,1
فَقَدْ,ف,قد,,50,1.0,1
جَمِيعَاً,,جميع,ا,49,1.0,1
إِنَّكَ,,إن,ك,49,1.0,1
أَنَا,,أنا,,49,1.0,1
تَجْرِي,ت,جري,,48,1.0,1
الْحَقُّ,ال,حق,,48,1.0,1
النَّاسَ,ال,ناس,,48,1.0,1
فِرْعَوْنَ,,فرعون,,48,1.0,1
لَهُمُ,ل,هم,,48,1.0,1
أَرْسَلْنَا,,أرسل,نا,48,1.0,1
الصَّلَاةَ,ال,صلا,ة,47,1.0,1
أُنْزِلَ,,أنزل,,47,0.809,2
كُلُّ,,كل,,47,1.0,1
هِيَ,,هي,,47,1.0,1
عَمَّا,عن,ما,,47,1.0,1
أَنْزَلَ,,أنزل,,47,0.936,2
إِبْرَاهِيمَ,,إبراهيم,,47,1.0,1
لَيْسَ,,ليس,,47,1.0,1
وَلَمْ,و,لم,,47,1.0,1
كُلَّ,,كل,,47,1.0,1
كَثِيرَاً,,كثير,ا,46,1.0,1
هَذِهِ,,هذه,,46,1.0,1
رَبِّكُمْ,,رب,كم,46,1.0,1
فَأُولَئِكَ,ف,أولئك,,46,1.0,1
الْعَزِيزُ,ال,عزيز,,46,1.0,1
عَلَيْهَا,علي,ها,,46,1.0,1
الْأَرْضَ,ال,أرض,(null),45,1.0,1
أَفَلَا,أ|ف,لا,,45,1.0,1
مُبِينٌ,,مبين,,45,1.0,1
أَلَّا,,أن+Lا,,45,0.978,2
جَعَلَ,,جعل,(null),44,1.0,1
رَبِّهِ,,رب,ه,44,1.0,1
وَيَوْمَ,و,يوم,,44,1.0,1
لَكُمُ,ل,كم,,43,1.0,1
رَبُّكَ,,رب,ك,43,1.0,1
وَقَدْ,و,قد,,43,1.0,1
خَالِدِينَ,,خالد,ين,43,1.0,1
وَأَنَّ,و,أن,,43,1.0,1
النَّاسُ,ال,ناس,,42,1.0,1
وَأَنْتُمْ,و,أنتم,,42,1.0,1
يَهْدِي,ي,هدي,,42,1.0,1
وَلَهُمْ,و|ل,هم,,41,0.902,3
هَؤُلَاءِ,,هؤلاء,,41,1.0,1
أَصْحَابُ,,أصحاب,(null),41,1.0,1
إِسْرَائِيلَ,,إسرائيل,,41,1.0,1
أَنَّهُمْ,,أن,هم,41,1.0,1
بِغَيْرِ,ب,غير,,41,1.0,1
لَهَا,ل,ها,,41,1.0,1
لَعَلَّهُمْ,,لعل,هم,41,1.0,1
وَالْأَرْضَ,و|ال,أرض,(null),41,1.0,1
فَهُمْ,ف,هم,,40,1.0,1
الْأَنْهَارُ,ال,أنهار,,40,1.0,1
قَوْمَاً,,قوم,ا,40,1.0,1
وَعَلَى,,و,على,39,1.0,1
ظَلَمُوا,,ظلم,وا,39,1.0,1
غَيْرَ,,غير,(null),39,1.0,1
يُحِبُّ,ي,حب,,39,1.0,1
مُبِينٍ,,مبين,,39,1.0,1
وَمِنَ,,و,من,38,0.921,2
أَلِيمٌ,,أليم,(null),38,1.0,1
وَاتَّقُوا,و,اتق,وا,38,0.789,4
لَوْلَا,,لولا,,38,1.0,1
وَكَذَلِكَ,و|ك,ذلك,,38,1.0,1
يُرِيدُ,ي,ريد,,38,1.0,1
الْيَوْمَ,ال,يوم,,38,0.974,2
عَذَابَاً,,عذاب,ا,38,1.0,1
دُونِهِ,,دون,(null)|ه,38,1.0,1
قُلُوبِهِمْ,,قلوب,(null)|هم,37,1.0,1
قَدِيرٌ,,قدير,,37,1.0,1
جَنَّاتٍ,,جن,ات|(null),37,1.0,1
الْحَقِّ,ال,حق,,37,1.0,1
بَعْضٍ,,بعض,(null),37,1.0,1
الْحَيَاةِ,ال,حيا,ة|(null),37,1.0,1
خَيْرَاً,,خير,ا,37,1.0,1
إِلَهَ,,إله,,37,1.0,1
عَذَابَ,,عذاب,,37,1.0,1
كَذَّبُوا,,كذب,وا,37,1.0,1
إِلَيْهِمْ,إلي,هم,,37,1.0,1
عَنْهُ,عن,ه,,37,1.0,1
وَجَعَلْنَا,و,جعل,نا,37,0.946,2
أَنْفُسَهُمْ,,أنفس,هم,36,1.0,1
بِهِمْ,ب,هم,,36,1.0,1
يَاقَوْمِ,يا,قوم+(null)+None+None,,36,1.0,1
صَالِحَاً,,صالح,ا,36,1.0,1
قَبْلِهِمْ,,قبل,هم,36,1.0,1
يَقُولُ,ي,قول,,35,1.0,1
تَحْتِهَا,,تحت,ها,35,1.0,1
لِمَا,,لما,,35,1.0,1
الْعَذَابِ,ال,عذاب,,35,1.0,1
وَكَانُوا,و,كان,وا,35,1.0,1
كُنْتَ,,كن,ت,35,1.0,1
حَكِيمٌ,,حكيم,(null),35,1.0,1
أَوَلَمْ,أ,و+لم,,35,1.0,1
فَبِأَيِّ,,ف+ب+أي,,35,1.0,1
قِيلَ,,قيل,,34,1.0,1
الشَّيْطَانُ,ال,شيطان,,34,1.0,1
ذَلِكُمْ,,ذلك+م,,34,1.0,1
بِآيَاتِ,ب,آي,ات,34,1.0,1
مَعَهُ,,مع,ه,34,1.0,1
بِكُلِّ,ب,كل,,33,1.0,1
الْحَكِيمُ,ال,حكيم,,33,1.0,1
وَفِي,,و,في,33,1.0,1
وَإِنَّا,و,إن,نا,33,0.818,4
مُؤْمِنِينَ,,مؤمن,ين,33,1.0,1
مِنَّا,من,نا,,33,1.0,1
كَلَّا,,كلا,,33,1.0,1
أُوتُوا,,أوت,وا,32,1.0,1
رَبُّكُمْ,,رب,كم,32,1.0,1
لَمَّا,,لما,,32,1.0,1
آلَاءِ,,آلاء,,32,1.0,1
يَوْمِ,,يوم,(null),31,1.0,1
عَظِيمٌ,,عظيم,,31,1.0,1
آمَنَّا,,آمن,نا,31,1.0,1
صَادِقِينَ,,صادق,ين,31,1.0,1
نَفْسٍ,,نفس,,31,1.0,1
إِنَّكُمْ,,إن,كم,31,1.0,1
عَلَيْهِمُ,علي,هم,,31,1.0,1
