mark_id,case_id,mark_name_ar,mark_text_ar
1,1,ضمة,وَعَلَامَةُ رَفْعِهِ الضَّمَّةُ الظَّاهِرَةُ
2,1,ألف,وَعَلَامَةُ رَفْعِهِ الْأَلِفُ
3,1,واو,وَعَلَامَةُ رَفْعِهِ الْوَاوُ
4,2,فتحة,وَعَلَامَةُ نَصْبِهِ الْفَتْحَةُ الظَّاهِرَةُ
5,2,ياء,وَعَلَامَةُ نَصْبِهِ الْيَاءُ
6,3,كسرة,وَعَلَامَةُ جَرِّهِ الْكَسْرَةُ الظَّاهِرَةُ
7,3,ياء,وَعَلَامَةُ جَرِّهِ الْيَاءُ
8,4,سكون,وَعَلَامَةُ جَزْمِهِ السُّكُونُ الظَّاهِرُ
9,4,حذف النون,وَعَلَامَةُ جَزْمِهِ حَذْفُ النُّونِ لِأَنَّهُ مِنَ الْأَفْعَالِ الْخَمْسَةِ
10,2,كسرة,وَعَلَامَةُ نَصْبِهِ الْكَسْرَةُ الظَّاهِرَةُ لِأَنَّهُ جَمْعُ مُؤَنَّثٍ سَالِمٌ
11,2,فتحة (ممنوع),وَعَلَامَةُ نَصْبِهِ الْفَتْحَةُ الظَّاهِرَةُ لِأَنَّهُ مَمْنُوعٌ مِنَ الصَّرْفِ
12,3,فتحة (ممنوع),وَعَلَامَةُ جَرِّهِ الْفَتْحَةُ الظَّاهِرَةُ لِأَنَّهُ مَمْنُوعٌ مِنَ الصَّرْفِ
13,1,نون,وَعَلَامَةُ رَفْعِهِ ثُبُوتُ النُّونِ لِأَنَّهُ مِنَ الْأَفْعَالِ الْخَمْسَةِ
14,2,حذف نون,وَعَلَامَةُ نَصْبِهِ حَذْفُ النُّونِ لِأَنَّهُ مِنَ الْأَفْعَالِ الْخَمْسَةِ
