operator,operator_key,operator_i3rab,occurrences_in_quran
مَا انْفَكَّ,مَا انْفَكَّ,,0
مَا بَرِحَ,مَا بَرِحَ,,0
مَا فَتِئَ,مَا فَتِئَ,,0
أَيْنَمَا,أَيْنَمَا,اسْمُ شَرْطٍ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ نَصْبٍ ظَرْفُ مَكَانٍ.,2
حَيَّهَلَ,حَيَّهَلَ,,0
حَيْثُمَا,حَيْثُمَا,,0
سُرْعَانَ,سُرْعَانَ,,0
لام الأمر,لام الأمر,""" اللَّامُ "" حَرْفُ جَزْمٍ وَأَمْرٍ مَبْنِيٌّ عَلَى السُّكُونِ",manual
مَا دَامَ,مَا دَامَ,فِعْلٌ مَاضٍ نَاقِصٌ مَبْنِيٌّ عَلَى الْفَتْحِ,manual
مَا زَالَ,مَا زَالَ,,0
هَيْهَاتَ,هَيْهَاتَ,اسْمُ فِعْلٍ مَاضٍ بِمَعْنَى ( بَعُدَ ) : مَبْنِيٌّ عَلَى الْفَتْحِ لَا مَحَلَّ لَهُ مِنَ الْإِعْرَابِ,1
أَصْبَحَ,أَصْبَحَ,فِعْلٌ مَاضٍ نَاسِخٌ مَبْنِيٌّ عَلَى الْفَتْحِ فِي مَحَلِّ جَزْمٍ فِعْلُ الشَّرْطِ.,1
أَوْشَكَ,أَوْشَكَ,,0
حَبَّذَا,حَبَّذَا,,0
رُوَيْدَ,رُوَيْدَ,,0
شَتَّانَ,شَتَّانَ,,0
عَلَيْكَ,عَلَيْكَ,( عَلَى ) : حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ,56
أَضْحَى,أَضْحَى,,0
أَمْسَى,أَمْسَى,,0
إِذْمَا,إِذْمَا,,0
دُونَكَ,دُونَكَ,,0
كَأَنَّ,كَأَنَّ,حَرْفُ تَشْبِيهٍ وَنَصْبٍ مَبْنِيٌّ عَلَى الْفَتْحِ.,1
لَعَلَّ,لَعَلَّ,حَرْفُ تَرَجٍّ وَنَصْبٍ مَبْنِيٌّ عَلَى الْفَتْحِ.,3
لَكِنَّ,لَكِنَّ,,0
مَهْمَا,مَهْمَا,اسْمُ شَرْطٍ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ رَفْعٍ مُبْتَدَأٌ.,1
إِلَّا,إِلَّا,حَرْفُ اسْتِثْنَاءٍ مَبْنِيٌّ عَلَى السُّكُونِ.,656
بَلْهَ,بَلْهَ,,0
بِئْسَ,بِئْسَ,فِعْلٌ مَاضٍ جَامِدٌ مَبْنِيٌّ عَلَى الْفَتْحِ يُفِيدُ الذَّمَّ.,4
حَاشَا,حَاشَا,,0
حَتَّى,حَتَّى,حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.,89
كَرُبَ,كَرُبَ,,0
لَمَّا,لَمَّا,ظَرْفُ زَمَانٍ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ نَصْبٍ.,20
لَيْتَ,لَيْتَ,,0
لَيْسَ,لَيْسَ,فِعْلٌ مَاضٍ نَاسِخٌ مَبْنِيٌّ عَلَى الْفَتْحِ.,37
ملايين,ملايين,,0
مُنْذُ,مُنْذُ,,0
نِعْمَ,نِعْمَ,فِعْلٌ مَاضٍ مَبْنِيٌّ عَلَى الْفَتْحِ يُفِيدُ الْمَدْحَ.,4
أنَّى,أنَّى,,0
أيَّة,أيَّة,,0
أَنَّ,أَنَّ,حَرْفُ تَوْكِيدٍ وَنَصْبٍ مَبْنِيٌّ عَلَى الْفَتْحِ.,99
إِذًا,إِذًا,حَرْفُ جَوَابٍ مَبْنِيٌّ عَلَى السُّكُونِ.,26
إِلَى,إِلَى,حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.,405
إِنَّ,إِنَّ,حَرْفُ تَوْكِيدٍ وَنَصْبٍ مَبْنِيٌّ عَلَى الْفَتْحِ.,609
بَاتَ,بَاتَ,,0
خَلَا,خَلَا,فِعْلٌ مَاضٍ فِعْلُ الشَّرْطِ مَبْنِيٌّ عَلَى الْفَتْحِ الْمُقَدَّرِ لِلتَّعَذُّرِ.,1
رُبَّ,رُبَّ,,0
سَاءَ,سَاءَ,فِعْلٌ مَاضٍ جَامِدٌ مَبْنِيٌّ عَلَى الْفَتْحِ يُفِيدُ الذَّمَّ.,9
صَارَ,صَارَ,,0
ظَلَّ,ظَلَّ,فِعْلٌ مَاضٍ مَبْنِيٌّ عَلَى الْفَتْحِ جَوَابُ الشَّرْطِ.,1
عَدَا,عَدَا,,0
عَسَى,عَسَى,فِعْلٌ مَاضٍ نَاسِخٌ مَبْنِيٌّ عَلَى الْفَتْحِ الْمُقَدَّرِ لِلتَّعَذُّرِ.,8
عَلَى,عَلَى,حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.,670
كَادَ,كَادَ,فِعْلٌ مَاضٍ نَاسِخٌ مَبْنِيٌّ عَلَى الْفَتْحِ,1
كَانَ,كَانَ,فِعْلٌ مَاضٍ نَاسِخٌ مَبْنِيٌّ عَلَى الْفَتْحِ.,126
مَتَى,مَتَى,اسْمُ اسْتِفْهَامٍ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ رَفْعٍ خَبَرٌ مُقَدَّمٌ.,4
هَاءَ,هَاءَ,,0
ألوف,ألوف,,0
أيَّ,أيَّ,,0
أَنْ,أَنْ,حَرْفُ نَصْبٍ وَمَصْدَرِيَّةٍ مَبْنِيٌّ عَلَى السُّكُونِ.,418
إِنْ,إِنْ,حَرْفُ شَرْطٍ وَجَزْمٍ مَبْنِيٌّ عَلَى السُّكُونِ.,241
حسبت,حسبت,,0
رأيت,رأيت,,0
زعمت,زعمت,,0
ظننت,ظننت,,0
عشرة,عشرة,,0
علمت,علمت,,0
عَنْ,عَنْ,حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.,153
كأين,كأين,,0
كَيْ,كَيْ,حَرْفُ نَصْبٍ وَتَعْلِيلٍ مَبْنِيٌّ عَلَى السُّكُونِ.,4
لَمْ,لَمْ,حَرْفُ نَفْيٍ وَجَزْمٍ مَبْنِيٌّ عَلَى السُّكُونِ.,163
لَنْ,لَنْ,حَرْفُ نَصْبٍ وَنَفْيٍ مَبْنِيٌّ عَلَى السُّكُونِ.,59
مائة,مائة,,0
مُذْ,مُذْ,,0
مِنْ,مِنْ,حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.,1444
وجدت,وجدت,,0
ألف,ألف,,0
أيا,أيا,,0
إذا,إذا,,0
خلت,خلت,,0
فِي,فِي,حَرْفُ جَرٍّ مَبْنِيٌّ عَلَى السُّكُونِ.,1184
كذا,كذا,,0
كيت,كيت,,0
لَا,لَا,حَرْفُ نَفْيٍ مَبْنِيٌّ عَلَى السُّكُونِ.,613
مَا,مَا,اسْمٌ مَوْصُولٌ مَبْنِيٌّ عَلَى السُّكُونِ فِي مَحَلِّ نَصْبٍ مَفْعُولٌ بِهِ.,307
هيا,هيا,,0
يَا,يَا,,0
أي,أي,,0
بِ,بِ,,0
تَ,تَ,,0
ذو,ذو,,0
كم,كم,,0
كَ,كَ,,0
لو,لو,,0
لِ,لِ,,0
ما,ما,,0
وَ,وَ,,0
أ,أ,,0
