role_id,case_id,role_name_ar,role_phrase_ar
1,3,اسم مجرور,اسْمٌ مَجْرُورٌ
2,2,مفعول لأجله,مَفْعُولٌ لِأَجْلِهِ مَنْصُوبٌ
3,1,فاعل,فَاعِلٌ مَرْفُوعٌ
4,2,مفعول به,مَفْعُولٌ بِهِ مَنْصُوبٌ
5,1,مبتدأ,مُبْتَدَأٌ مَرْفُوعٌ
6,1,خبر,خَبَرٌ مَرْفُوعٌ
7,1,فعل مضارع مرفوع,فِعْلٌ مُضَارِعٌ مَرْفُوعٌ
8,3,مضاف إليه مجرور,مُضَافٌ إِلَيْهِ مَجْرُورٌ
9,2,مفعول به ثان منصوب,مَفْعُولٌ بِهِ ثَانٍ مَنْصُوبٌ
10,2,ظرف مكان منصوب,ظَرْفُ مَكَانٍ مَنْصُوبٌ
11,2,حال منصوب,حَالٌ مَنْصُوبٌ
12,4,فعل مضارع مجزوم,فِعْلٌ مُضَارِعٌ مَجْزُومٌ
13,3,اسم الجلالة مضاف إليه مجرور,اسْمُ الْجَلَالَةِ مُضَافٌ إِلَيْهِ مَجْرُورٌ
14,3,نعت مجرور,نَعْتٌ مَجْرُورٌ
15,1,مبتدأ مؤخر مرفوع,مُبْتَدَأٌ مُؤَخَّرٌ مَرْفُوعٌ
16,2,خبر كان منصوب,خَبَرُ كَانَ مَنْصُوبٌ
17,1,اسم الجلالة فاعل مرفوع,اسْمُ الْجَلَالَةِ فَاعِلٌ مَرْفُوعٌ
18,2,فعل مضارع منصوب,فِعْلٌ مُضَارِعٌ مَنْصُوبٌ
19,2,نعت منصوب,نَعْتٌ مَنْصُوبٌ
20,1,نعت مرفوع,نَعْتٌ مَرْفُوعٌ
21,1,خبر ( إن ) : مرفوع,خَبَرُ ( إِنَّ ) : مَرْفُوعٌ
22,3,اسم ظرفي مجرور,اسْمٌ ظَرْفِيٌّ مَجْرُورٌ
23,2,ظرف زمان منصوب,ظَرْفُ زَمَانٍ مَنْصُوبٌ
24,1,فعل مضارع مبني لما لم يسم فاعله مرفوع,فِعْلٌ مُضَارِعٌ مَبْنِيٌّ لِمَا لَمْ يُسَمَّ فَاعِلُهُ مَرْفُوعٌ
25,4,فعل مضارع فعل الشرط مجزوم,فِعْلٌ مُضَارِعٌ فِعْلُ الشَّرْطِ مَجْزُومٌ
26,3,واسم الجلالة اسم مجرور,وَاسْمُ الْجَلَالَةِ اسْمٌ مَجْرُورٌ
