sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind
1,مَرَرْتُ بِزَيْدٍ,0,مَرَرْتُ,FIIL,مَبْنِي,,فعل ماضٍ,مرر,فَعَل,
1,مَرَرْتُ بِزَيْدٍ,1,بِزَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,زيد,فَعْلٌ,
2,سِرْتُ مِنَ الْبَيْتِ,0,سِرْتُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,سرت,فِعْل,
2,سِرْتُ مِنَ الْبَيْتِ,1,مِنَ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
2,سِرْتُ مِنَ الْبَيْتِ,2,الْبَيْتِ,JAMID,مَجْرُور,كسرة,اسم مجرور,,,
3,سِرْتُ إِلَى الْبَيْتِ,0,سِرْتُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,سرت,فِعْل,
3,سِرْتُ إِلَى الْبَيْتِ,1,إِلَى,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
3,سِرْتُ إِلَى الْبَيْتِ,2,الْبَيْتِ,JAMID,مَجْرُور,كسرة,اسم مجرور,,,
4,الْمَاءُ فِي الْكُوزِ,0,الْمَاءُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,
4,الْمَاءُ فِي الْكُوزِ,1,فِي,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
4,الْمَاءُ فِي الْكُوزِ,2,الْكُوزِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,كوز,فُعِل,
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,0,رَمَيْتُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,رمت,فَعَيْل,
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,1,السَّهْمَ,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,إلس,فِعَل,
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,2,عَنِ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,3,الْقَوْسِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,قوس,فَعْل,
6,وَاللَّهِ لَأَشْرَبَنَّ,0,وَاللَّهِ,HARF,مَبْنِي,,حرف استئناف,,,HARF_ISTINAAD
6,وَاللَّهِ لَأَشْرَبَنَّ,1,لَأَشْرَبَنَّ,FIIL,مَبْنِي,,فعل ماضٍ,شرب,أَفْعَل,
7,بِاللَّهِ لَأَفْعَلَنَّ,0,بِاللَّهِ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
7,بِاللَّهِ لَأَفْعَلَنَّ,1,لَأَفْعَلَنَّ,FIIL,مَبْنِي,,فعل ماضٍ,فعل,أَفْعَل,
8,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا,0,تَاللَّهِ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
8,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا,1,لَأَضْرِبَنَّ,FIIL,مَبْنِي,,فعل ماضٍ,ضرب,أَفْعِل,
8,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا,2,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,زدا,فَيْعِل,
9,الْمَالُ لِزَيْدٍ,0,الْمَالُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,
9,الْمَالُ لِزَيْدٍ,1,لِزَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,مضاف إليه مجرور,زيد,فَعْلٌ,
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,0,رُبَّ,JAMID,,,اسم,,,
